#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0418000.1-p1   -            706 3809at5820           -            594         0 1079.4  31.5   1   2  2.4e-293  8.6e-291  964.2  17.9     7   511    22   558    15   576 0.93 | transcript=PVP01_0418000.1 | gene=PVP01_0418000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:746031-748923(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417200.1-p1   -           1059 3809at5820           -            594     3e-69  232.6  25.8   1   3       1.2   4.4e+02   -2.4   0.0   333   387   221   275   209   295 0.70 | transcript=PVP01_0417200.1 | gene=PVP01_0417200 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=PvP01_04_v2:705835-709431(+) | protein_length=1059 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417200.1-p1   -           1059 3809at5820           -            594     3e-69  232.6  25.8   2   3   2.4e-70   8.8e-68  227.8  12.6    23   480   301   783   283   827 0.77 | transcript=PVP01_0417200.1 | gene=PVP01_0417200 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=PvP01_04_v2:705835-709431(+) | protein_length=1059 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417200.1-p1   -           1059 3809at5820           -            594     3e-69  232.6  25.8   3   3   6.2e-05     0.022   11.8   3.1   545   592  1007  1057   980  1059 0.73 | transcript=PVP01_0417200.1 | gene=PVP01_0417200 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=PvP01_04_v2:705835-709431(+) | protein_length=1059 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417100.1-p1   -           1067 3809at5820           -            594   1.1e-68  230.8  25.2   1   3   3.1e-12   1.1e-09   35.9   2.4    23   178   299   469   283   478 0.77 | transcript=PVP01_0417100.1 | gene=PVP01_0417100 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 1 (SERA) | transcript_product=serine-repeat antigen 1 (SERA) | location=PvP01_04_v2:701056-704768(+) | protein_length=1067 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417100.1-p1   -           1067 3809at5820           -            594   1.1e-68  230.8  25.2   2   3   3.9e-59   1.4e-56  190.8   6.8   204   489   520   800   512   836 0.88 | transcript=PVP01_0417100.1 | gene=PVP01_0417100 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 1 (SERA) | transcript_product=serine-repeat antigen 1 (SERA) | location=PvP01_04_v2:701056-704768(+) | protein_length=1067 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417100.1-p1   -           1067 3809at5820           -            594   1.1e-68  230.8  25.2   3   3   6.1e-06    0.0022   15.1   1.2   518   592   989  1065   972  1067 0.79 | transcript=PVP01_0417100.1 | gene=PVP01_0417100 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 1 (SERA) | transcript_product=serine-repeat antigen 1 (SERA) | location=PvP01_04_v2:701056-704768(+) | protein_length=1067 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417900.1-p1   -           1061 3809at5820           -            594   1.1e-68  230.8  35.5   1   2   2.5e-66   9.2e-64  214.5  26.2    17   468   265   764   248   782 0.78 | transcript=PVP01_0417900.1 | gene=PVP01_0417900 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:740115-743913(+) | protein_length=1061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417900.1-p1   -           1061 3809at5820           -            594   1.1e-68  230.8  35.5   2   2    0.0003      0.11    9.5   1.8   539   593  1003  1060   972  1061 0.82 | transcript=PVP01_0417900.1 | gene=PVP01_0417900 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:740115-743913(+) | protein_length=1061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0416800.1-p1   -           1014 3809at5820           -            594   2.9e-68  229.4   7.1   1   3   2.6e-12   9.4e-10   36.1   0.0    22   177   271   444   264   448 0.72 | transcript=PVP01_0416800.1 | gene=PVP01_0416800 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 2 (SERA) | transcript_product=serine-repeat antigen 2 (SERA) | location=PvP01_04_v2:685685-689183(+) | protein_length=1014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0416800.1-p1   -           1014 3809at5820           -            594   2.9e-68  229.4   7.1   2   3   1.7e-56     6e-54  182.1   3.8   188   474   482   765   466   780 0.89 | transcript=PVP01_0416800.1 | gene=PVP01_0416800 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 2 (SERA) | transcript_product=serine-repeat antigen 2 (SERA) | location=PvP01_04_v2:685685-689183(+) | protein_length=1014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0416800.1-p1   -           1014 3809at5820           -            594   2.9e-68  229.4   7.1   3   3   0.00015     0.055   10.5   0.0   516   592   934  1012   898  1014 0.79 | transcript=PVP01_0416800.1 | gene=PVP01_0416800 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 2 (SERA) | transcript_product=serine-repeat antigen 2 (SERA) | location=PvP01_04_v2:685685-689183(+) | protein_length=1014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417300.1-p1   -           1133 3809at5820           -            594   2.1e-67  226.5  30.3   1   4       1.4     5e+02   -2.6   0.1   470   554   209   290   205   294 0.67 | transcript=PVP01_0417300.1 | gene=PVP01_0417300 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=PvP01_04_v2:711606-715603(+) | protein_length=1133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417300.1-p1   -           1133 3809at5820           -            594   2.1e-67  226.5  30.3   2   4   1.9e-11   6.7e-09   33.3   1.3    23   177   328   498   312   503 0.78 | transcript=PVP01_0417300.1 | gene=PVP01_0417300 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=PvP01_04_v2:711606-715603(+) | protein_length=1133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417300.1-p1   -           1133 3809at5820           -            594   2.1e-67  226.5  30.3   3   4   1.4e-61   5.1e-59  198.8   9.7   199   489   544   829   521   850 0.91 | transcript=PVP01_0417300.1 | gene=PVP01_0417300 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=PvP01_04_v2:711606-715603(+) | protein_length=1133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417300.1-p1   -           1133 3809at5820           -            594   2.1e-67  226.5  30.3   4   4   0.00096      0.35    7.9   1.1   518   592  1055  1131  1043  1133 0.81 | transcript=PVP01_0417300.1 | gene=PVP01_0417300 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=PvP01_04_v2:711606-715603(+) | protein_length=1133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417800.1-p1   -           1017 3809at5820           -            594   1.7e-66  223.5  34.2   1   3   5.6e-10     2e-07   28.5   5.5    22   177   312   485   298   491 0.61 | transcript=PVP01_0417800.1 | gene=PVP01_0417800 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:735198-738811(+) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417800.1-p1   -           1017 3809at5820           -            594   1.7e-66  223.5  34.2   2   3   1.7e-60   6.1e-58  195.3  10.6   194   480   534   818   519   863 0.85 | transcript=PVP01_0417800.1 | gene=PVP01_0417800 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:735198-738811(+) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417800.1-p1   -           1017 3809at5820           -            594   1.7e-66  223.5  34.2   3   3   6.9e-05     0.025   11.6   2.4   525   592   944  1015   924  1017 0.77 | transcript=PVP01_0417800.1 | gene=PVP01_0417800 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:735198-738811(+) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0416900.1-p1   -           1149 3809at5820           -            594   8.3e-65  218.0  15.7   1   3   6.1e-12   2.2e-09   34.9   0.2    23   177   337   507   326   518 0.79 | transcript=PVP01_0416900.1 | gene=PVP01_0416900 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=PvP01_04_v2:690308-694235(+) | protein_length=1149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0416900.1-p1   -           1149 3809at5820           -            594   8.3e-65  218.0  15.7   2   3   1.3e-57   4.8e-55  185.7   7.7   195   469   550   821   544   844 0.91 | transcript=PVP01_0416900.1 | gene=PVP01_0416900 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=PvP01_04_v2:690308-694235(+) | protein_length=1149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0416900.1-p1   -           1149 3809at5820           -            594   8.3e-65  218.0  15.7   3   3      0.13        47    0.8   0.0   518   577  1057  1118  1042  1126 0.75 | transcript=PVP01_0416900.1 | gene=PVP01_0416900 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=PvP01_04_v2:690308-694235(+) | protein_length=1149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916100.1-p1   -            495 3809at5820           -            594   2.5e-11   41.3   1.2   1   2    0.0012      0.45    7.5   0.1   231   260   282   312   258   336 0.80 | transcript=PVP01_0916100.1 | gene=PVP01_0916100 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-3 | transcript_product=vivapain-3 | location=PvP01_09_v2:726694-728181(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916100.1-p1   -            495 3809at5820           -            594   2.5e-11   41.3   1.2   2   2   3.4e-11   1.2e-08   32.5   0.2   406   456   420   477   381   492 0.78 | transcript=PVP01_0916100.1 | gene=PVP01_0916100 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-3 | transcript_product=vivapain-3 | location=PvP01_09_v2:726694-728181(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916200.1-p1   -            487 3809at5820           -            594   3.9e-11   40.7   7.7   1   2    0.0015      0.55    7.2   2.5   234   264   279   310   119   360 0.67 | transcript=PVP01_0916200.1 | gene=PVP01_0916200 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=PvP01_09_v2:730476-731939(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916200.1-p1   -            487 3809at5820           -            594   3.9e-11   40.7   7.7   2   2   2.2e-12   7.9e-10   36.4   0.2   371   452   382   465   359   476 0.82 | transcript=PVP01_0916200.1 | gene=PVP01_0916200 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=PvP01_09_v2:730476-731939(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916000.1-p1   -            484 3809at5820           -            594   4.7e-11   40.5   0.8   1   2   0.00057      0.21    8.6   0.1   230   261   273   305   176   325 0.82 | transcript=PVP01_0916000.1 | gene=PVP01_0916000 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=PvP01_09_v2:722356-723810(-) | protein_length=484 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916000.1-p1   -            484 3809at5820           -            594   4.7e-11   40.5   0.8   2   2   1.3e-10   4.7e-08   30.5   0.1   395   453   401   464   358   483 0.76 | transcript=PVP01_0916000.1 | gene=PVP01_0916000 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=PvP01_09_v2:722356-723810(-) | protein_length=484 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917300.1-p1   -            690 3809at5820           -            594   3.2e-07   27.8   0.7   1   3       3.6   1.3e+03   -3.9   0.0   230   248   379   397   371   411 0.66 | transcript=PVP01_0917300.1 | gene=PVP01_0917300 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=PvP01_09_v2:769482-771554(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917300.1-p1   -            690 3809at5820           -            594   3.2e-07   27.8   0.7   2   3       3.8   1.4e+03   -4.0   0.4   451   464   543   556   534   563 0.66 | transcript=PVP01_0917300.1 | gene=PVP01_0917300 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=PvP01_09_v2:769482-771554(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917300.1-p1   -            690 3809at5820           -            594   3.2e-07   27.8   0.7   3   3   8.7e-10   3.2e-07   27.8   0.7   393   451   598   655   584   662 0.86 | transcript=PVP01_0917300.1 | gene=PVP01_0917300 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=PvP01_09_v2:769482-771554(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417500.1-p1   -            444 3809at5820           -            594   3.9e-07   27.5   0.0   1   1   1.5e-09   5.3e-07   27.1   0.0    94   187   275   367   239   375 0.87 | transcript=PVP01_0417500.1 | gene=PVP01_0417500 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA), truncated | transcript_product=serine-repeat antigen (SERA), truncated | location=PvP01_04_v2:721637-723077(+) | protein_length=444 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464900.1-p1   -            621 3809at5820           -            594   1.6e-05   22.2   1.6   1   1   7.4e-08   2.7e-05   21.4   1.6   409   451   496   540   490   546 0.84 | transcript=PVP01_1464900.1 | gene=PVP01_1464900 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=PvP01_14_v2:2775108-2778357(+) | protein_length=621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304100.1-p1   -            762 3809at5820           -            594     0.032   11.3   6.3   1   3       1.5   5.5e+02   -2.7   0.1   235   256   381   401   376   425 0.77 | transcript=PVP01_0304100.1 | gene=PVP01_0304100 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=PvP01_03_v2:220119-222535(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304100.1-p1   -            762 3809at5820           -            594     0.032   11.3   6.3   2   3      0.57   2.1e+02   -1.3   0.0   409   429   670   690   658   711 0.78 | transcript=PVP01_0304100.1 | gene=PVP01_0304100 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=PvP01_03_v2:220119-222535(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304100.1-p1   -            762 3809at5820           -            594     0.032   11.3   6.3   3   3   3.6e-05     0.013   12.6   2.1   425   451   713   739   704   744 0.90 | transcript=PVP01_0304100.1 | gene=PVP01_0304100 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=PvP01_03_v2:220119-222535(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3809at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3809at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3809at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:48 2026
# [ok]
