#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0939700.1-p1   -           1960 1990at5820           -           1072         0 1447.5 288.3   1  11     2e-58   6.4e-55  184.9   7.8     1   122     1   132     1   146 0.84 | transcript=PVP01_0939700.1 | gene=PVP01_0939700 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=PvP01_09_v2:1709738-1716019(-) | protein_length=1960 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1461800.1-p1   -            205 1990at5820           -           1072      0.37    6.9  34.9   1   1   0.00014      0.46    6.6  34.9   591   730    28   168    19   178 0.78 | transcript=PVP01_1461800.1 | gene=PVP01_1461800 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_14_v2:2670285-2671250(+) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1990at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1990at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1990at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:40 2026
# [ok]
