#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0805300.1-p1   -            755 8755at5820           -            527    2e-227  754.6  76.2   1   2  1.7e-197  4.6e-195  647.8  36.1     1   397     1   469     1   491 0.85 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010500.1-p1   -            529 8755at5820           -            527   4.8e-12   43.9   3.3   2   2   1.8e-14   4.8e-12   43.9   3.3     8    83   191   260   184   266 0.91 | transcript=PVP01_1010500.1 | gene=PVP01_1010500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:464999-466920(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311600.1-p1   -            421 8755at5820           -            527   9.2e-12   42.9   0.7   1   2   3.5e-14   9.2e-12   42.9   0.7     9    78    28    88    22   110 0.87 | transcript=PVP01_1311600.1 | gene=PVP01_1311600 | organism=Plasmodium_vivax_P01 | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=PvP01_13_v2:535292-537122(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311600.1-p1   -            421 8755at5820           -            527   9.2e-12   42.9   0.7   2   2      0.26        68    0.5   1.9   416   463   351   399   336   418 0.40 | transcript=PVP01_1311600.1 | gene=PVP01_1311600 | organism=Plasmodium_vivax_P01 | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=PvP01_13_v2:535292-537122(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435700.1-p1   -           1079 8755at5820           -            527   1.2e-10   39.3  29.7   1   3   1.2e-08   3.2e-06   24.6   6.3     9    48   175   214   165   224 0.77 | transcript=PVP01_1435700.1 | gene=PVP01_1435700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=PvP01_14_v2:1505395-1508634(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435700.1-p1   -           1079 8755at5820           -            527   1.2e-10   39.3  29.7   2   3    0.0041       1.1    6.4   0.4    43    76   265   295   247   297 0.72 | transcript=PVP01_1435700.1 | gene=PVP01_1435700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=PvP01_14_v2:1505395-1508634(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435700.1-p1   -           1079 8755at5820           -            527   1.2e-10   39.3  29.7   3   3   3.3e-10   8.7e-08   29.8  15.4   139   286   329   468   309   486 0.75 | transcript=PVP01_1435700.1 | gene=PVP01_1435700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=PvP01_14_v2:1505395-1508634(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937700.1-p1   -            381 8755at5820           -            527   9.6e-10   36.3   1.3   1   2      0.62   1.6e+02   -0.8   1.8   266   392    43    75    13   112 0.36 | transcript=PVP01_0937700.1 | gene=PVP01_0937700 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_09_v2:1624006-1625762(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937700.1-p1   -            381 8755at5820           -            527   9.6e-10   36.3   1.3   2   2   3.7e-12   9.6e-10   36.3   1.3     5    78   109   176   102   180 0.90 | transcript=PVP01_0937700.1 | gene=PVP01_0937700 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_09_v2:1624006-1625762(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335000.1-p1   -            381 8755at5820           -            527   2.8e-09   34.7   2.1   1   1   2.1e-11   5.5e-09   33.8   2.1     8    76    55   117    48   120 0.90 | transcript=PVP01_1335000.1 | gene=PVP01_1335000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1518534-1520048(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 8755at5820           -            527   7.1e-09   33.4   0.1   1   2   2.7e-11   7.1e-09   33.4   0.1    10    43    10    43     5    52 0.90 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 8755at5820           -            527   7.1e-09   33.4   0.1   2   2   0.00015      0.04   11.1   6.5    41    78   103   142    96   202 0.67 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510500.1-p1   -            691 8755at5820           -            527   8.4e-09   33.2  10.0   1   2      0.64   1.7e+02   -0.8  20.9   407   481    13    88     2   106 0.44 | transcript=PVP01_0510500.1 | gene=PVP01_0510500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_05_v2:458994-461069(-) | protein_length=691 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510500.1-p1   -            691 8755at5820           -            527   8.4e-09   33.2  10.0   2   2   3.2e-11   8.4e-09   33.2  10.0     9   129   143   261   139   266 0.77 | transcript=PVP01_0510500.1 | gene=PVP01_0510500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_05_v2:458994-461069(-) | protein_length=691 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1419700.1-p1   -            728 8755at5820           -            527   8.6e-09   33.1   0.1   1   3      0.55   1.4e+02   -0.6   1.3   468   504    51    87    46    97 0.79 | transcript=PVP01_1419700.1 | gene=PVP01_1419700 | organism=Plasmodium_vivax_P01 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=PvP01_14_v2:852313-854499(-) | protein_length=728 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1419700.1-p1   -            728 8755at5820           -            527   8.6e-09   33.1   0.1   2   3   3.3e-11   8.6e-09   33.1   0.1    10    76   131   192   128   195 0.90 | transcript=PVP01_1419700.1 | gene=PVP01_1419700 | organism=Plasmodium_vivax_P01 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=PvP01_14_v2:852313-854499(-) | protein_length=728 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1419700.1-p1   -            728 8755at5820           -            527   8.6e-09   33.1   0.1   3   3       2.3     6e+02   -2.7   4.7   364   436   615   686   573   701 0.38 | transcript=PVP01_1419700.1 | gene=PVP01_1419700 | organism=Plasmodium_vivax_P01 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=PvP01_14_v2:852313-854499(-) | protein_length=728 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909500.1-p1   -            549 8755at5820           -            527   2.4e-08   31.7   0.2   1   2   9.1e-11   2.4e-08   31.7   0.2     9    76    35    94    30   105 0.87 | transcript=PVP01_0909500.1 | gene=PVP01_0909500 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=PvP01_09_v2:501995-503644(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909500.1-p1   -            549 8755at5820           -            527   2.4e-08   31.7   0.2   2   2       4.9   1.3e+03   -3.7   2.7   298   350   190   239   169   291 0.60 | transcript=PVP01_0909500.1 | gene=PVP01_0909500 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=PvP01_09_v2:501995-503644(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717500.1-p1   -            378 8755at5820           -            527   7.3e-08   30.1   1.2   1   2   2.8e-10   7.3e-08   30.1   1.2     7    76    52   115    49   127 0.92 | transcript=PVP01_0717500.1 | gene=PVP01_0717500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_07_v2:780474-782408(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717500.1-p1   -            378 8755at5820           -            527   7.3e-08   30.1   1.2   2   2     0.052        14    2.8  11.2   423   520   256   353   225   356 0.69 | transcript=PVP01_0717500.1 | gene=PVP01_0717500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_07_v2:780474-782408(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308700.1-p1   -            649 8755at5820           -            527   3.3e-07   27.9   0.0   1   1   2.3e-09     6e-07   27.1   0.0    10    77    81   142    78   146 0.89 | transcript=PVP01_0308700.1 | gene=PVP01_0308700 | organism=Plasmodium_vivax_P01 | gene_product=chaperone protein DnaJ, putative | transcript_product=chaperone protein DnaJ, putative | location=PvP01_03_v2:414818-416767(+) | protein_length=649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1032200.1-p1   -            177 8755at5820           -            527   5.3e-07   27.2   0.3   1   2     2e-09   5.3e-07   27.2   0.3    10    48    10    48     7    54 0.90 | transcript=PVP01_1032200.1 | gene=PVP01_1032200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:1379077-1379610(-) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1032200.1-p1   -            177 8755at5820           -            527   5.3e-07   27.2   0.3   2   2         1   2.7e+02   -1.5   5.4   441   465    69    94    46   138 0.44 | transcript=PVP01_1032200.1 | gene=PVP01_1032200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:1379077-1379610(-) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115200.1-p1   -            201 8755at5820           -            527   1.6e-05   22.4  11.8   1   1   1.2e-07   3.2e-05   21.3  11.8     9   141     3   118     1   131 0.71 | transcript=PVP01_1115200.1 | gene=PVP01_1115200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:655035-656667(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1128800.1-p1   -            358 8755at5820           -            527   0.00011   19.6   2.8   1   1   5.8e-07   0.00015   19.1   2.8     9   135    72   197    68   229 0.83 | transcript=PVP01_1128800.1 | gene=PVP01_1128800 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:1248829-1249905(+) | protein_length=358 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206400.1-p1   -            308 8755at5820           -            527    0.0012   16.1   2.5   1   1     7e-06    0.0018   15.6   2.5    23    67    87   132    78   142 0.84 | transcript=PVP01_0206400.1 | gene=PVP01_0206400 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ domain-containing protein, putative | transcript_product=DnaJ domain-containing protein, putative | location=PvP01_02_v2:265358-267288(+) | protein_length=308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320100.1-p1   -            115 8755at5820           -            527     0.013   12.7   0.0   1   1     6e-05     0.016   12.5   0.0    10    40    67    97    59   109 0.90 | transcript=PVP01_0320100.1 | gene=PVP01_0320100 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial import inner membrane translocase subunit TIM14, putative | transcript_product=mitochondrial import inner membrane translocase subunit TIM14, putative | location=PvP01_03_v2:837226-837864(+) | protein_length=115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339800.1-p1   -            219 8755at5820           -            527      0.17    9.0   6.0   1   1   0.00083      0.22    8.7   6.0   348   452    60   163    41   169 0.70 | transcript=PVP01_1339800.1 | gene=PVP01_1339800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1737455-1738473(+) | protein_length=219 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8755at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8755at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8755at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:28 2026
# [ok]
