#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1139200.1-p1   -            284 9900at5820           -            237    5e-148  489.5  22.9   1   1  1.2e-150  6.5e-148  489.2  22.9    10   237    31   277    24   277 0.98 | transcript=PVP01_1139200.1 | gene=PVP01_1139200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC2, putative | transcript_product=palmitoyltransferase DHHC2, putative | location=PvP01_11_v2:1657663-1659306(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836800.1-p1   -            611 9900at5820           -            237   5.9e-14   50.7  18.2   1   2       6.4   3.5e+03   -4.2   2.4   118   138   278   298   244   322 0.45 | transcript=PVP01_0836800.1 | gene=PVP01_0836800 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=PvP01_08_v2:1549276-1552050(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836800.1-p1   -            611 9900at5820           -            237   5.9e-14   50.7  18.2   2   2   1.1e-16   5.9e-14   50.7  18.2    69   195   429   545   418   567 0.76 | transcript=PVP01_0836800.1 | gene=PVP01_0836800 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=PvP01_08_v2:1549276-1552050(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921600.1-p1   -            289 9900at5820           -            237   2.5e-12   45.3  25.7   1   1   4.7e-15   2.5e-12   45.3  25.7    26   190    62   237    57   243 0.67 | transcript=PVP01_0921600.1 | gene=PVP01_0921600 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC3, putative | transcript_product=palmitoyltransferase DHHC3, putative | location=PvP01_09_v2:936511-938168(+) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422200.1-p1   -            287 9900at5820           -            237   5.3e-11   41.0  14.3   1   1   9.8e-14   5.3e-11   41.0  14.3    41   206    64   245    26   251 0.67 | transcript=PVP01_0422200.1 | gene=PVP01_0422200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC12, putative | transcript_product=palmitoyltransferase DHHC12, putative | location=PvP01_04_v2:898201-900382(-) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232100.1-p1   -            641 9900at5820           -            237   2.7e-09   35.4   3.2   1   1   1.5e-11   7.9e-09   33.9   3.2    66   129   433   494   415   577 0.66 | transcript=PVP01_1232100.1 | gene=PVP01_1232100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=PvP01_12_v2:1267021-1269831(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9900at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9900at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9900at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:53:09 2026
# [ok]
