#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1103800.1-p1   -            619 3836at5820           -            588         0 1318.1  16.7   1   1         0         0 1317.8  16.7     1   588     1   612     1   612 0.98 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820500.1-p1   -           2637 3836at5820           -            588   1.1e-06   26.0  11.9   2   3   4.6e-05      0.03   11.3   2.3   200   523   983  1060   947  1086 0.66 | transcript=PVP01_0820500.1 | gene=PVP01_0820500 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=PvP01_08_v2:896677-905020(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820500.1-p1   -           2637 3836at5820           -            588   1.1e-06   26.0  11.9   3   3     0.032        21    1.9   0.5   456   505  2214  2263  2181  2268 0.85 | transcript=PVP01_0820500.1 | gene=PVP01_0820500 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=PvP01_08_v2:896677-905020(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 3836at5820           -            588   8.8e-05   19.7   0.6   1   2      0.12        77    0.0   0.0   367   391   514   538   486   570 0.80 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 3836at5820           -            588   8.8e-05   19.7   0.6   2   2   6.9e-07   0.00045   17.3   0.2   213   295   716   796   702   812 0.71 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335400.1-p1   -            351 3836at5820           -            588   0.00068   16.7   0.7   1   2    0.0045       2.9    4.7   0.0   370   391   131   152   118   170 0.86 | transcript=PVP01_1335400.1 | gene=PVP01_1335400 | organism=Plasmodium_vivax_P01 | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=PvP01_13_v2:1534587-1535642(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335400.1-p1   -            351 3836at5820           -            588   0.00068   16.7   0.7   2   2   8.4e-05     0.055   10.4   0.1   195   281   228   315   219   337 0.79 | transcript=PVP01_1335400.1 | gene=PVP01_1335400 | organism=Plasmodium_vivax_P01 | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=PvP01_13_v2:1534587-1535642(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 3836at5820           -            588    0.0014   15.7  24.0   1   4     0.021        14    2.5   0.2   338   400   179   242   165   288 0.72 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 3836at5820           -            588    0.0014   15.7  24.0   2   4   0.00074      0.49    7.3   6.3   190   282   467   559   440   572 0.72 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 3836at5820           -            588    0.0014   15.7  24.0   3   4   0.00017      0.11    9.4   0.1   102   142   829   868   810   876 0.72 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 3836at5820           -            588    0.0014   15.7  24.0   4   4    0.0016       1.1    6.2   1.5   441   535  1017  1114   998  1153 0.65 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322800.1-p1   -            695 3836at5820           -            588     0.002   15.2   0.5   1   1   1.2e-05    0.0076   13.3   0.5   116   269    67   229    25   237 0.57 | transcript=PVP01_1322800.1 | gene=PVP01_1322800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=PvP01_13_v2:1033999-1036086(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1417100.1-p1   -            207 3836at5820           -            588    0.0053   13.8   0.8   1   1     1e-05    0.0067   13.5   0.8   298   383    22   109    15   133 0.79 | transcript=PVP01_1417100.1 | gene=PVP01_1417100 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_14_v2:749526-750672(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3836at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3836at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3836at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:59 2026
# [ok]
