#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1336000.1-p1   -            301 10019at5820          -            226  4.7e-133  440.1  15.3   1   3   4.8e-27   2.4e-24   84.5   2.0     1    55     1    56     1    67 0.95 | transcript=PVP01_1336000.1 | gene=PVP01_1336000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_13_v2:1553686-1555862(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142700.1-p1   -            152 10019at5820          -            226   8.1e-12   43.6   0.0   1   1   1.8e-14     9e-12   43.4   0.0    83   191     2   112     1   135 0.88 | transcript=PVP01_1142700.1 | gene=PVP01_1142700 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2 PEX4, putative | transcript_product=ubiquitin-conjugating enzyme E2 PEX4, putative | location=PvP01_11_v2:1812408-1813708(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719400.1-p1   -            163 10019at5820          -            226   7.7e-10   37.1   0.0   1   1   4.7e-12   2.4e-09   35.5   0.0    84   191     6   129     1   142 0.79 | transcript=PVP01_0719400.1 | gene=PVP01_0719400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_07_v2:850305-851664(-) | protein_length=163 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462400.1-p1   -            150 10019at5820          -            226   1.8e-07   29.3   0.0   1   1   4.7e-10   2.3e-07   29.0   0.0    88   191    17   119    11   129 0.83 | transcript=PVP01_1462400.1 | gene=PVP01_1462400 | organism=Plasmodium_vivax_P01 | gene_product=NEDD8-conjugating enzyme UBC12, putative | transcript_product=NEDD8-conjugating enzyme UBC12, putative | location=PvP01_14_v2:2690430-2691637(+) | protein_length=150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0619000.1-p1   -            191 10019at5820          -            226     5e-06   24.6   0.0   1   1   1.5e-08   7.8e-06   24.0   0.0   112   181    34   103    17   117 0.86 | transcript=PVP01_0619000.1 | gene=PVP01_0619000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_06_v2:779067-780509(-) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1460800.1-p1   -            629 10019at5820          -            226   5.3e-05   21.3   0.3   1   1   1.8e-07   9.3e-05   20.5   0.3   121   177   208   264   195   281 0.87 | transcript=PVP01_1460800.1 | gene=PVP01_1460800 | organism=Plasmodium_vivax_P01 | gene_product=fused toes protein homolog FTS, putative | transcript_product=fused toes protein homolog FTS, putative | location=PvP01_14_v2:2626103-2627992(+) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10019at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10019at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10019at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:24 2026
# [ok]
