#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0407500.1-p1   -            526 4894at5820           -            462         0 1016.8  39.3   1   1         0         0 1008.7  39.3     1   462    38   522    38   522 0.97 | transcript=PVP01_0407500.1 | gene=PVP01_0407500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=PvP01_04_v2:307075-309539(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265700.1-p1   -           2433 4894at5820           -            462   6.3e-33  112.7   2.6   1   1   1.8e-34   1.8e-32  111.2   2.6    21   268   122   402   115   413 0.83 | transcript=PVP01_1265700.1 | gene=PVP01_1265700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2723739-2731820(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464000.1-p1   -            755 4894at5820           -            462   1.5e-32  111.4   4.0   1   2      0.67        67    0.5   0.1    26    73   119   166   105   209 0.73 | transcript=PVP01_1464000.1 | gene=PVP01_1464000 | organism=Plasmodium_vivax_P01 | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=PvP01_14_v2:2748927-2751327(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464000.1-p1   -            755 4894at5820           -            462   1.5e-32  111.4   4.0   2   2   1.6e-34   1.6e-32  111.3   0.8    11   267   421   680   415   698 0.79 | transcript=PVP01_1464000.1 | gene=PVP01_1464000 | organism=Plasmodium_vivax_P01 | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=PvP01_14_v2:2748927-2751327(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115000.1-p1   -            288 4894at5820           -            462   1.9e-32  111.1   0.1   1   2   6.8e-34   6.8e-32  109.3   0.0    21   237     7   228     1   242 0.84 | transcript=PVP01_1115000.1 | gene=PVP01_1115000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 5 | transcript_product=protein kinase 5 | location=PvP01_11_v2:636610-638342(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115000.1-p1   -            288 4894at5820           -            462   1.9e-32  111.1   0.1   2   2       1.3   1.3e+02   -0.5   0.0   235   268   251   285   246   287 0.83 | transcript=PVP01_1115000.1 | gene=PVP01_1115000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 5 | transcript_product=protein kinase 5 | location=PvP01_11_v2:636610-638342(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831000.1-p1   -           1602 4894at5820           -            462   8.3e-32  109.0   2.2   1   1   1.2e-33   1.2e-31  108.5   2.2    24   270  1340  1601  1323  1602 0.80 | transcript=PVP01_0831000.1 | gene=PVP01_0831000 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK2, putative | transcript_product=aurora-related kinase ARK2, putative | location=PvP01_08_v2:1339289-1344608(+) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1312900.1-p1   -            854 4894at5820           -            462   9.6e-32  108.8   0.4   1   2      0.91        91    0.1   0.2   204   235    71   103    12   118 0.70 | transcript=PVP01_1312900.1 | gene=PVP01_1312900 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=PvP01_13_v2:580904-584724(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1312900.1-p1   -            854 4894at5820           -            462   9.6e-32  108.8   0.4   2   2   9.6e-34   9.6e-32  108.8   0.4    20   229   544   758   529   798 0.81 | transcript=PVP01_1312900.1 | gene=PVP01_1312900 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=PvP01_13_v2:580904-584724(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 4894at5820           -            462   7.1e-30  102.7  12.8   1   2   7.9e-22   7.9e-20   69.5   8.3    35   146   296   413   281   436 0.86 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 4894at5820           -            462   7.1e-30  102.7  12.8   2   2     2e-11     2e-09   35.2   0.1   167   270   538   648   531   661 0.79 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0314900.1-p1   -            310 4894at5820           -            462   5.1e-29   99.8   5.3   1   1   5.8e-31   5.9e-29   99.6   5.3    19   252     5   244     1   272 0.83 | transcript=PVP01_0314900.1 | gene=PVP01_0314900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=PvP01_03_v2:667448-669370(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317900.1-p1   -            718 4894at5820           -            462   8.2e-29   99.1   3.3   1   1     5e-29     5e-27   93.3   3.3    19   223    20   237     6   330 0.70 | transcript=PVP01_1317900.1 | gene=PVP01_1317900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=PvP01_13_v2:833649-835805(+) | protein_length=718 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422000.1-p1   -           2125 4894at5820           -            462   2.3e-26   91.1   3.5   1   1   3.8e-28   3.8e-26   90.3   3.5    48   222  1737  1913  1719  1919 0.87 | transcript=PVP01_0422000.1 | gene=PVP01_0422000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_04_v2:882364-888741(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909200.1-p1   -            335 4894at5820           -            462   2.7e-25   87.5   9.6   1   2   6.7e-25   6.8e-23   79.6   7.3    21   224    46   251    38   267 0.85 | transcript=PVP01_0909200.1 | gene=PVP01_0909200 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=PvP01_09_v2:493076-494083(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909200.1-p1   -            335 4894at5820           -            462   2.7e-25   87.5   9.6   2   2    0.0032      0.32    8.2   0.0   237   264   297   325   278   333 0.81 | transcript=PVP01_0909200.1 | gene=PVP01_0909200 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=PvP01_09_v2:493076-494083(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 4894at5820           -            462   3.7e-25   87.1  11.1   1   2   2.8e-12   2.8e-10   38.0   5.2    49   143   251   344   237   360 0.91 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 4894at5820           -            462   3.7e-25   87.1  11.1   2   2   1.2e-16   1.2e-14   52.4   0.3   149   270   395   513   369   516 0.84 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115100.1-p1   -           4009 4894at5820           -            462   1.6e-24   85.0   3.1   1   1   3.2e-26   3.2e-24   84.0   3.1    24   264  1193  1435  1187  1458 0.80 | transcript=PVP01_1115100.1 | gene=PVP01_1115100 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK3, putative | transcript_product=aurora-related kinase ARK3, putative | location=PvP01_11_v2:639663-651692(-) | protein_length=4009 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1143600.1-p1   -            354 4894at5820           -            462   3.8e-24   83.8   0.8   1   1     5e-26     5e-24   83.4   0.8    24   262    38   301    31   312 0.76 | transcript=PVP01_1143600.1 | gene=PVP01_1143600 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK1, putative | transcript_product=aurora-related kinase ARK1, putative | location=PvP01_11_v2:1853071-1854606(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1446500.1-p1   -           1026 4894at5820           -            462   3.9e-24   83.7   2.2   1   1   5.7e-26   5.7e-24   83.2   2.2    11   225     8   259     1   299 0.80 | transcript=PVP01_1446500.1 | gene=PVP01_1446500 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 1, putative | transcript_product=NIMA related kinase 1, putative | location=PvP01_14_v2:2007901-2011200(+) | protein_length=1026 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922500.1-p1   -            561 4894at5820           -            462   3.5e-23   80.6  14.3   1   2   1.2e-19   1.2e-17   62.3   6.4    23   160    40   185    27   189 0.80 | transcript=PVP01_0922500.1 | gene=PVP01_0922500 | organism=Plasmodium_vivax_P01 | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=PvP01_09_v2:982022-983707(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922500.1-p1   -            561 4894at5820           -            462   3.5e-23   80.6  14.3   2   2   1.1e-07   1.1e-05   22.9   0.4   168   229   343   405   277   449 0.78 | transcript=PVP01_0922500.1 | gene=PVP01_0922500 | organism=Plasmodium_vivax_P01 | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=PvP01_09_v2:982022-983707(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0814500.1-p1   -            325 4894at5820           -            462   3.1e-22   77.5   8.9   1   1   5.3e-24   5.3e-22   76.7   8.9    19   221    11   237     1   240 0.76 | transcript=PVP01_0814500.1 | gene=PVP01_0814500 | organism=Plasmodium_vivax_P01 | gene_product=MO15-related protein kinase, putative | transcript_product=MO15-related protein kinase, putative | location=PvP01_08_v2:635589-636566(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007900.1-p1   -            288 4894at5820           -            462   4.6e-22   76.9   1.1   1   1   5.8e-24   5.8e-22   76.6   1.1    13   213     7   215     2   227 0.84 | transcript=PVP01_1007900.1 | gene=PVP01_1007900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=PvP01_10_v2:352291-354430(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527200.1-p1   -            622 4894at5820           -            462   1.8e-21   74.9   7.2   1   1   2.8e-23   2.8e-21   74.3   7.2    20   238   279   514   270   533 0.77 | transcript=PVP01_0527200.1 | gene=PVP01_0527200 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=PvP01_05_v2:1113369-1115237(-) | protein_length=622 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 4894at5820           -            462   2.9e-21   74.2   2.3   1   2   5.3e-06   0.00053   17.3   0.5    14    78   643   713   633   717 0.74 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 4894at5820           -            462   2.9e-21   74.2   2.3   2   2   1.1e-17   1.1e-15   55.8   0.0   106   222   898  1015   888  1021 0.86 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217600.1-p1   -            305 4894at5820           -            462   8.6e-21   72.7   7.2   1   1     2e-22     2e-20   71.5   7.2    24   263    15   289     6   298 0.74 | transcript=PVP01_1217600.1 | gene=PVP01_1217600 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=PvP01_12_v2:734765-736876(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262500.1-p1   -           1526 4894at5820           -            462   3.1e-20   70.9   9.1   1   2     0.055       5.5    4.1   1.6    28    95   487   558   468   580 0.73 | transcript=PVP01_1262500.1 | gene=PVP01_1262500 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=PvP01_12_v2:2569991-2574722(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262500.1-p1   -           1526 4894at5820           -            462   3.1e-20   70.9   9.1   2   2   1.4e-21   1.4e-19   68.7   2.3    80   218   590   729   559   757 0.83 | transcript=PVP01_1262500.1 | gene=PVP01_1262500 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=PvP01_12_v2:2569991-2574722(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1300900.1-p1   -            296 4894at5820           -            462   5.8e-20   70.0   7.4   1   1   7.1e-22   7.2e-20   69.7   7.4    49   253    62   265    20   290 0.84 | transcript=PVP01_1300900.1 | gene=PVP01_1300900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 3, putative | transcript_product=NIMA related kinase 3, putative | location=PvP01_13_v2:41061-41951(-) | protein_length=296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202200.1-p1   -            423 4894at5820           -            462   8.4e-20   69.4  24.5   1   2   1.3e-16   1.3e-14   52.3   8.2    45   159    56   170    44   184 0.92 | transcript=PVP01_1202200.1 | gene=PVP01_1202200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:92438-95743(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202200.1-p1   -            423 4894at5820           -            462   8.4e-20   69.4  24.5   2   2   2.5e-07   2.6e-05   21.7   8.0   192   435   185   407   175   421 0.83 | transcript=PVP01_1202200.1 | gene=PVP01_1202200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:92438-95743(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 4894at5820           -            462   1.4e-19   68.7   9.7   1   2   1.3e-14   1.3e-12   45.7   5.4    27   146  1126  1253  1103  1258 0.81 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410300.1-p1   -           1621 4894at5820           -            462   1.4e-19   68.7   9.7   2   2   4.3e-08   4.3e-06   24.2   0.0   172   236  1518  1585  1486  1612 0.81 | transcript=PVP01_0410300.1 | gene=PVP01_0410300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=PvP01_04_v2:420492-425357(-) | protein_length=1621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 4894at5820           -            462     9e-18   62.7   0.7   1   1   1.6e-19   1.6e-17   61.9   0.7    37   211   792   965   774   982 0.83 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264000.1-p1   -           1310 4894at5820           -            462   1.7e-17   61.9   3.9   1   2   1.4e-12   1.4e-10   39.0   0.4    68   157   918  1007   913  1024 0.91 | transcript=PVP01_1264000.1 | gene=PVP01_1264000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2642004-2645936(+) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264000.1-p1   -           1310 4894at5820           -            462   1.7e-17   61.9   3.9   2   2   9.5e-08   9.5e-06   23.1   0.2   148   217  1083  1151  1072  1166 0.83 | transcript=PVP01_1264000.1 | gene=PVP01_1264000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2642004-2645936(+) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0827800.1-p1   -            488 4894at5820           -            462   2.1e-17   61.5   1.9   1   1     3e-19     3e-17   61.0   1.9    18   219   112   325    98   332 0.77 | transcript=PVP01_0827800.1 | gene=PVP01_0827800 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 beta, putative | transcript_product=glycogen synthase kinase-3 beta, putative | location=PvP01_08_v2:1206811-1209248(+) | protein_length=488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828800.1-p1   -           3003 4894at5820           -            462   4.1e-17   60.6   0.7   1   1   6.4e-19   6.4e-17   59.9   0.7    17   268   161   444   155   454 0.75 | transcript=PVP01_0828800.1 | gene=PVP01_0828800 | organism=Plasmodium_vivax_P01 | gene_product=kinase-related protein PKRP, putative | transcript_product=kinase-related protein PKRP, putative | location=PvP01_08_v2:1236390-1245587(-) | protein_length=3003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
