#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1411600.1-p1   -            205 11745at5820          -            167    6e-108  356.5   1.3   1   2       4.3   1.6e+03   -2.8   0.1     1     9     1     9     1    14 0.85 | transcript=PVP01_1411600.1 | gene=PVP01_1411600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=PvP01_14_v2:524820-526310(-) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265000.1-p1   -            185 11745at5820          -            167   7.5e-08   30.8   0.5   1   1   3.4e-10   1.3e-07   30.0   0.5     9   138    15   140    10   178 0.75 | transcript=PVP01_1265000.1 | gene=PVP01_1265000 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_12_v2:2704793-2705612(+) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132400.1-p1   -            452 11745at5820          -            167   9.4e-08   30.5   0.0   1   2   0.00011     0.044   12.1   0.0    11    52     4    44     2    58 0.82 | transcript=PVP01_1132400.1 | gene=PVP01_1132400 | organism=Plasmodium_vivax_P01 | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=PvP01_11_v2:1389488-1390846(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132400.1-p1   -            452 11745at5820          -            167   9.4e-08   30.5   0.0   2   2   9.1e-06    0.0035   15.6   0.0    60   109   156   206   142   225 0.85 | transcript=PVP01_1132400.1 | gene=PVP01_1132400 | organism=Plasmodium_vivax_P01 | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=PvP01_11_v2:1389488-1390846(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 11745at5820          -            167    0.0077   14.5   0.0   1   2    0.0084       3.2    6.0   0.0    12    37    49    74    39    86 0.86 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 11745at5820          -            167    0.0077   14.5   0.0   2   2     0.015       5.6    5.2   0.0     8    32   568   592   562   603 0.80 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11745at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11745at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11745at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:30 2026
# [ok]
