#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0810300.1-p1   -           1751 1570at5820           -           1063         0 1812.6 132.4   1   9  3.2e-103  2.9e-100  335.1  23.5     1   197     1   207     1   211 0.95 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 1570at5820           -           1063     2e-44  150.2  89.6   3   7   4.4e-15   4.1e-12   43.3  16.4    81   380  1484  1808  1481  1823 0.67 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 1570at5820           -           1063     2e-44  150.2  89.6   4   7   1.2e-07   0.00011   18.7   1.5   470   521  1797  1846  1793  1853 0.72 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 1570at5820           -           1063     2e-44  150.2  89.6   5   7   1.7e-29   1.5e-26   91.0   0.3   574   702  2110  2232  2087  2237 0.89 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 1570at5820           -           1063     2e-44  150.2  89.6   6   7   4.5e-12   4.2e-09   33.3   0.5   775   895  2259  2383  2236  2390 0.76 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 1570at5820           -           1063     2e-44  150.2  89.6   7   7   3.8e-08   3.5e-05   20.3   0.7   891   936  2446  2491  2425  2504 0.84 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805200.1-p1   -           1554 1570at5820           -           1063     1e-35  121.4   2.4   1   3   3.6e-06    0.0034   13.7   0.0   325   362   828   864   808   869 0.85 | transcript=PVP01_0805200.1 | gene=PVP01_0805200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of nonsense transcripts 1, putative | transcript_product=regulator of nonsense transcripts 1, putative | location=PvP01_08_v2:236900-241564(-) | protein_length=1554 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805200.1-p1   -           1554 1570at5820           -           1063     1e-35  121.4   2.4   2   3   2.2e-21   2.1e-18   64.1   0.0   494   697   868  1081   863  1089 0.76 | transcript=PVP01_0805200.1 | gene=PVP01_0805200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of nonsense transcripts 1, putative | transcript_product=regulator of nonsense transcripts 1, putative | location=PvP01_08_v2:236900-241564(-) | protein_length=1554 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805200.1-p1   -           1554 1570at5820           -           1063     1e-35  121.4   2.4   3   3   1.7e-14   1.6e-11   41.3   0.2   815   928  1150  1244  1146  1280 0.78 | transcript=PVP01_0805200.1 | gene=PVP01_0805200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of nonsense transcripts 1, putative | transcript_product=regulator of nonsense transcripts 1, putative | location=PvP01_08_v2:236900-241564(-) | protein_length=1554 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907500.1-p1   -           1087 1570at5820           -           1063   4.4e-33  112.7  21.6   1   4   6.1e-05     0.057    9.7   0.0   328   366   395   433   388   435 0.91 | transcript=PVP01_0907500.1 | gene=PVP01_0907500 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | transcript_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | location=PvP01_09_v2:398603-401866(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907500.1-p1   -           1087 1570at5820           -           1063   4.4e-33  112.7  21.6   2   4   0.00046      0.43    6.8   0.1   498   523   436   461   431   467 0.88 | transcript=PVP01_0907500.1 | gene=PVP01_0907500 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | transcript_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | location=PvP01_09_v2:398603-401866(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907500.1-p1   -           1087 1570at5820           -           1063   4.4e-33  112.7  21.6   3   4   8.6e-22     8e-19   65.5   7.5   564   707   541   685   531   695 0.84 | transcript=PVP01_0907500.1 | gene=PVP01_0907500 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | transcript_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | location=PvP01_09_v2:398603-401866(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907500.1-p1   -           1087 1570at5820           -           1063   4.4e-33  112.7  21.6   4   4   1.1e-12   1.1e-09   35.3   2.9   808   926   954  1056   914  1082 0.77 | transcript=PVP01_0907500.1 | gene=PVP01_0907500 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | transcript_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | location=PvP01_09_v2:398603-401866(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103700.1-p1   -           2328 1570at5820           -           1063   8.1e-27   91.9   8.2   1   5       2.9   2.7e+03   -5.8   7.4   938  1000    68   130    31   147 0.67 | transcript=PVP01_0103700.1 | gene=PVP01_0103700 | organism=Plasmodium_vivax_P01 | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=PvP01_01_v2:168176-175162(+) | protein_length=2328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103700.1-p1   -           2328 1570at5820           -           1063   8.1e-27   91.9   8.2   2   5         7   6.5e+03  -12.2   8.9   384   450   365   427   352   466 0.50 | transcript=PVP01_0103700.1 | gene=PVP01_0103700 | organism=Plasmodium_vivax_P01 | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=PvP01_01_v2:168176-175162(+) | protein_length=2328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103700.1-p1   -           2328 1570at5820           -           1063   8.1e-27   91.9   8.2   3   5   5.3e-05      0.05    9.9   0.0   338   365  1831  1858  1820  1870 0.81 | transcript=PVP01_0103700.1 | gene=PVP01_0103700 | organism=Plasmodium_vivax_P01 | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=PvP01_01_v2:168176-175162(+) | protein_length=2328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103700.1-p1   -           2328 1570at5820           -           1063   8.1e-27   91.9   8.2   4   5     1e-22   9.5e-20   68.5   0.3   539   700  1893  2058  1860  2063 0.73 | transcript=PVP01_0103700.1 | gene=PVP01_0103700 | organism=Plasmodium_vivax_P01 | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=PvP01_01_v2:168176-175162(+) | protein_length=2328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103700.1-p1   -           2328 1570at5820           -           1063   8.1e-27   91.9   8.2   5   5   3.6e-13   3.4e-10   36.9   2.8   799  1012  2115  2299  2060  2322 0.65 | transcript=PVP01_0103700.1 | gene=PVP01_0103700 | organism=Plasmodium_vivax_P01 | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=PvP01_01_v2:168176-175162(+) | protein_length=2328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452300.1-p1   -           1884 1570at5820           -           1063   1.3e-11   41.6   9.4   1   5      0.17   1.6e+02   -1.7   0.0   499   519  1304  1324  1290  1329 0.83 | transcript=PVP01_1452300.1 | gene=PVP01_1452300 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=PvP01_14_v2:2288506-2294160(+) | protein_length=1884 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452300.1-p1   -           1884 1570at5820           -           1063   1.3e-11   41.6   9.4   2   5   7.5e-05      0.07    9.4   0.5   567   663  1420  1514  1409  1521 0.83 | transcript=PVP01_1452300.1 | gene=PVP01_1452300 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=PvP01_14_v2:2288506-2294160(+) | protein_length=1884 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452300.1-p1   -           1884 1570at5820           -           1063   1.3e-11   41.6   9.4   3   5    0.0077       7.2    2.7   0.1   674   702  1643  1671  1638  1689 0.88 | transcript=PVP01_1452300.1 | gene=PVP01_1452300 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=PvP01_14_v2:2288506-2294160(+) | protein_length=1884 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452300.1-p1   -           1884 1570at5820           -           1063   1.3e-11   41.6   9.4   4   5   1.6e-07   0.00015   18.2   0.0   815   872  1734  1786  1727  1791 0.85 | transcript=PVP01_1452300.1 | gene=PVP01_1452300 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=PvP01_14_v2:2288506-2294160(+) | protein_length=1884 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452300.1-p1   -           1884 1570at5820           -           1063   1.3e-11   41.6   9.4   5   5   6.1e-06    0.0057   13.0   0.0   890   934  1833  1877  1823  1883 0.88 | transcript=PVP01_1452300.1 | gene=PVP01_1452300 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=PvP01_14_v2:2288506-2294160(+) | protein_length=1884 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220800.1-p1   -           1256 1570at5820           -           1063   1.8e-09   34.5  27.5   1   5       1.3   1.2e+03   -4.6   1.8   941   983    16    56    14    73 0.66 | transcript=PVP01_1220800.1 | gene=PVP01_1220800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:830978-834945(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220800.1-p1   -           1256 1570at5820           -           1063   1.8e-09   34.5  27.5   2   5    0.0068       6.4    2.9   0.0   324   371   638   685   598   698 0.73 | transcript=PVP01_1220800.1 | gene=PVP01_1220800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:830978-834945(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220800.1-p1   -           1256 1570at5820           -           1063   1.8e-09   34.5  27.5   3   5   1.1e-08   1.1e-05   22.0   6.1   601   702   741   840   697   849 0.85 | transcript=PVP01_1220800.1 | gene=PVP01_1220800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:830978-834945(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220800.1-p1   -           1256 1570at5820           -           1063   1.8e-09   34.5  27.5   4   5   0.00025      0.23    7.6   0.0   777   835   928   978   879   989 0.86 | transcript=PVP01_1220800.1 | gene=PVP01_1220800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:830978-834945(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220800.1-p1   -           1256 1570at5820           -           1063   1.8e-09   34.5  27.5   5   5   1.7e-06    0.0016   14.8   1.8   851   934  1167  1236  1158  1244 0.85 | transcript=PVP01_1220800.1 | gene=PVP01_1220800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:830978-834945(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1570at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1570at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1570at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:32 2026
# [ok]
