#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1444000.1-p1   -           1143 1289at5820           -            955         0 1797.0  50.3   1   3    2e-138  1.6e-135  452.2  12.6     6   254    37   308    33   316 0.94 | transcript=PVP01_1444000.1 | gene=PVP01_1444000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_14_v2:1907310-1911281(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1106600.1-p1   -            534 1289at5820           -            955     1e-10   39.1   1.1   1   1   2.7e-13   2.2e-10   38.0   1.1   371   508    99   237    64   251 0.81 | transcript=PVP01_1106600.1 | gene=PVP01_1106600 | organism=Plasmodium_vivax_P01 | gene_product=adenylyltransferase and sulfurtransferase UBA4, putative | transcript_product=adenylyltransferase and sulfurtransferase UBA4, putative | location=PvP01_11_v2:263777-265381(+) | protein_length=534 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945200.1-p1   -            359 1289at5820           -            955   1.6e-10   38.4  13.5   1   2   1.7e-12   1.4e-09   35.3   6.2    11   120     8   122     1   134 0.82 | transcript=PVP01_0945200.1 | gene=PVP01_0945200 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-activating enzyme subunit 1, putative | transcript_product=SUMO-activating enzyme subunit 1, putative | location=PvP01_09_v2:1977796-1978875(+) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945200.1-p1   -            359 1289at5820           -            955   1.6e-10   38.4  13.5   2   2   0.00036      0.29    7.8   0.1   260   339   248   336   232   356 0.67 | transcript=PVP01_0945200.1 | gene=PVP01_0945200 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-activating enzyme subunit 1, putative | transcript_product=SUMO-activating enzyme subunit 1, putative | location=PvP01_09_v2:1977796-1978875(+) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926800.1-p1   -           1228 1289at5820           -            955    0.0007   16.5   0.1   1   1   1.3e-06     0.001   15.9   0.1   370   445   754   830   746   844 0.83 | transcript=PVP01_0926800.1 | gene=PVP01_0926800 | organism=Plasmodium_vivax_P01 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=PvP01_09_v2:1178557-1182366(-) | protein_length=1228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1204400.1-p1   -            585 1289at5820           -            955     0.036   10.8   4.1   1   1   6.2e-05      0.05   10.3   4.1    15   148     6   158     2   170 0.77 | transcript=PVP01_1204400.1 | gene=PVP01_1204400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_12_v2:180938-182695(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1289at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1289at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1289at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:10 2026
# [ok]
