#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1241900.1-p1   -            702 3507at5820           -            595         0 1300.5  28.7   1   2   2.2e-40   6.4e-38  129.0   8.8     9    79    42   117    36   124 0.93 | transcript=PVP01_1241900.1 | gene=PVP01_1241900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_12_v2:1709552-1711660(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412500.1-p1   -            420 3507at5820           -            595   2.4e-56  189.8   0.0   1   1   1.3e-58     4e-56  189.1   0.0   136   386   155   409   146   415 0.93 | transcript=PVP01_1412500.1 | gene=PVP01_1412500 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 7, putative | transcript_product=26S protease regulatory subunit 7, putative | location=PvP01_14_v2:550653-552145(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407300.1-p1   -            393 3507at5820           -            595   2.7e-54  183.1   0.1   1   1   1.4e-56   4.2e-54  182.5   0.1   138   356   132   354   115   367 0.94 | transcript=PVP01_1407300.1 | gene=PVP01_1407300 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=PvP01_14_v2:344749-345930(-) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466000.1-p1   -            424 3507at5820           -            595   4.6e-54  182.3   0.3   1   1   2.3e-56     7e-54  181.7   0.3   133   381   157   409   149   417 0.93 | transcript=PVP01_1466000.1 | gene=PVP01_1466000 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=PvP01_14_v2:2814369-2815643(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931200.1-p1   -            441 3507at5820           -            595   1.7e-53  180.5   0.1   1   1   9.9e-56   2.9e-53  179.7   0.1   140   369   185   418   172   438 0.89 | transcript=PVP01_0931200.1 | gene=PVP01_0931200 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 6A, putative | transcript_product=26S protease regulatory subunit 6A, putative | location=PvP01_09_v2:1338910-1340235(+) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426000.1-p1   -           1070 3507at5820           -            595   2.7e-53  179.8   1.4   1   2   2.5e-08   7.3e-06   23.1   0.0   177   347   243   403   201   423 0.73 | transcript=PVP01_1426000.1 | gene=PVP01_1426000 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_14_v2:1111991-1115203(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426000.1-p1   -           1070 3507at5820           -            595   2.7e-53  179.8   1.4   2   2   3.2e-48   9.5e-46  154.9   0.9   132   370   564   802   542   812 0.88 | transcript=PVP01_1426000.1 | gene=PVP01_1426000 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_14_v2:1111991-1115203(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808100.1-p1   -            447 3507at5820           -            595     9e-52  174.8   0.1   1   1   4.2e-54   1.3e-51  174.3   0.1   141   368   190   421   155   442 0.89 | transcript=PVP01_0808100.1 | gene=PVP01_0808100 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 4, putative | transcript_product=26S protease regulatory subunit 4, putative | location=PvP01_08_v2:362144-363776(-) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520100.1-p1   -            392 3507at5820           -            595   3.1e-50  169.7   0.1   1   1   1.8e-52   5.4e-50  168.9   0.1   136   379   131   378    97   387 0.93 | transcript=PVP01_0520100.1 | gene=PVP01_0520100 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 6B, putative | transcript_product=26S protease regulatory subunit 6B, putative | location=PvP01_05_v2:816808-818171(-) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249400.1-p1   -            439 3507at5820           -            595     1e-33  115.2   0.8   1   1   4.8e-36   1.4e-33  114.7   0.8    54   324    30   298     7   299 0.78 | transcript=PVP01_1249400.1 | gene=PVP01_1249400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=PvP01_12_v2:2010911-2012230(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 3507at5820           -            595   2.8e-30  103.8   0.3   1   2   8.8e-28   2.6e-25   87.4   0.1   169   353   282   482   238   501 0.85 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 3507at5820           -            595   2.8e-30  103.8   0.3   2   2   1.2e-05    0.0035   14.3   0.0   178   291   572   687   556   715 0.82 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307200.1-p1   -            700 3507at5820           -            595   9.7e-28   95.4   0.2   1   2       4.6   1.4e+03   -4.2   0.0   155   175    74    94    71    97 0.87 | transcript=PVP01_0307200.1 | gene=PVP01_0307200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_03_v2:356440-358542(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307200.1-p1   -            700 3507at5820           -            595   9.7e-28   95.4   0.2   2   2   6.4e-30   1.9e-27   94.4   0.1   137   325   418   606   397   639 0.87 | transcript=PVP01_0307200.1 | gene=PVP01_0307200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_03_v2:356440-358542(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116700.1-p1   -           1178 3507at5820           -            595   5.6e-27   92.9   0.0   1   2   1.8e-24   5.3e-22   76.4   0.0   141   275   561   704   552   713 0.84 | transcript=PVP01_0116700.1 | gene=PVP01_0116700 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:758026-761562(-) | protein_length=1178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116700.1-p1   -           1178 3507at5820           -            595   5.6e-27   92.9   0.0   2   2   1.4e-05    0.0041   14.1   0.0   275   325   788   838   771   845 0.86 | transcript=PVP01_0116700.1 | gene=PVP01_0116700 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:758026-761562(-) | protein_length=1178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0107600.1-p1   -            665 3507at5820           -            595   1.1e-14   52.3   0.1   1   1   3.6e-17   1.1e-14   52.3   0.1   152   357   319   538   311   557 0.71 | transcript=PVP01_0107600.1 | gene=PVP01_0107600 | organism=Plasmodium_vivax_P01 | gene_product=ATPase family AAA domain-containing protein 3A, putative | transcript_product=ATPase family AAA domain-containing protein 3A, putative | location=PvP01_01_v2:380468-382465(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940200.1-p1   -            627 3507at5820           -            595   8.2e-06   23.0   0.0   1   1   4.5e-08   1.3e-05   22.3   0.0   164   321   333   509   294   521 0.71 | transcript=PVP01_0940200.1 | gene=PVP01_0940200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_09_v2:1767314-1770115(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114500.1-p1   -            984 3507at5820           -            595   1.7e-05   21.9   0.0   1   1   8.9e-08   2.6e-05   21.3   0.0   174   253   740   821   736   851 0.86 | transcript=PVP01_0114500.1 | gene=PVP01_0114500 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:645674-648801(+) | protein_length=984 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145700.1-p1   -            483 3507at5820           -            595   3.1e-05   21.1   0.0   1   2     0.006       1.8    5.4   0.0   155   201   233   279   225   297 0.85 | transcript=PVP01_1145700.1 | gene=PVP01_1145700 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=PvP01_11_v2:1951737-1953188(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145700.1-p1   -            483 3507at5820           -            595   3.1e-05   21.1   0.0   2   2   2.3e-05     0.007   13.3   0.0   262   321   365   421   349   433 0.85 | transcript=PVP01_1145700.1 | gene=PVP01_1145700 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=PvP01_11_v2:1951737-1953188(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1109800.1-p1   -            483 3507at5820           -            595   0.00024   18.2   0.8   1   1   1.6e-06   0.00049   17.1   0.1   172   213    59   102    52   117 0.82 | transcript=PVP01_1109800.1 | gene=PVP01_1109800 | organism=Plasmodium_vivax_P01 | gene_product=RuvB-like helicase 3, putative | transcript_product=RuvB-like helicase 3, putative | location=PvP01_11_v2:391883-393334(+) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3507at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3507at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3507at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:07 2026
# [ok]
