#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0908600.1-p1   -           2020 2702at5820           -            961         0 1124.0 174.7   1  16      0.15   9.9e+02   -3.8   0.3     1    14     1    14     1    15 0.93 | transcript=PVP01_0908600.1 | gene=PVP01_0908600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-P, putative | transcript_product=AP2 domain transcription factor AP2-P, putative | location=PvP01_09_v2:455562-461780(-) | protein_length=2020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0908600.1-p1   -           2020 2702at5820           -            961         0 1124.0 174.7  12  16   4.2e-14   2.7e-10   37.8  17.0   672   726  1472  1526  1428  1541 0.77 | transcript=PVP01_0908600.1 | gene=PVP01_0908600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-P, putative | transcript_product=AP2 domain transcription factor AP2-P, putative | location=PvP01_09_v2:455562-461780(-) | protein_length=2020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0908600.1-p1   -           2020 2702at5820           -            961         0 1124.0 174.7  13  16   9.2e-77     6e-73  245.2   6.8   722   833  1577  1688  1561  1710 0.86 | transcript=PVP01_0908600.1 | gene=PVP01_0908600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-P, putative | transcript_product=AP2 domain transcription factor AP2-P, putative | location=PvP01_09_v2:455562-461780(-) | protein_length=2020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0908600.1-p1   -           2020 2702at5820           -            961         0 1124.0 174.7  14  16     2e-15   1.3e-11   42.1   3.9   834   889  1734  1789  1717  1817 0.77 | transcript=PVP01_0908600.1 | gene=PVP01_0908600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-P, putative | transcript_product=AP2 domain transcription factor AP2-P, putative | location=PvP01_09_v2:455562-461780(-) | protein_length=2020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0908600.1-p1   -           2020 2702at5820           -            961         0 1124.0 174.7  15  16   8.3e-18   5.4e-14   50.0   0.1   892   928  1867  1903  1863  1914 0.92 | transcript=PVP01_0908600.1 | gene=PVP01_0908600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-P, putative | transcript_product=AP2 domain transcription factor AP2-P, putative | location=PvP01_09_v2:455562-461780(-) | protein_length=2020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0908600.1-p1   -           2020 2702at5820           -            961         0 1124.0 174.7  16  16   1.7e-09   1.1e-05   22.5   0.3   929   961  1958  1994  1945  1994 0.83 | transcript=PVP01_0908600.1 | gene=PVP01_0908600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-P, putative | transcript_product=AP2 domain transcription factor AP2-P, putative | location=PvP01_09_v2:455562-461780(-) | protein_length=2020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2702at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2702at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2702at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:23 2026
# [ok]
