#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1111800.1-p1   -            181 13688at5820          -            142   7.8e-88  290.4  11.0   1   1   3.5e-90   9.6e-88  290.1  11.0     1   142    26   176    26   176 0.97 | transcript=PVP01_1111800.1 | gene=PVP01_1111800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:489273-490595(+) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 13688at5820          -            142   3.5e-10   38.7  12.7   2   3   1.9e-07   5.1e-05   21.9   0.6    44   100   134   194   130   208 0.76 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 13688at5820          -            142   3.5e-10   38.7  12.7   3   3   2.5e-07   6.8e-05   21.5   0.2    27   101   211   284   205   294 0.85 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 13688at5820          -            142     8e-09   34.3   0.0   1   2    0.0093       2.5    6.7   0.0    23   106     5    90     2   110 0.81 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 13688at5820          -            142     8e-09   34.3   0.0   2   2   1.4e-08   3.9e-06   25.6   0.0    39   102   169   231   137   241 0.76 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0715100.1-p1   -            340 13688at5820          -            142   1.3e-07   30.4   2.9   1   2     0.019         5    5.8   0.0    54    84   116   145    87   161 0.71 | transcript=PVP01_0715100.1 | gene=PVP01_0715100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=PvP01_07_v2:686613-687635(-) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0715100.1-p1   -            340 13688at5820          -            142   1.3e-07   30.4   2.9   2   2   5.7e-08   1.5e-05   23.6   1.7    25   123   170   272   157   284 0.75 | transcript=PVP01_0715100.1 | gene=PVP01_0715100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=PvP01_07_v2:686613-687635(-) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521000.1-p1   -            361 13688at5820          -            142   4.6e-07   28.6   0.8   1   2   9.4e-06    0.0026   16.4   0.1    22    77   115   170    99   192 0.83 | transcript=PVP01_0521000.1 | gene=PVP01_0521000 | organism=Plasmodium_vivax_P01 | gene_product=male development protein MD5, putative | transcript_product=male development protein MD5, putative | location=PvP01_05_v2:857281-859698(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521000.1-p1   -            361 13688at5820          -            142   4.6e-07   28.6   0.8   2   2   0.00061      0.16   10.6   0.1    25   112   202   287   191   302 0.84 | transcript=PVP01_0521000.1 | gene=PVP01_0521000 | organism=Plasmodium_vivax_P01 | gene_product=male development protein MD5, putative | transcript_product=male development protein MD5, putative | location=PvP01_05_v2:857281-859698(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907900.1-p1   -            753 13688at5820          -            142   3.5e-06   25.7   5.7   1   4         4   1.1e+03   -1.8   1.3    44    67   280   300   266   357 0.48 | transcript=PVP01_0907900.1 | gene=PVP01_0907900 | organism=Plasmodium_vivax_P01 | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=PvP01_09_v2:414963-418521(+) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907900.1-p1   -            753 13688at5820          -            142   3.5e-06   25.7   5.7   2   4   1.4e-07   3.7e-05   22.4   1.6    25   110   363   447   348   478 0.79 | transcript=PVP01_0907900.1 | gene=PVP01_0907900 | organism=Plasmodium_vivax_P01 | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=PvP01_09_v2:414963-418521(+) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907900.1-p1   -            753 13688at5820          -            142   3.5e-06   25.7   5.7   3   4       3.6   9.7e+02   -1.7   0.7    43    93   477   528   453   534 0.56 | transcript=PVP01_0907900.1 | gene=PVP01_0907900 | organism=Plasmodium_vivax_P01 | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=PvP01_09_v2:414963-418521(+) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907900.1-p1   -            753 13688at5820          -            142   3.5e-06   25.7   5.7   4   4   5.2e-05     0.014   14.0   0.1    11    99   649   738   645   752 0.85 | transcript=PVP01_0907900.1 | gene=PVP01_0907900 | organism=Plasmodium_vivax_P01 | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=PvP01_09_v2:414963-418521(+) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939900.1-p1   -           1865 13688at5820          -            142   4.9e-06   25.2   0.4   1   1   1.2e-07   3.2e-05   22.6   0.1    23    99  1041  1119  1030  1135 0.81 | transcript=PVP01_0939900.1 | gene=PVP01_0939900 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_09_v2:1734255-1739852(+) | protein_length=1865 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 13688at5820          -            142   5.6e-06   25.0   5.0   1   3     0.083        23    3.6   0.1    26    84    83   141    70   162 0.81 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 13688at5820          -            142   5.6e-06   25.0   5.0   2   3   3.9e-06    0.0011   17.7   0.8    17   106   172   263   158   284 0.82 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 13688at5820          -            142   5.6e-06   25.0   5.0   3   3   4.4e-06    0.0012   17.5   0.2    27   103   396   472   391   496 0.83 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0802200.1-p1   -            328 13688at5820          -            142   7.4e-06   24.7   1.3   1   2   2.7e-08   7.4e-06   24.7   1.3    22   104    92   175    82   206 0.83 | transcript=PVP01_0802200.1 | gene=PVP01_0802200 | organism=Plasmodium_vivax_P01 | gene_product=transformer-2 protein homolog beta, putative | transcript_product=transformer-2 protein homolog beta, putative | location=PvP01_08_v2:116660-119781(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0802200.1-p1   -            328 13688at5820          -            142   7.4e-06   24.7   1.3   2   2       6.6   1.8e+03   -2.5   0.4   120   139   246   265   235   301 0.65 | transcript=PVP01_0802200.1 | gene=PVP01_0802200 | organism=Plasmodium_vivax_P01 | gene_product=transformer-2 protein homolog beta, putative | transcript_product=transformer-2 protein homolog beta, putative | location=PvP01_08_v2:116660-119781(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820700.1-p1   -            299 13688at5820          -            142   1.5e-05   23.7   2.3   1   2   5.9e-08   1.6e-05   23.6   0.0    19    99    30   110    18   123 0.89 | transcript=PVP01_0820700.1 | gene=PVP01_0820700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:909033-910367(-) | protein_length=299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820700.1-p1   -            299 13688at5820          -            142   1.5e-05   23.7   2.3   2   2       4.2   1.2e+03   -1.9   1.1    90   112   215   237   181   257 0.70 | transcript=PVP01_0820700.1 | gene=PVP01_0820700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:909033-910367(-) | protein_length=299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1016700.1-p1   -            314 13688at5820          -            142   4.8e-05   22.0   1.5   1   3   7.2e-06    0.0019   16.8   0.0    24    93     7    74     2    86 0.84 | transcript=PVP01_1016700.1 | gene=PVP01_1016700 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=PvP01_10_v2:743534-744685(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1016700.1-p1   -            314 13688at5820          -            142   4.8e-05   22.0   1.5   2   3     0.084        23    3.6   0.0    66    89   144   167   137   192 0.76 | transcript=PVP01_1016700.1 | gene=PVP01_1016700 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=PvP01_10_v2:743534-744685(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1016700.1-p1   -            314 13688at5820          -            142   4.8e-05   22.0   1.5   3   3       7.9   2.1e+03   -2.8   0.4    42    61   265   284   245   296 0.60 | transcript=PVP01_1016700.1 | gene=PVP01_1016700 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=PvP01_10_v2:743534-744685(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232900.1-p1   -           1029 13688at5820          -            142   0.00018   20.2   6.4   1   3   8.1e-05     0.022   13.4   0.1    55   114   669   728   635   739 0.86 | transcript=PVP01_1232900.1 | gene=PVP01_1232900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=PvP01_12_v2:1323265-1326509(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232900.1-p1   -           1029 13688at5820          -            142   0.00018   20.2   6.4   2   3    0.0033       0.9    8.2   0.0    31   113   747   828   732   851 0.75 | transcript=PVP01_1232900.1 | gene=PVP01_1232900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=PvP01_12_v2:1323265-1326509(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232900.1-p1   -           1029 13688at5820          -            142   0.00018   20.2   6.4   3   3       1.6   4.4e+02   -0.5   0.0    52    94   972  1012   953  1017 0.75 | transcript=PVP01_1232900.1 | gene=PVP01_1232900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=PvP01_12_v2:1323265-1326509(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1120100.1-p1   -            670 13688at5820          -            142   0.00018   20.2   2.5   1   2      0.39   1.1e+02    1.5   0.3    55    99    59   102    32   128 0.66 | transcript=PVP01_1120100.1 | gene=PVP01_1120100 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 3, putative | transcript_product=polyadenylate-binding protein 3, putative | location=PvP01_11_v2:868106-870118(-) | protein_length=670 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1120100.1-p1   -            670 13688at5820          -            142   0.00018   20.2   2.5   2   2   3.9e-06    0.0011   17.7   0.1    23   100   129   207   116   215 0.81 | transcript=PVP01_1120100.1 | gene=PVP01_1120100 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 3, putative | transcript_product=polyadenylate-binding protein 3, putative | location=PvP01_11_v2:868106-870118(-) | protein_length=670 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733700.1-p1   -            192 13688at5820          -            142   0.00019   20.1   0.9   1   2   0.00013     0.036   12.7   0.5    28   109    13    95     5   109 0.74 | transcript=PVP01_0733700.1 | gene=PVP01_0733700 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=PvP01_07_v2:1381870-1382448(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733700.1-p1   -            192 13688at5820          -            142   0.00019   20.1   0.9   2   2     0.014       3.9    6.1   0.0    22    57   117   152   105   178 0.86 | transcript=PVP01_0733700.1 | gene=PVP01_0733700 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=PvP01_07_v2:1381870-1382448(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030600.1-p1   -            328 13688at5820          -            142   0.00019   20.1   0.0   1   1     7e-07   0.00019   20.1   0.0    32    95    19    83     8   104 0.80 | transcript=PVP01_1030600.1 | gene=PVP01_1030600 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 12, putative | transcript_product=serine/arginine-rich splicing factor 12, putative | location=PvP01_10_v2:1320761-1321747(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142400.1-p1   -            757 13688at5820          -            142   0.00031   19.4   0.6   1   3       2.5   6.8e+02   -1.2   0.0    70   112   455   499   419   519 0.69 | transcript=PVP01_1142400.1 | gene=PVP01_1142400 | organism=Plasmodium_vivax_P01 | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=PvP01_11_v2:1805221-1808242(+) | protein_length=757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142400.1-p1   -            757 13688at5820          -            142   0.00031   19.4   0.6   2   3      0.14        37    2.9   0.0    28   119   563   657   553   672 0.73 | transcript=PVP01_1142400.1 | gene=PVP01_1142400 | organism=Plasmodium_vivax_P01 | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=PvP01_11_v2:1805221-1808242(+) | protein_length=757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142400.1-p1   -            757 13688at5820          -            142   0.00031   19.4   0.6   3   3   0.00013     0.034   12.8   0.1    27   101   680   753   671   756 0.85 | transcript=PVP01_1142400.1 | gene=PVP01_1142400 | organism=Plasmodium_vivax_P01 | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=PvP01_11_v2:1805221-1808242(+) | protein_length=757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421700.1-p1   -            124 13688at5820          -            142   0.00042   19.0   1.2   1   1   1.7e-06   0.00047   18.8   1.2    29   120    12   101     3   119 0.77 | transcript=PVP01_1421700.1 | gene=PVP01_1421700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:939195-940065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261400.1-p1   -            786 13688at5820          -            142    0.0012   17.5   2.3   1   1   6.5e-06    0.0018   16.9   0.5    20   110    23   113    14   126 0.83 | transcript=PVP01_1261400.1 | gene=PVP01_1261400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_12_v2:2531620-2534682(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342700.1-p1   -            119 13688at5820          -            142    0.0019   16.9   0.1   1   1   9.9e-06    0.0027   16.4   0.1    23    98    33   108    15   118 0.85 | transcript=PVP01_1342700.1 | gene=PVP01_1342700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=PvP01_13_v2:1878663-1879391(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443100.1-p1   -            110 13688at5820          -            142    0.0028   16.3   0.0   1   1   1.2e-05    0.0034   16.0   0.0    27    99    16    85     6   109 0.78 | transcript=PVP01_1443100.1 | gene=PVP01_1443100 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=PvP01_14_v2:1872345-1872932(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722400.1-p1   -            202 13688at5820          -            142    0.0029   16.3   0.0   1   1   1.7e-05    0.0046   15.6   0.0    21   100    67   145    54   157 0.88 | transcript=PVP01_0722400.1 | gene=PVP01_0722400 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 2, putative | transcript_product=polyadenylate-binding protein 2, putative | location=PvP01_07_v2:965522-966980(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13688at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13688at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13688at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:08 2026
# [ok]
