#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1418000.1-p1   -            955 1924at5820           -            822         0 1773.9  41.2   1   2         0         0 1451.3  29.7     8   657     4   703     2   711 0.97 | transcript=PVP01_1418000.1 | gene=PVP01_1418000 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=PvP01_14_v2:783485-786352(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310500.1-p1   -           1321 1924at5820           -            822   1.2e-58  197.4  20.5   1   3    0.0065       5.3    3.4   6.2   229   397   265   431   253   473 0.71 | transcript=PVP01_1310500.1 | gene=PVP01_1310500 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=PvP01_13_v2:482705-487343(-) | protein_length=1321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310500.1-p1   -           1321 1924at5820           -            822   1.2e-58  197.4  20.5   2   3   1.1e-54   8.9e-52  174.7   1.5   444   652   810  1019   792  1027 0.95 | transcript=PVP01_1310500.1 | gene=PVP01_1310500 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=PvP01_13_v2:482705-487343(-) | protein_length=1321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310500.1-p1   -           1321 1924at5820           -            822   1.2e-58  197.4  20.5   3   3   3.1e-10   2.5e-07   27.6   0.2   661   730  1137  1209  1120  1254 0.85 | transcript=PVP01_1310500.1 | gene=PVP01_1310500 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=PvP01_13_v2:482705-487343(-) | protein_length=1321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525700.1-p1   -           1314 1924at5820           -            822     2e-35  120.6   3.4   1   6       2.9   2.4e+03   -5.4   3.5   166   206    32    72    24    80 0.84 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525700.1-p1   -           1314 1924at5820           -            822     2e-35  120.6   3.4   2   6       2.3   1.8e+03   -5.0   1.8   207   259   301   359   278   384 0.63 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525700.1-p1   -           1314 1924at5820           -            822     2e-35  120.6   3.4   3   6     0.035        29    1.0   0.3   302   389   491   574   469   598 0.76 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525700.1-p1   -           1314 1924at5820           -            822     2e-35  120.6   3.4   4   6     0.047        39    0.6   0.0   447   479   723   755   687   768 0.85 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525700.1-p1   -           1314 1924at5820           -            822     2e-35  120.6   3.4   5   6   1.4e-35   1.1e-32  111.5   1.5   485   649   877  1042   865  1051 0.86 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525700.1-p1   -           1314 1924at5820           -            822     2e-35  120.6   3.4   6   6   1.9e-07   0.00016   18.4   0.0   660   736  1153  1228  1133  1238 0.83 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1924at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1924at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1924at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:23 2026
# [ok]
