#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1326000.1-p1   -            533 6247at5820           -            432  3.7e-255  844.9  32.3   1   1  2.4e-256  2.2e-253  839.0  32.3     1   432     1   475     1   475 0.95 | transcript=PVP01_1326000.1 | gene=PVP01_1326000 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=PvP01_13_v2:1132456-1134057(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020500.1-p1   -            288 6247at5820           -            432   0.00017   19.0   0.0   1   1   2.9e-07   0.00027   18.3   0.0   282   335    85   139    54   160 0.86 | transcript=PVP01_1020500.1 | gene=PVP01_1020500 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein YihA1, putative | transcript_product=GTP-binding protein YihA1, putative | location=PvP01_10_v2:886857-889055(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1009500.1-p1   -            365 6247at5820           -            432    0.0014   15.9   0.0   1   3   1.5e-06    0.0014   15.9   0.0   276   336    58   120    52   129 0.74 | transcript=PVP01_1009500.1 | gene=PVP01_1009500 | organism=Plasmodium_vivax_P01 | gene_product=ribosome-interacting GTPase 1, putative | transcript_product=ribosome-interacting GTPase 1, putative | location=PvP01_10_v2:422852-423949(+) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1009500.1-p1   -            365 6247at5820           -            432    0.0014   15.9   0.0   2   3      0.17   1.6e+02   -0.7   0.5   181   266   136   232   126   241 0.57 | transcript=PVP01_1009500.1 | gene=PVP01_1009500 | organism=Plasmodium_vivax_P01 | gene_product=ribosome-interacting GTPase 1, putative | transcript_product=ribosome-interacting GTPase 1, putative | location=PvP01_10_v2:422852-423949(+) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1009500.1-p1   -            365 6247at5820           -            432    0.0014   15.9   0.0   3   3       1.5   1.4e+03   -3.9   0.2    87   121   308   341   303   349 0.54 | transcript=PVP01_1009500.1 | gene=PVP01_1009500 | organism=Plasmodium_vivax_P01 | gene_product=ribosome-interacting GTPase 1, putative | transcript_product=ribosome-interacting GTPase 1, putative | location=PvP01_10_v2:422852-423949(+) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6247at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6247at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6247at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:40 2026
# [ok]
