#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1424700.1-p1   -            771 3302at5820           -            593         0 1262.2  31.4   1   2  3.9e-135  1.6e-132  441.6   5.9     1   205    99   308    99   328 0.96 | transcript=PVP01_1424700.1 | gene=PVP01_1424700 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=PvP01_14_v2:1065963-1068278(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255900.1-p1   -            832 3302at5820           -            593   1.8e-20   71.5   1.8   2   2      0.16        66    0.3   0.0   319   385   487   555   361   561 0.54 | transcript=PVP01_1255900.1 | gene=PVP01_1255900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=PvP01_12_v2:2295092-2297590(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 3302at5820           -            593   3.4e-19   67.3   5.4   1   2   1.6e-09   6.5e-07   26.8   0.4     7    66     9    73     4    83 0.77 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 3302at5820           -            593   3.4e-19   67.3   5.4   2   2   3.5e-14   1.4e-11   42.1   0.6    68   148   173   258   163   308 0.75 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223900.1-p1   -            456 3302at5820           -            593     9e-17   59.3   3.5   1   1   2.7e-19   1.1e-16   59.0   3.5    12   278    73   342    62   378 0.81 | transcript=PVP01_1223900.1 | gene=PVP01_1223900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:927062-928432(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1453500.1-p1   -           1110 3302at5820           -            593   2.4e-14   51.3   0.4   1   1   1.1e-16   4.4e-14   50.4   0.4     9   134    23   153    19   185 0.77 | transcript=PVP01_1453500.1 | gene=PVP01_1453500 | organism=Plasmodium_vivax_P01 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=PvP01_14_v2:2335852-2339184(-) | protein_length=1110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API02800.1-p1  -            409 3302at5820           -            593   5.2e-14   50.2  16.9   1   1   1.6e-16   6.6e-14   49.9  16.9     5   277     7   289     3   309 0.77 | transcript=PVP01_API02800.1 | gene=PVP01_API02800 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_API_v2:8576-9805(+) | protein_length=409 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803600.1-p1   -           1247 3302at5820           -            593     1e-12   46.0   8.4   1   3    0.0012      0.51    7.3   0.0     8    39   180   211   175   217 0.85 | transcript=PVP01_0803600.1 | gene=PVP01_0803600 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=PvP01_08_v2:174624-178367(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803600.1-p1   -           1247 3302at5820           -            593     1e-12   46.0   8.4   2   3   6.3e-14   2.6e-11   41.3   2.5    55   134   310   388   296   410 0.91 | transcript=PVP01_0803600.1 | gene=PVP01_0803600 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=PvP01_08_v2:174624-178367(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803600.1-p1   -           1247 3302at5820           -            593     1e-12   46.0   8.4   3   3       1.7   6.8e+02   -3.0   0.1   216   244   623   651   608   710 0.65 | transcript=PVP01_0803600.1 | gene=PVP01_0803600 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=PvP01_08_v2:174624-178367(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114800.1-p1   -            443 3302at5820           -            593   2.2e-08   31.6   0.8   1   1     3e-10   1.2e-07   29.1   0.8    39   163    55   187     3   299 0.69 | transcript=PVP01_1114800.1 | gene=PVP01_1114800 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=PvP01_11_v2:631642-632973(-) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114900.1-p1   -            443 3302at5820           -            593   2.2e-08   31.6   0.8   1   1     3e-10   1.2e-07   29.1   0.8    39   163    55   187     3   299 0.69 | transcript=PVP01_1114900.1 | gene=PVP01_1114900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=PvP01_11_v2:634386-635717(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017400.1-p1   -           1372 3302at5820           -            593   1.2e-06   25.9   3.2   1   2   4.1e-09   1.7e-06   25.4   2.5    10   159   765   906   759   930 0.78 | transcript=PVP01_1017400.1 | gene=PVP01_1017400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, sporozoite surface antigen MB2, putative | transcript_product=translation initiation factor IF-2 | location=PvP01_10_v2:779143-783261(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017400.1-p1   -           1372 3302at5820           -            593   1.2e-06   25.9   3.2   2   2       2.1   8.6e+02   -3.4   0.0   280   328  1001  1049   991  1059 0.79 | transcript=PVP01_1017400.1 | gene=PVP01_1017400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, sporozoite surface antigen MB2, putative | transcript_product=translation initiation factor IF-2 | location=PvP01_10_v2:779143-783261(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507300.1-p1   -           1170 3302at5820           -            593   1.1e-05   22.7   0.9   1   1     5e-08     2e-05   21.8   0.9    13   180   592   746   579   759 0.73 | transcript=PVP01_0507300.1 | gene=PVP01_0507300 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_05_v2:320142-323654(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924000.1-p1   -            547 3302at5820           -            593   8.4e-05   19.8   0.1   1   1   1.2e-06    0.0005   17.2   0.1     6   137   106   264   100   312 0.67 | transcript=PVP01_0924000.1 | gene=PVP01_0924000 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=PvP01_09_v2:1074814-1076720(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204900.1-p1   -            776 3302at5820           -            593     0.066   10.2   1.1   1   2     0.039        16    2.4   0.0    13    57     5    45     2    50 0.85 | transcript=PVP01_0204900.1 | gene=PVP01_0204900 | organism=Plasmodium_vivax_P01 | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=PvP01_02_v2:226816-229146(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204900.1-p1   -            776 3302at5820           -            593     0.066   10.2   1.1   2   2    0.0033       1.3    5.9   0.5    72   134   128   189   122   208 0.81 | transcript=PVP01_0204900.1 | gene=PVP01_0204900 | organism=Plasmodium_vivax_P01 | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=PvP01_02_v2:226816-229146(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3302at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3302at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3302at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:23 2026
# [ok]
