#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0515400.1-p1   -            690 3994at5820           -            641         0 1477.0  29.4   1   2         0         0 1469.5   6.3     1   634     8   657     8   657 0.99 | transcript=PVP01_0515400.1 | gene=PVP01_0515400 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 70, putative | transcript_product=heat shock protein 70, putative | location=PvP01_05_v2:641615-643687(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720200.1-p1   -            616 3994at5820           -            641   3.3e-07   27.3   2.7   2   2       2.8     2e+03   -5.1  11.8   602   629   262   288   249   298 0.48 | transcript=PVP01_0720200.1 | gene=PVP01_0720200 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_07_v2:878869-881193(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0421100.1-p1   -            796 3994at5820           -            641   9.8e-06   22.4   1.1   1   1   2.9e-08   2.1e-05   21.3   1.1   604   631   600   627   527   633 0.61 | transcript=PVP01_0421100.1 | gene=PVP01_0421100 | organism=Plasmodium_vivax_P01 | gene_product=condensin-2 complex subunit H2, putative | transcript_product=condensin-2 complex subunit H2, putative | location=PvP01_04_v2:857117-859660(-) | protein_length=796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006300.1-p1   -            467 3994at5820           -            641   3.1e-05   20.7  15.4   1   3   4.3e-08   3.1e-05   20.7  15.4   535   634   231   331   209   332 0.55 | transcript=PVP01_1006300.1 | gene=PVP01_1006300 | organism=Plasmodium_vivax_P01 | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=PvP01_10_v2:279693-281543(-) | protein_length=467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006300.1-p1   -            467 3994at5820           -            641   3.1e-05   20.7  15.4   2   3         9   6.5e+03  -25.4  59.0   617   634   338   355   317   381 0.57 | transcript=PVP01_1006300.1 | gene=PVP01_1006300 | organism=Plasmodium_vivax_P01 | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=PvP01_10_v2:279693-281543(-) | protein_length=467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006300.1-p1   -            467 3994at5820           -            641   3.1e-05   20.7  15.4   3   3    0.0049       3.6    4.0  26.6   608   632   380   404   376   413 0.62 | transcript=PVP01_1006300.1 | gene=PVP01_1006300 | organism=Plasmodium_vivax_P01 | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=PvP01_10_v2:279693-281543(-) | protein_length=467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1106300.1-p1   -            465 3994at5820           -            641       6.1    3.3  13.6   1   2   4.8e-06    0.0035   14.0   1.8   606   635    59    88    22    93 0.77 | transcript=PVP01_1106300.1 | gene=PVP01_1106300 | organism=Plasmodium_vivax_P01 | gene_product=SNARE associated Golgi protein, putative | transcript_product=SNARE associated Golgi protein, putative | location=PvP01_11_v2:255631-257334(+) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1106300.1-p1   -            465 3994at5820           -            641       6.1    3.3  13.6   2   2         9   6.5e+03   -7.8   4.3   605   630   130   154   107   164 0.47 | transcript=PVP01_1106300.1 | gene=PVP01_1106300 | organism=Plasmodium_vivax_P01 | gene_product=SNARE associated Golgi protein, putative | transcript_product=SNARE associated Golgi protein, putative | location=PvP01_11_v2:255631-257334(+) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3994at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3994at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3994at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:49 2026
# [ok]
