#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1124900.1-p1   -           2934 313at5820            -           2082         0 3978.0 295.8   1   5         0         0 1938.3  49.8     1   881     1   929     1   932 0.90 | transcript=PVP01_1124900.1 | gene=PVP01_1124900 | organism=Plasmodium_vivax_P01 | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=PvP01_11_v2:1081518-1090322(-) | protein_length=2934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905000.1-p1   -           1396 313at5820            -           2082   2.6e-83  278.7  10.4   7   7       7.7   4.2e+03   -7.2   6.8  1736  1864  1111  1174   999  1277 0.51 | transcript=PVP01_0905000.1 | gene=PVP01_0905000 | organism=Plasmodium_vivax_P01 | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=PvP01_09_v2:300938-305917(-) | protein_length=1396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609100.1-p1   -           3265 313at5820            -           2082   6.4e-61  204.4   5.1   1   4   4.4e-30   2.4e-27   93.1   0.2   329   521  1387  1589  1378  1605 0.81 | transcript=PVP01_0609100.1 | gene=PVP01_0609100 | organism=Plasmodium_vivax_P01 | gene_product=SNF2 helicase, putative, chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=PvP01_06_v2:399358-409155(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609100.1-p1   -           3265 313at5820            -           2082   6.4e-61  204.4   5.1   2   4     0.011       6.2    2.2   0.3   550   645  1586  1685  1578  1695 0.79 | transcript=PVP01_0609100.1 | gene=PVP01_0609100 | organism=Plasmodium_vivax_P01 | gene_product=SNF2 helicase, putative, chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=PvP01_06_v2:399358-409155(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609100.1-p1   -           3265 313at5820            -           2082   6.4e-61  204.4   5.1   3   4   2.1e-39   1.1e-36  124.0   1.0   923  1061  1721  1859  1691  1944 0.94 | transcript=PVP01_0609100.1 | gene=PVP01_0609100 | organism=Plasmodium_vivax_P01 | gene_product=SNF2 helicase, putative, chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=PvP01_06_v2:399358-409155(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609100.1-p1   -           3265 313at5820            -           2082   6.4e-61  204.4   5.1   4   4      0.52   2.8e+02   -3.3   1.9   808   848  2325  2365  2322  2419 0.46 | transcript=PVP01_0609100.1 | gene=PVP01_0609100 | organism=Plasmodium_vivax_P01 | gene_product=SNF2 helicase, putative, chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=PvP01_06_v2:399358-409155(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0516600.1-p1   -           1117 313at5820            -           2082   5.3e-53  178.2  41.8   1   4       1.4   7.6e+02   -4.7  11.6   824   898   114   191   105   196 0.51 | transcript=PVP01_0516600.1 | gene=PVP01_0516600 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_05_v2:691310-695680(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0516600.1-p1   -           1117 313at5820            -           2082   5.3e-53  178.2  41.8   2   4   4.9e-33   2.7e-30  102.9  18.9   274   540   167   442   137   473 0.81 | transcript=PVP01_0516600.1 | gene=PVP01_0516600 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_05_v2:691310-695680(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0516600.1-p1   -           1117 313at5820            -           2082   5.3e-53  178.2  41.8   3   4      0.17        90   -1.6   0.3   534   613   502   582   488   590 0.65 | transcript=PVP01_0516600.1 | gene=PVP01_0516600 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_05_v2:691310-695680(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0516600.1-p1   -           1117 313at5820            -           2082   5.3e-53  178.2  41.8   4   4   2.6e-29   1.4e-26   90.5  14.9   842  1055   880  1094   860  1115 0.69 | transcript=PVP01_0516600.1 | gene=PVP01_0516600 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_05_v2:691310-695680(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409000.1-p1   -           1597 313at5820            -           2082   3.3e-52  175.6  23.3   1   4   2.6e-36   1.4e-33  113.8   0.0   325   529   692   909   647   922 0.83 | transcript=PVP01_0409000.1 | gene=PVP01_0409000 | organism=Plasmodium_vivax_P01 | gene_product=SNF2-like chromatin remodeling ATPase, putative | transcript_product=SNF2-like chromatin remodeling ATPase, putative | location=PvP01_04_v2:363099-367892(-) | protein_length=1597 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409000.1-p1   -           1597 313at5820            -           2082   3.3e-52  175.6  23.3   2   4      0.27   1.5e+02   -2.4   0.0   573   645   928  1005   907  1021 0.71 | transcript=PVP01_0409000.1 | gene=PVP01_0409000 | organism=Plasmodium_vivax_P01 | gene_product=SNF2-like chromatin remodeling ATPase, putative | transcript_product=SNF2-like chromatin remodeling ATPase, putative | location=PvP01_04_v2:363099-367892(-) | protein_length=1597 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409000.1-p1   -           1597 313at5820            -           2082   3.3e-52  175.6  23.3   3   4   1.9e-05      0.01   11.4   0.2   925   973  1040  1088  1010  1091 0.91 | transcript=PVP01_0409000.1 | gene=PVP01_0409000 | organism=Plasmodium_vivax_P01 | gene_product=SNF2-like chromatin remodeling ATPase, putative | transcript_product=SNF2-like chromatin remodeling ATPase, putative | location=PvP01_04_v2:363099-367892(-) | protein_length=1597 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409000.1-p1   -           1597 313at5820            -           2082   3.3e-52  175.6  23.3   4   4   5.9e-22   3.2e-19   66.2   0.0   978  1111  1127  1255  1116  1290 0.84 | transcript=PVP01_0409000.1 | gene=PVP01_0409000 | organism=Plasmodium_vivax_P01 | gene_product=SNF2-like chromatin remodeling ATPase, putative | transcript_product=SNF2-like chromatin remodeling ATPase, putative | location=PvP01_04_v2:363099-367892(-) | protein_length=1597 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116800.1-p1   -           1093 313at5820            -           2082   7.2e-45  151.2  12.9   1   4   2.6e-28   1.4e-25   87.3   0.4   297   538    92   344    80   361 0.79 | transcript=PVP01_0116800.1 | gene=PVP01_0116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair and recombination protein RAD54, putative | transcript_product=DNA repair and recombination protein RAD54, putative | location=PvP01_01_v2:763437-766718(-) | protein_length=1093 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116800.1-p1   -           1093 313at5820            -           2082   7.2e-45  151.2  12.9   2   4     0.026        14    1.0   0.4   566   645   347   429   340   441 0.77 | transcript=PVP01_0116800.1 | gene=PVP01_0116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair and recombination protein RAD54, putative | transcript_product=DNA repair and recombination protein RAD54, putative | location=PvP01_01_v2:763437-766718(-) | protein_length=1093 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116800.1-p1   -           1093 313at5820            -           2082   7.2e-45  151.2  12.9   3   4   3.2e-25   1.7e-22   77.0   6.7   867  1078   496   703   435   738 0.68 | transcript=PVP01_0116800.1 | gene=PVP01_0116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair and recombination protein RAD54, putative | transcript_product=DNA repair and recombination protein RAD54, putative | location=PvP01_01_v2:763437-766718(-) | protein_length=1093 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116800.1-p1   -           1093 313at5820            -           2082   7.2e-45  151.2  12.9   4   4      0.67   3.7e+02   -3.7  36.4   820   915   871   965   866   979 0.45 | transcript=PVP01_0116800.1 | gene=PVP01_0116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair and recombination protein RAD54, putative | transcript_product=DNA repair and recombination protein RAD54, putative | location=PvP01_01_v2:763437-766718(-) | protein_length=1093 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1467900.1-p1   -           1589 313at5820            -           2082   2.4e-36  122.9  10.1   1   4   1.7e-08   9.1e-06   21.5   0.0   330   379   225   276   127   279 0.91 | transcript=PVP01_1467900.1 | gene=PVP01_1467900 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=PvP01_14_v2:2891982-2896942(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1467900.1-p1   -           1589 313at5820            -           2082   2.4e-36  122.9  10.1   2   4     0.091        49   -0.8   0.0   373   440   366   429   363   442 0.68 | transcript=PVP01_1467900.1 | gene=PVP01_1467900 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=PvP01_14_v2:2891982-2896942(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1467900.1-p1   -           1589 313at5820            -           2082   2.4e-36  122.9  10.1   3   4   4.2e-11   2.3e-08   30.2   0.0   453   506   964  1018   949  1045 0.89 | transcript=PVP01_1467900.1 | gene=PVP01_1467900 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=PvP01_14_v2:2891982-2896942(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1467900.1-p1   -           1589 313at5820            -           2082   2.4e-36  122.9  10.1   4   4   1.8e-23   9.6e-21   71.2   4.3   843  1049  1342  1560  1301  1578 0.71 | transcript=PVP01_1467900.1 | gene=PVP01_1467900 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=PvP01_14_v2:2891982-2896942(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0010870.1-p1   -            335 313at5820            -           2082   4.5e-34  115.4   0.6   1   1   1.2e-36   6.8e-34  114.8   0.6   330   513     4   186     2   213 0.88 | transcript=PVP01_0010870.1 | gene=PVP01_0010870 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Transfer.PvP01_00_203.final:1-1104(+) | protein_length=335 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_1114400.1-p1   -            877 313at5820            -           2082   9.4e-31  104.4   6.3   1   2   1.7e-15     9e-13   44.8   0.1   329   519   313   490   267   503 0.83 | transcript=PVP01_1114400.1 | gene=PVP01_1114400 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_11_v2:617560-620193(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114400.1-p1   -            877 313at5820            -           2082   9.4e-31  104.4   6.3   2   2   1.1e-20   5.9e-18   62.0   0.5   926  1041   634   749   629   776 0.92 | transcript=PVP01_1114400.1 | gene=PVP01_1114400 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_11_v2:617560-620193(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211400.1-p1   -           1529 313at5820            -           2082   3.7e-22   75.9   8.2   1   5       1.7   9.1e+02   -5.0   2.4  1530  1573   156   212   143   265 0.53 | transcript=PVP01_1211400.1 | gene=PVP01_1211400 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=PvP01_12_v2:492837-497910(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211400.1-p1   -           1529 313at5820            -           2082   3.7e-22   75.9   8.2   2   5   6.5e-05     0.036    9.6   0.0   350   375   724   749   721   756 0.87 | transcript=PVP01_1211400.1 | gene=PVP01_1211400 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=PvP01_12_v2:492837-497910(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211400.1-p1   -           1529 313at5820            -           2082   3.7e-22   75.9   8.2   3   5      0.66   3.6e+02   -3.6   0.0   378   411   780   815   775   844 0.68 | transcript=PVP01_1211400.1 | gene=PVP01_1211400 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=PvP01_12_v2:492837-497910(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211400.1-p1   -           1529 313at5820            -           2082   3.7e-22   75.9   8.2   4   5   1.5e-07   8.2e-05   18.4   0.0   453   507   962  1016   957  1142 0.83 | transcript=PVP01_1211400.1 | gene=PVP01_1211400 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=PvP01_12_v2:492837-497910(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211400.1-p1   -           1529 313at5820            -           2082   3.7e-22   75.9   8.2   5   5   3.7e-17     2e-14   50.2   0.0   979  1045  1417  1483  1411  1518 0.87 | transcript=PVP01_1211400.1 | gene=PVP01_1211400 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=PvP01_12_v2:492837-497910(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942500.1-p1   -            426 313at5820            -           2082     9e-05   18.2  10.7   1   3   1.7e-07     9e-05   18.2  10.7    51   120    55   120    33   140 0.66 | transcript=PVP01_0942500.1 | gene=PVP01_0942500 | organism=Plasmodium_vivax_P01 | gene_product=EELM2 domain-containing protein, putative | transcript_product=EELM2 domain-containing protein, putative | location=PvP01_09_v2:1877534-1879741(-) | protein_length=426 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942500.1-p1   -            426 313at5820            -           2082     9e-05   18.2  10.7   2   3     0.065        35   -0.3   0.9   853   905   137   189   127   220 0.76 | transcript=PVP01_0942500.1 | gene=PVP01_0942500 | organism=Plasmodium_vivax_P01 | gene_product=EELM2 domain-containing protein, putative | transcript_product=EELM2 domain-containing protein, putative | location=PvP01_09_v2:1877534-1879741(-) | protein_length=426 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942500.1-p1   -            426 313at5820            -           2082     9e-05   18.2  10.7   3   3       3.5   1.9e+03   -6.0  33.3   808   867   348   409   317   421 0.51 | transcript=PVP01_0942500.1 | gene=PVP01_0942500 | organism=Plasmodium_vivax_P01 | gene_product=EELM2 domain-containing protein, putative | transcript_product=EELM2 domain-containing protein, putative | location=PvP01_09_v2:1877534-1879741(-) | protein_length=426 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0305800.1-p1   -            847 313at5820            -           2082      0.14    7.6  18.6   1   1   0.00039      0.21    7.1  18.6   819   880   354   416   334   442 0.53 | transcript=PVP01_0305800.1 | gene=PVP01_0305800 | organism=Plasmodium_vivax_P01 | gene_product=NYN domain-containing protein, putative | transcript_product=NYN domain-containing protein, putative | location=PvP01_03_v2:300645-303365(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/313at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/313at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/313at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:53 2026
# [ok]
