#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1115300.1-p1   -            479 5343at5820           -            436  1.5e-284  941.9  17.4   1   1  2.2e-287  1.8e-284  941.7  17.4     1   436     7   472     7   472 0.97 | transcript=PVP01_1115300.1 | gene=PVP01_1115300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_11_v2:659007-660446(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302300.1-p1   -            585 5343at5820           -            436   1.1e-12   46.1  11.0   2   4    0.0019       1.5    6.1   0.2    65    98   163   196   137   212 0.82 | transcript=PVP01_0302300.1 | gene=PVP01_0302300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_03_v2:110557-112314(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302300.1-p1   -            585 5343at5820           -            436   1.1e-12   46.1  11.0   3   4   1.2e-05    0.0097   13.3   0.1   115   141   361   387   331   399 0.88 | transcript=PVP01_0302300.1 | gene=PVP01_0302300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_03_v2:110557-112314(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302300.1-p1   -            585 5343at5820           -            436   1.1e-12   46.1  11.0   4   4   4.6e-08   3.7e-05   21.3   1.0   253   363   426   537   414   546 0.73 | transcript=PVP01_0302300.1 | gene=PVP01_0302300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_03_v2:110557-112314(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 5343at5820           -            436   4.7e-12   44.0   8.8   1   3   4.6e-06    0.0038   14.7   0.1   275   354    35   119     3   126 0.75 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 5343at5820           -            436   4.7e-12   44.0   8.8   2   3   2.5e-08     2e-05   22.2   0.9   259   357   225   322   176   333 0.75 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 5343at5820           -            436   4.7e-12   44.0   8.8   3   3   0.00025      0.21    9.0   0.1   116   141   350   375   341   386 0.68 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0936000.1-p1   -            965 5343at5820           -            436   1.2e-09   36.1  11.4   1   2   4.3e-08   3.5e-05   21.4   0.8    50   131    71   155    30   170 0.88 | transcript=PVP01_0936000.1 | gene=PVP01_0936000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1546885-1549964(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0936000.1-p1   -            965 5343at5820           -            436   1.2e-09   36.1  11.4   2   2   2.9e-07   0.00024   18.6   3.9    64   152   287   378   272   450 0.74 | transcript=PVP01_0936000.1 | gene=PVP01_0936000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1546885-1549964(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718300.1-p1   -           2587 5343at5820           -            436   7.2e-08   30.2   9.1   1   3   9.7e-07   0.00079   16.9   0.4    43   147    58   162    52   178 0.79 | transcript=PVP01_0718300.1 | gene=PVP01_0718300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation-PP1-interacting protein, putative | transcript_product=regulator of chromosome condensation-PP1-interacting protein, putative | location=PvP01_07_v2:805045-812808(-) | protein_length=2587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718300.1-p1   -           2587 5343at5820           -            436   7.2e-08   30.2   9.1   2   3   1.2e-05      0.01   13.3   0.3   224   258   279   313   272   319 0.93 | transcript=PVP01_0718300.1 | gene=PVP01_0718300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation-PP1-interacting protein, putative | transcript_product=regulator of chromosome condensation-PP1-interacting protein, putative | location=PvP01_07_v2:805045-812808(-) | protein_length=2587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718300.1-p1   -           2587 5343at5820           -            436   7.2e-08   30.2   9.1   3   3     0.029        24    2.2   0.1   109   157   319   372   314   391 0.72 | transcript=PVP01_0718300.1 | gene=PVP01_0718300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation-PP1-interacting protein, putative | transcript_product=regulator of chromosome condensation-PP1-interacting protein, putative | location=PvP01_07_v2:805045-812808(-) | protein_length=2587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0944200.1-p1   -            985 5343at5820           -            436   4.1e-07   27.7   1.2   1   3      0.23   1.9e+02   -0.8   0.0   332   371   190   231   174   235 0.79 | transcript=PVP01_0944200.1 | gene=PVP01_0944200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1947643-1950791(-) | protein_length=985 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0944200.1-p1   -            985 5343at5820           -            436   4.1e-07   27.7   1.2   2   3   5.1e-10   4.1e-07   27.7   1.2    62   143   237   329   226   373 0.79 | transcript=PVP01_0944200.1 | gene=PVP01_0944200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1947643-1950791(-) | protein_length=985 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0944200.1-p1   -            985 5343at5820           -            436   4.1e-07   27.7   1.2   3   3      0.11        93    0.2   0.2    53   123   433   503   407   515 0.72 | transcript=PVP01_0944200.1 | gene=PVP01_0944200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1947643-1950791(-) | protein_length=985 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5343at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5343at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5343at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:23 2026
# [ok]
