#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1209300.1-p1   -            262 10347at5820          -            202  1.9e-120  398.7   8.7   1   2      0.55   2.4e+02    0.1   0.1     5    43    20    59    16    74 0.71 | transcript=PVP01_1209300.1 | gene=PVP01_1209300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_12_v2:382832-383620(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1460800.1-p1   -            629 10347at5820          -            202     0.016   13.7   0.3   1   1   5.5e-05     0.024   13.1   0.3    84   131   194   239   138   278 0.83 | transcript=PVP01_1460800.1 | gene=PVP01_1460800 | organism=Plasmodium_vivax_P01 | gene_product=fused toes protein homolog FTS, putative | transcript_product=fused toes protein homolog FTS, putative | location=PvP01_14_v2:2626103-2627992(+) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024100.1-p1   -            401 10347at5820          -            202     0.025   13.1   0.2   1   1   0.00011     0.047   12.2   0.2    32    68   211   247   200   265 0.83 | transcript=PVP01_1024100.1 | gene=PVP01_1024100 | organism=Plasmodium_vivax_P01 | gene_product=NSE4 domain-containing protein, putative | transcript_product=NSE4 domain-containing protein, putative | location=PvP01_10_v2:1051227-1052432(-) | protein_length=401 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10347at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10347at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10347at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:42 2026
# [ok]
