#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1445300.1-p1   -            717 4744at5820           -            548  3.3e-292  968.4  19.3   1   4     0.089        15    2.4   0.0     1    48     1    67     1    80 0.60 | transcript=PVP01_1445300.1 | gene=PVP01_1445300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=PvP01_14_v2:1956382-1958535(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238100.1-p1   -            398 4744at5820           -            548   1.3e-60  204.0   2.4   1   1     2e-62   3.4e-60  202.6   2.4   147   515    17   371     4   380 0.90 | transcript=PVP01_1238100.1 | gene=PVP01_1238100 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic initiation factor 4a, putative | transcript_product=eukaryotic initiation factor 4a, putative | location=PvP01_12_v2:1503914-1505456(-) | protein_length=398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1468600.1-p1   -            731 4744at5820           -            548   1.8e-60  203.5   9.2   1   1     1e-62   1.8e-60  203.5   9.2   155   533   106   501    94   514 0.85 | transcript=PVP01_1468600.1 | gene=PVP01_1468600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DRS1, putative | transcript_product=ATP-dependent RNA helicase DRS1, putative | location=PvP01_14_v2:2916347-2918542(+) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616600.1-p1   -           1015 4744at5820           -            548   4.4e-59  198.9  11.8   1   1   8.4e-61   1.5e-58  197.2  11.8   141   541   611  1011   476  1014 0.78 | transcript=PVP01_0616600.1 | gene=PVP01_0616600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase DDX3X, putative | transcript_product=ATP-dependent DNA helicase DDX3X, putative | location=PvP01_06_v2:688120-692213(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819400.1-p1   -            433 4744at5820           -            548   4.3e-58  195.7   0.7   1   1   3.9e-60   6.6e-58  195.0   0.7   153   513    60   404    19   414 0.90 | transcript=PVP01_0819400.1 | gene=PVP01_0819400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=PvP01_08_v2:848920-850632(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531200.1-p1   -            388 4744at5820           -            548     1e-56  191.1   2.6   1   1   1.1e-58   1.9e-56  190.2   2.6   149   513    11   361     4   372 0.90 | transcript=PVP01_0531200.1 | gene=PVP01_0531200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic initiation factor 4A-III, putative | transcript_product=eukaryotic initiation factor 4A-III, putative | location=PvP01_05_v2:1327415-1328581(+) | protein_length=388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1118600.1-p1   -            599 4744at5820           -            548   3.2e-54  182.9   7.8   1   1   1.8e-56   3.2e-54  182.9   7.8   153   511   146   495   136   536 0.86 | transcript=PVP01_1118600.1 | gene=PVP01_1118600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=PvP01_11_v2:784229-786377(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818600.1-p1   -            762 4744at5820           -            548   1.5e-51  174.0  21.3   1   2   5.7e-15   9.8e-13   45.9   3.3    49   232   149   334    45   337 0.85 | transcript=PVP01_0818600.1 | gene=PVP01_0818600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=PvP01_08_v2:816280-818806(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818600.1-p1   -            762 4744at5820           -            548   1.5e-51  174.0  21.3   2   2   1.4e-41   2.4e-39  133.8  10.1   229   544   374   683   367   687 0.89 | transcript=PVP01_0818600.1 | gene=PVP01_0818600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=PvP01_08_v2:816280-818806(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415000.1-p1   -            473 4744at5820           -            548   1.9e-48  163.8   5.5   1   1   5.1e-50   8.8e-48  161.6   5.5   131   511    31   439    11   446 0.82 | transcript=PVP01_0415000.1 | gene=PVP01_0415000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=PvP01_04_v2:609730-611288(+) | protein_length=473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1222000.1-p1   -            489 4744at5820           -            548   3.4e-46  156.4   0.2   1   1   9.1e-48   1.6e-45  154.2   0.2   170   510    76   421    58   427 0.86 | transcript=PVP01_1222000.1 | gene=PVP01_1222000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP8, putative | transcript_product=ATP-dependent RNA helicase DBP8, putative | location=PvP01_12_v2:871025-872494(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606700.1-p1   -            634 4744at5820           -            548   2.8e-43  146.8   0.1   1   2   1.9e-10   3.2e-08   31.0   0.0   164   229   142   209   137   219 0.79 | transcript=PVP01_0606700.1 | gene=PVP01_0606700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase ROK1, putative | transcript_product=ATP-dependent RNA helicase ROK1, putative | location=PvP01_06_v2:268849-270753(-) | protein_length=634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606700.1-p1   -            634 4744at5820           -            548   2.8e-43  146.8   0.1   2   2     2e-35   3.4e-33  113.5   0.0   225   543   252   569   241   572 0.84 | transcript=PVP01_0606700.1 | gene=PVP01_0606700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase ROK1, putative | transcript_product=ATP-dependent RNA helicase ROK1, putative | location=PvP01_06_v2:268849-270753(-) | protein_length=634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1408200.1-p1   -            626 4744at5820           -            548   2.9e-40  136.8  11.4   1   1   2.5e-42   4.3e-40  136.3  11.4   171   511   166   508   153   535 0.83 | transcript=PVP01_1408200.1 | gene=PVP01_1408200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP6, putative | transcript_product=ATP-dependent RNA helicase DBP6, putative | location=PvP01_14_v2:382345-384225(+) | protein_length=626 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0317000.1-p1   -            838 4744at5820           -            548   7.7e-40  135.4   0.9   1   3   7.5e-28   1.3e-25   88.5   0.2   160   337   139   315   128   318 0.86 | transcript=PVP01_0317000.1 | gene=PVP01_0317000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX31, putative | transcript_product=ATP-dependent RNA helicase DDX31, putative | location=PvP01_03_v2:738869-741385(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0317000.1-p1   -            838 4744at5820           -            548   7.7e-40  135.4   0.9   2   3       3.4   5.9e+02   -2.8   0.0   337   357   363   383   361   390 0.86 | transcript=PVP01_0317000.1 | gene=PVP01_0317000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX31, putative | transcript_product=ATP-dependent RNA helicase DDX31, putative | location=PvP01_03_v2:738869-741385(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0317000.1-p1   -            838 4744at5820           -            548   7.7e-40  135.4   0.9   3   3   1.5e-14   2.5e-12   44.6   0.0   449   510   624   684   595   700 0.83 | transcript=PVP01_0317000.1 | gene=PVP01_0317000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX31, putative | transcript_product=ATP-dependent RNA helicase DDX31, putative | location=PvP01_03_v2:738869-741385(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507400.1-p1   -           1175 4744at5820           -            548   7.9e-38  128.8   6.8   1   2   4.6e-40   7.9e-38  128.8   6.8   155   501   168   508   137   542 0.83 | transcript=PVP01_0507400.1 | gene=PVP01_0507400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=PvP01_05_v2:324795-328322(+) | protein_length=1175 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507400.1-p1   -           1175 4744at5820           -            548   7.9e-38  128.8   6.8   2   2      0.25        43    0.9   4.3    44    85  1008  1049   998  1156 0.87 | transcript=PVP01_0507400.1 | gene=PVP01_0507400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=PvP01_05_v2:324795-328322(+) | protein_length=1175 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330000.1-p1   -            877 4744at5820           -            548   9.1e-38  128.6  26.3   1   2   5.3e-40   9.1e-38  128.6  26.3    87   512    76   491     3   504 0.74 | transcript=PVP01_1330000.1 | gene=PVP01_1330000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP4, putative | transcript_product=ATP-dependent RNA helicase DBP4, putative | location=PvP01_13_v2:1271625-1274418(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330000.1-p1   -            877 4744at5820           -            548   9.1e-38  128.6  26.3   2   2       1.5   2.6e+02   -1.7   0.9    76   125   682   728   652   738 0.72 | transcript=PVP01_1330000.1 | gene=PVP01_1330000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP4, putative | transcript_product=ATP-dependent RNA helicase DBP4, putative | location=PvP01_13_v2:1271625-1274418(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1247900.1-p1   -            787 4744at5820           -            548     1e-37  128.4  17.4   1   2       7.3   1.3e+03   -3.9   0.0   162   196   100   132    97   139 0.72 | transcript=PVP01_1247900.1 | gene=PVP01_1247900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=PvP01_12_v2:1947873-1950236(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1247900.1-p1   -            787 4744at5820           -            548     1e-37  128.4  17.4   2   2   3.5e-38   5.9e-36  122.6  17.2    69   519   283   760   268   776 0.79 | transcript=PVP01_1247900.1 | gene=PVP01_1247900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=PvP01_12_v2:1947873-1950236(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261800.1-p1   -            791 4744at5820           -            548   4.5e-32  109.8   9.8   1   2   1.2e-24     2e-22   77.9   2.0   158   336   245   428   210   452 0.84 | transcript=PVP01_1261800.1 | gene=PVP01_1261800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MAK5, putative | transcript_product=ATP-dependent RNA helicase MAK5, putative | location=PvP01_12_v2:2548870-2551662(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261800.1-p1   -            791 4744at5820           -            548   4.5e-32  109.8   9.8   2   2   4.9e-12   8.4e-10   36.3   0.7   429   518   595   685   544   708 0.83 | transcript=PVP01_1261800.1 | gene=PVP01_1261800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MAK5, putative | transcript_product=ATP-dependent RNA helicase MAK5, putative | location=PvP01_12_v2:2548870-2551662(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1012200.1-p1   -            816 4744at5820           -            548   4.2e-29  100.0  19.4   1   3   7.4e-09   1.3e-06   25.8   0.0   153   212     2    62     1    80 0.88 | transcript=PVP01_1012200.1 | gene=PVP01_1012200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX1, putative | transcript_product=ATP-dependent RNA helicase DDX1, putative | location=PvP01_10_v2:558667-561117(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1012200.1-p1   -            816 4744at5820           -            548   4.2e-29  100.0  19.4   2   3   2.9e-12     5e-10   37.0   0.6   228   369   324   470   313   483 0.84 | transcript=PVP01_1012200.1 | gene=PVP01_1012200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX1, putative | transcript_product=ATP-dependent RNA helicase DDX1, putative | location=PvP01_10_v2:558667-561117(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1012200.1-p1   -            816 4744at5820           -            548   4.2e-29  100.0  19.4   3   3   4.5e-13   7.7e-11   39.7  11.6   374   508   534   683   490   687 0.77 | transcript=PVP01_1012200.1 | gene=PVP01_1012200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX1, putative | transcript_product=ATP-dependent RNA helicase DDX1, putative | location=PvP01_10_v2:558667-561117(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029800.1-p1   -            522 4744at5820           -            548   2.5e-23   80.9   8.6   1   1   2.1e-25   3.5e-23   80.4   8.6   190   525   134   476    60   490 0.73 | transcript=PVP01_1029800.1 | gene=PVP01_1029800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX27, putative | transcript_product=ATP-dependent RNA helicase DDX27, putative | location=PvP01_10_v2:1285939-1287889(-) | protein_length=522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 4744at5820           -            548     3e-23   80.7  10.2   1   4   4.8e-06   0.00082   16.5   0.0   152   257    26   154    16   159 0.69 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 4744at5820           -            548     3e-23   80.7  10.2   2   4       4.6   7.9e+02   -3.3   0.0   261   298   212   250   207   253 0.80 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 4744at5820           -            548     3e-23   80.7  10.2   3   4   0.00025     0.043   10.8   0.0   310   348   284   323   272   333 0.80 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 4744at5820           -            548     3e-23   80.7  10.2   4   4   1.4e-16   2.4e-14   51.3   4.0   409   515   600   706   573   718 0.84 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458900.1-p1   -            847 4744at5820           -            548   2.3e-21   74.4   2.8   1   3   2.9e-17     5e-15   53.5   0.5   155   328    97   262    83   296 0.72 | transcript=PVP01_1458900.1 | gene=PVP01_1458900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=PvP01_14_v2:2575210-2577753(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458900.1-p1   -            847 4744at5820           -            548   2.3e-21   74.4   2.8   2   3     4e-10   6.8e-08   30.0   0.1   467   513   513   559   509   594 0.79 | transcript=PVP01_1458900.1 | gene=PVP01_1458900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=PvP01_14_v2:2575210-2577753(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458900.1-p1   -            847 4744at5820           -            548   2.3e-21   74.4   2.8   3   3       7.1   1.2e+03   -3.9   2.8    22    86   639   705   620   721 0.52 | transcript=PVP01_1458900.1 | gene=PVP01_1458900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=PvP01_14_v2:2575210-2577753(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329800.1-p1   -            995 4744at5820           -            548   3.3e-21   73.9  34.7   1   3   6.8e-07   0.00012   19.3   0.0   154   220    49   116    43   127 0.88 | transcript=PVP01_1329800.1 | gene=PVP01_1329800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=PvP01_13_v2:1260717-1263704(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329800.1-p1   -            995 4744at5820           -            548   3.3e-21   73.9  34.7   2   3   1.2e-07   2.1e-05   21.8   0.9   222   335   229   370   215   392 0.63 | transcript=PVP01_1329800.1 | gene=PVP01_1329800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=PvP01_13_v2:1260717-1263704(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329800.1-p1   -            995 4744at5820           -            548   3.3e-21   73.9  34.7   3   3   6.3e-15   1.1e-12   45.8   4.9   419   511   539   637   521   660 0.79 | transcript=PVP01_1329800.1 | gene=PVP01_1329800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=PvP01_13_v2:1260717-1263704(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301300.1-p1   -            869 4744at5820           -            548   7.1e-20   69.5   7.1   1   3   0.00012     0.021   11.9   0.4   158   247   162   261   114   353 0.69 | transcript=PVP01_1301300.1 | gene=PVP01_1301300 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative | location=PvP01_13_v2:50765-54538(-) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
