#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1204700.1-p1   -            585 5251at5820           -            481  2.5e-301  997.6   2.4   1   1  4.6e-304  4.3e-301  996.8   2.4     6   481    69   583    64   583 0.94 | transcript=PVP01_1204700.1 | gene=PVP01_1204700 | organism=Plasmodium_vivax_P01 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=PvP01_12_v2:187450-189480(+) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019600.1-p1   -            987 5251at5820           -            481   6.1e-05   20.2   0.1   1   3    0.0017       1.6    5.6   0.0   165   210   418   463   412   472 0.89 | transcript=PVP01_1019600.1 | gene=PVP01_1019600 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_10_v2:857498-860461(-) | protein_length=987 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019600.1-p1   -            987 5251at5820           -            481   6.1e-05   20.2   0.1   2   3     8e-05     0.074   10.0   0.1   221   287   497   565   491   574 0.79 | transcript=PVP01_1019600.1 | gene=PVP01_1019600 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_10_v2:857498-860461(-) | protein_length=987 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019600.1-p1   -            987 5251at5820           -            481   6.1e-05   20.2   0.1   3   3     0.081        75    0.1   0.0   433   471   942   981   920   986 0.74 | transcript=PVP01_1019600.1 | gene=PVP01_1019600 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_10_v2:857498-860461(-) | protein_length=987 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145200.1-p1   -            495 5251at5820           -            481    0.0011   16.0   0.5   1   2   1.1e-05      0.01   12.9   0.1   239   314   134   209   106   214 0.90 | transcript=PVP01_1145200.1 | gene=PVP01_1145200 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=PvP01_11_v2:1927621-1929108(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145200.1-p1   -            495 5251at5820           -            481    0.0011   16.0   0.5   2   2     0.047        44    0.9   0.0    17    64   377   424   374   439 0.79 | transcript=PVP01_1145200.1 | gene=PVP01_1145200 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=PvP01_11_v2:1927621-1929108(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5251at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5251at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5251at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:58 2026
# [ok]
