#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0716000.1-p1   -            840 3370at5820           -            675         0 1533.2   4.2   1   1         0         0 1533.0   4.2     2   673   166   837   165   839 1.00 | transcript=PVP01_0716000.1 | gene=PVP01_0716000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | location=PvP01_07_v2:717935-720457(-) | protein_length=840 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513000.1-p1   -            824 3370at5820           -            675  2.3e-120  401.5  14.5   5   5   6.7e-23   5.5e-20   69.8   1.3   495   659   645   810   637   819 0.82 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403600.1-p1   -           1608 3370at5820           -            675   4.2e-60  202.4  17.1   1   3   1.2e-44   9.4e-42  141.7   4.1    21   254   420   666   402   680 0.83 | transcript=PVP01_1403600.1 | gene=PVP01_1403600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=PvP01_14_v2:170445-175592(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403600.1-p1   -           1608 3370at5820           -            675   4.2e-60  202.4  17.1   2   3   5.2e-22   4.2e-19   66.9   0.2   260   432   909  1090   889  1096 0.85 | transcript=PVP01_1403600.1 | gene=PVP01_1403600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=PvP01_14_v2:170445-175592(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403600.1-p1   -           1608 3370at5820           -            675   4.2e-60  202.4  17.1   3   3     0.055        45    0.7   1.1   510   594  1299  1382  1254  1444 0.78 | transcript=PVP01_1403600.1 | gene=PVP01_1403600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=PvP01_14_v2:170445-175592(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829700.1-p1   -           2092 3370at5820           -            675   1.9e-44  150.6   2.5   1   2   4.7e-33   3.8e-30  103.4   1.5    21   209   404   605   389   617 0.87 | transcript=PVP01_0829700.1 | gene=PVP01_0829700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=PvP01_08_v2:1277283-1283561(+) | protein_length=2092 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829700.1-p1   -           2092 3370at5820           -            675   1.9e-44  150.6   2.5   2   2   1.3e-15     1e-12   45.8   0.0   236   392   735   884   727   897 0.76 | transcript=PVP01_0829700.1 | gene=PVP01_0829700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=PvP01_08_v2:1277283-1283561(+) | protein_length=2092 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270100.1-p1   -            928 3370at5820           -            675     8e-35  118.8  17.0   1   3   1.4e-11   1.2e-08   32.4   0.3   115   191   107   182     4   191 0.84 | transcript=PVP01_1270100.1 | gene=PVP01_1270100 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2945067-2947853(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270100.1-p1   -            928 3370at5820           -            675     8e-35  118.8  17.0   2   3      0.12     1e+02   -0.5   0.0   205   253   483   533   476   543 0.83 | transcript=PVP01_1270100.1 | gene=PVP01_1270100 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2945067-2947853(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270100.1-p1   -            928 3370at5820           -            675     8e-35  118.8  17.0   3   3     1e-28   8.4e-26   89.0  10.2   314   656   576   916   561   925 0.83 | transcript=PVP01_1270100.1 | gene=PVP01_1270100 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2945067-2947853(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3370at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3370at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3370at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:36 2026
# [ok]
