#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0707300.1-p1   -            515 7500at5820           -            277  1.6e-162  538.2  35.8   1   4   2.8e-58   2.3e-55  186.7   3.1     1    93    83   175    83   178 0.99 | transcript=PVP01_0707300.1 | gene=PVP01_0707300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:386494-388230(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 7500at5820           -            277   7.9e-06   24.3  12.4   3   4      0.17   1.4e+02    0.5   0.7   103   182   751   830   736   835 0.57 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 7500at5820           -            277   7.9e-06   24.3  12.4   4   4   9.8e-06     0.008   14.4   0.3   103   179  1031  1112   985  1118 0.81 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510400.1-p1   -            318 7500at5820           -            277    0.0003   19.1   1.9   1   3   0.00055      0.45    8.7   0.0   103   166    35   104    20   136 0.70 | transcript=PVP01_0510400.1 | gene=PVP01_0510400 | organism=Plasmodium_vivax_P01 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=PvP01_05_v2:456141-457097(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510400.1-p1   -            318 7500at5820           -            277    0.0003   19.1   1.9   2   3   0.00076      0.62    8.2   0.6   208   262   226   278   123   296 0.88 | transcript=PVP01_0510400.1 | gene=PVP01_0510400 | organism=Plasmodium_vivax_P01 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=PvP01_05_v2:456141-457097(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510400.1-p1   -            318 7500at5820           -            277    0.0003   19.1   1.9   3   3   0.00055      0.45    8.7   0.5    12    83   228   308   222   317 0.52 | transcript=PVP01_0510400.1 | gene=PVP01_0510400 | organism=Plasmodium_vivax_P01 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=PvP01_05_v2:456141-457097(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301500.1-p1   -            323 7500at5820           -            277    0.0004   18.7   6.9   1   2   4.7e-06    0.0038   15.4   1.4    96   240    25   160    15   183 0.66 | transcript=PVP01_1301500.1 | gene=PVP01_1301500 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=PvP01_13_v2:59045-60016(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301500.1-p1   -            323 7500at5820           -            277    0.0004   18.7   6.9   2   2    0.0038       3.1    5.9   0.4    82   177   213   308   194   311 0.73 | transcript=PVP01_1301500.1 | gene=PVP01_1301500 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=PvP01_13_v2:59045-60016(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442000.1-p1   -            306 7500at5820           -            277    0.0037   15.5   1.8   1   3   1.4e-05     0.011   13.9   0.0   116   157    19    60     6    78 0.88 | transcript=PVP01_1442000.1 | gene=PVP01_1442000 | organism=Plasmodium_vivax_P01 | gene_product=citrate/oxoglutarate carrier protein, putative | transcript_product=citrate/oxoglutarate carrier protein, putative | location=PvP01_14_v2:1833808-1834728(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442000.1-p1   -            306 7500at5820           -            277    0.0037   15.5   1.8   2   3      0.36   2.9e+02   -0.6   0.1   102   154    93   145    59   154 0.61 | transcript=PVP01_1442000.1 | gene=PVP01_1442000 | organism=Plasmodium_vivax_P01 | gene_product=citrate/oxoglutarate carrier protein, putative | transcript_product=citrate/oxoglutarate carrier protein, putative | location=PvP01_14_v2:1833808-1834728(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442000.1-p1   -            306 7500at5820           -            277    0.0037   15.5   1.8   3   3      0.48   3.9e+02   -1.0   0.0   226   240   241   255   226   289 0.55 | transcript=PVP01_1442000.1 | gene=PVP01_1442000 | organism=Plasmodium_vivax_P01 | gene_product=citrate/oxoglutarate carrier protein, putative | transcript_product=citrate/oxoglutarate carrier protein, putative | location=PvP01_14_v2:1833808-1834728(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0306800.1-p1   -            380 7500at5820           -            277    0.0038   15.5  46.1   1   4   0.00082      0.67    8.1   1.8     7    48     7    48     1    60 0.78 | transcript=PVP01_0306800.1 | gene=PVP01_0306800 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_03_v2:335592-337103(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0306800.1-p1   -            380 7500at5820           -            277    0.0038   15.5  46.1   2   4      0.69   5.6e+02   -1.5   4.7   131   185    57   108    49   113 0.68 | transcript=PVP01_0306800.1 | gene=PVP01_0306800 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_03_v2:335592-337103(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0306800.1-p1   -            380 7500at5820           -            277    0.0038   15.5  46.1   3   4   2.6e-05     0.021   13.0  18.3     6   192   111   310   107   333 0.57 | transcript=PVP01_0306800.1 | gene=PVP01_0306800 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_03_v2:335592-337103(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0306800.1-p1   -            380 7500at5820           -            277    0.0038   15.5  46.1   4   4   8.2e-05     0.067   11.4   2.6    40    85   333   378   313   380 0.82 | transcript=PVP01_0306800.1 | gene=PVP01_0306800 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_03_v2:335592-337103(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7500at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7500at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7500at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:44 2026
# [ok]
