#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1032600.1-p1   -            487 8505at5820           -            437  1.1e-181  602.9  68.9   1   1  2.4e-183  1.3e-180  599.3  68.9     1   437     1   487     1   487 0.89 | transcript=PVP01_1032600.1 | gene=PVP01_1032600 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 8 | transcript_product=merozoite surface protein 8 | location=PvP01_10_v2:1390957-1392420(+) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1212400.1-p1   -            384 8505at5820           -            437      0.91    6.7  22.9   1   2   0.00033      0.18    9.0  13.9    35    91    93   150    54   188 0.50 | transcript=PVP01_1212400.1 | gene=PVP01_1212400 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase II beta chain, putative | transcript_product=casein kinase II beta chain, putative | location=PvP01_12_v2:549361-550738(+) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1212400.1-p1   -            384 8505at5820           -            437      0.91    6.7  22.9   2   2     0.023        13    2.9   1.6    61    85   204   232   189   270 0.64 | transcript=PVP01_1212400.1 | gene=PVP01_1212400 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase II beta chain, putative | transcript_product=casein kinase II beta chain, putative | location=PvP01_12_v2:549361-550738(+) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024700.1-p1   -            143 8505at5820           -            437      0.93    6.6  12.3   1   1    0.0018         1    6.5  12.3    40   114    54   128     9   136 0.56 | transcript=PVP01_1024700.1 | gene=PVP01_1024700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1078491-1079181(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1104100.1-p1   -            250 8505at5820           -            437       4.3    4.4  21.8   1   2       1.3   7.1e+02   -2.9  17.9    50   151    95   199     9   202 0.59 | transcript=PVP01_1104100.1 | gene=PVP01_1104100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:167010-167762(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1104100.1-p1   -            250 8505at5820           -            437       4.3    4.4  21.8   2   2   0.00014     0.077   10.2   2.5   265   309   193   237   176   248 0.83 | transcript=PVP01_1104100.1 | gene=PVP01_1104100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:167010-167762(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1344600.1-p1   -            132 8505at5820           -            437       7.6    3.6  19.6   1   1     0.016       8.6    3.4  19.6    17   102    11    93     3   114 0.58 | transcript=PVP01_1344600.1 | gene=PVP01_1344600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1953668-1954201(-) | protein_length=132 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 8505at5820           -            437         9    3.4  15.3   1   1     0.024        13    2.8  15.3    29   126    84   183    56   213 0.42 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8505at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8505at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8505at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:22 2026
# [ok]
