#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0511400.1-p1   -           1036 1452at5820           -            579  3.6e-183  608.6 137.3   1   8   5.6e-11   6.1e-08   30.0  15.9     1    73     1    99     1   110 0.65 | transcript=PVP01_0511400.1 | gene=PVP01_0511400 | organism=Plasmodium_vivax_P01 | gene_product=PhIL1-interacting candidate PIC2, putative | transcript_product=PhIL1-interacting candidate PIC2, putative | location=PvP01_05_v2:494122-497232(+) | protein_length=1036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005900.1-p1   -            667 1452at5820           -            579         3    4.6  22.1   1   2     0.015        17    2.1  23.2    49   158    49   155    35   170 0.65 | transcript=PVP01_1005900.1 | gene=PVP01_1005900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=PvP01_10_v2:267076-269079(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005900.1-p1   -            667 1452at5820           -            579         3    4.6  22.1   2   2      0.67   7.3e+02   -3.3   0.0   362   383   361   382   358   389 0.87 | transcript=PVP01_1005900.1 | gene=PVP01_1005900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=PvP01_10_v2:267076-269079(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228600.1-p1   -            822 1452at5820           -            579       4.5    4.0   9.5   1   2    0.0007      0.77    6.5   1.7    37   103   479   543   463   563 0.61 | transcript=PVP01_1228600.1 | gene=PVP01_1228600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1134415-1137148(-) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228600.1-p1   -            822 1452at5820           -            579       4.5    4.0   9.5   2   2     0.022        24    1.6   1.2    49    87   590   628   583   635 0.69 | transcript=PVP01_1228600.1 | gene=PVP01_1228600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1134415-1137148(-) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 1452at5820           -            579       9.5    2.9  35.7   1   2    0.0034       3.7    4.3  15.1    51   104   217   271   188   304 0.49 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 1452at5820           -            579       9.5    2.9  35.7   2   2    0.0038       4.1    4.1  12.6    43   112   386   458   352   490 0.53 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1452at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1452at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1452at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:42 2026
# [ok]
