#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1266300.1-p1   -            763 6648at5820           -            520  1.7e-195  649.0  27.2   1   1  1.8e-195    2e-192  638.9  27.2     1   520     1   763     1   763 0.89 | transcript=PVP01_1266300.1 | gene=PVP01_1266300 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit mu, putative | transcript_product=AP-3 complex subunit mu, putative | location=PvP01_12_v2:2754420-2756711(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0918700.1-p1   -            155 6648at5820           -            520   1.9e-06   25.2   0.5   1   1   1.8e-09   1.9e-06   25.2   0.5    57   144    61   145     6   153 0.80 | transcript=PVP01_0918700.1 | gene=PVP01_0918700 | organism=Plasmodium_vivax_P01 | gene_product=AP-1 complex subunit sigma, putative | transcript_product=AP-1 complex subunit sigma, putative | location=PvP01_09_v2:827036-827647(+) | protein_length=155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531600.1-p1   -            146 6648at5820           -            520    0.0042   14.2   8.1   1   1   4.3e-06    0.0046   14.0   8.1     7   129     8   132     2   141 0.69 | transcript=PVP01_0531600.1 | gene=PVP01_0531600 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit sigma, putative | transcript_product=AP-4 complex subunit sigma, putative | location=PvP01_05_v2:1336447-1337100(-) | protein_length=146 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6648at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6648at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6648at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:56 2026
# [ok]
