#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0415900.1-p1   -           2215 252at5820            -           1874         0 3094.5  74.4   1   1         0         0 3090.7  74.4     8  1874     7  2207     1  2207 0.93 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1026000.1-p1   -            355 252at5820            -           1874   1.7e-08   30.5   5.5   1   2    0.0096        13    1.1   0.5  1784  1841    81   140    65   151 0.67 | transcript=PVP01_1026000.1 | gene=PVP01_1026000 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P38, putative | transcript_product=6-cysteine protein P38, putative | location=PvP01_10_v2:1136175-1137242(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1026000.1-p1   -            355 252at5820            -           1874   1.7e-08   30.5   5.5   2   2   1.3e-11   1.7e-08   30.5   5.5  1015  1156   145   304   138   310 0.72 | transcript=PVP01_1026000.1 | gene=PVP01_1026000 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P38, putative | transcript_product=6-cysteine protein P38, putative | location=PvP01_10_v2:1136175-1137242(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136400.1-p1   -            362 252at5820            -           1874   1.8e-08   30.5  13.0   1   2   0.00017      0.23    6.9   2.1  1032  1114    28   109    21   129 0.46 | transcript=PVP01_1136400.1 | gene=PVP01_1136400 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12 | transcript_product=6-cysteine protein P12 | location=PvP01_11_v2:1556940-1558028(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136400.1-p1   -            362 252at5820            -           1874   1.8e-08   30.5  13.0   2   2   5.6e-11   7.3e-08   28.4   3.1   721  1469   178   303   138   340 0.51 | transcript=PVP01_1136400.1 | gene=PVP01_1136400 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12 | transcript_product=6-cysteine protein P12 | location=PvP01_11_v2:1556940-1558028(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/252at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/252at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/252at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:35 2026
# [ok]
