#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0708200.1-p1   -           1057 4823at5820           -            557  4.6e-294  974.8  56.8   1   6   7.1e-71   1.5e-67  227.0  17.4     1   109     1   109     1   127 0.95 | transcript=PVP01_0708200.1 | gene=PVP01_0708200 | organism=Plasmodium_vivax_P01 | gene_product=FHA domain protein, putative | transcript_product=FHA domain protein, putative | location=PvP01_07_v2:421180-424353(+) | protein_length=1057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210500.1-p1   -           1792 4823at5820           -            557     1e-64  217.7  10.0   6   6       1.9   4.2e+03   -5.5   1.3   511   530  1618  1637  1601  1658 0.42 | transcript=PVP01_1210500.1 | gene=PVP01_1210500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_12_v2:432938-439118(+) | protein_length=1792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1343100.1-p1   -            695 4823at5820           -            557   8.4e-05   19.9   4.9   1   1   8.8e-08   0.00019   18.7   4.9   225   301   602   681   586   688 0.73 | transcript=PVP01_1343100.1 | gene=PVP01_1343100 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_13_v2:1899368-1901455(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4823at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4823at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4823at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:09 2026
# [ok]
