#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0946700.1-p1   -            660 4853at5820           -            513    2e-304 1008.1  28.4   1   2  1.1e-137  2.1e-135  450.5   5.1     5   230    10   241     2   258 0.93 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 4853at5820           -            513   1.4e-21   74.9   4.7   1   4   0.00042     0.077    9.8   0.0   392   465    10    82     3    86 0.91 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 4853at5820           -            513   1.4e-21   74.9   4.7   2   4   3.2e-10   5.8e-08   30.0   0.4   385   481    87   184    80   198 0.75 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 4853at5820           -            513   1.4e-21   74.9   4.7   3   4    0.0039       0.7    6.7   0.0   106   145   240   279   231   284 0.85 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 4853at5820           -            513   1.4e-21   74.9   4.7   4   4   2.4e-09   4.4e-07   27.1   0.1   109   186   287   364   281   369 0.85 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210900.1-p1   -            644 4853at5820           -            513   9.2e-21   72.3   7.5   1   3   1.8e-05    0.0032   14.4   0.2   379   458   230   309   196   333 0.71 | transcript=PVP01_1210900.1 | gene=PVP01_1210900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=PvP01_12_v2:454911-456845(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210900.1-p1   -            644 4853at5820           -            513   9.2e-21   72.3   7.5   2   3   7.8e-09   1.4e-06   25.4   0.0   112   209   428   526   423   528 0.88 | transcript=PVP01_1210900.1 | gene=PVP01_1210900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=PvP01_12_v2:454911-456845(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210900.1-p1   -            644 4853at5820           -            513   9.2e-21   72.3   7.5   3   3   1.4e-11   2.6e-09   34.5   1.8   353   468   523   637   511   640 0.88 | transcript=PVP01_1210900.1 | gene=PVP01_1210900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=PvP01_12_v2:454911-456845(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 4853at5820           -            513   4.2e-20   70.1   7.7   1   5       1.2   2.1e+02   -1.5   1.2   342   392   235   286   210   310 0.65 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 4853at5820           -            513   4.2e-20   70.1   7.7   2   5   1.8e-07   3.2e-05   21.0   0.1   111   179   361   429   349   430 0.92 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 4853at5820           -            513   4.2e-20   70.1   7.7   3   5   1.3e-12   2.3e-10   37.9   0.1   122   210   414   502   413   504 0.95 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 4853at5820           -            513   4.2e-20   70.1   7.7   4   5   2.1e-10   3.8e-08   30.6   1.0   386   463   486   563   479   570 0.94 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 4853at5820           -            513   4.2e-20   70.1   7.7   5   5     0.035       6.3    3.5   0.0   279   314   583   617   577   638 0.77 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 4853at5820           -            513   6.8e-20   69.4  10.8   1   4   3.7e-05    0.0066   13.3   0.5   357   419   223   283    70   291 0.76 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 4853at5820           -            513   6.8e-20   69.4  10.8   2   4     4e-08   7.3e-06   23.1   0.5   354   468   220   333   209   356 0.76 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 4853at5820           -            513   6.8e-20   69.4  10.8   3   4   1.8e-06   0.00032   17.7   0.0   110   198   296   384   289   384 0.95 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 4853at5820           -            513   6.8e-20   69.4  10.8   4   4   3.9e-15   7.1e-13   46.2   2.1    98   209   369   480   367   498 0.84 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 4853at5820           -            513   1.2e-18   65.3  11.7   1   4       2.3   4.2e+02   -2.5   0.3   213   239   156   179   125   201 0.57 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 4853at5820           -            513   1.2e-18   65.3  11.7   2   4   5.5e-08     1e-05   22.6   2.0   107   198   273   364   188   365 0.77 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 4853at5820           -            513   1.2e-18   65.3  11.7   3   4   1.8e-13   3.2e-11   40.8   0.0   112   210   362   460   359   473 0.94 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 4853at5820           -            513   1.2e-18   65.3  11.7   4   4    0.0018      0.33    7.8   0.0   115   146   545   576   528   584 0.72 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 4853at5820           -            513   1.8e-18   64.7   4.5   1   3     8e-10   1.5e-07   28.7   0.0    95   181    44   133    31   145 0.85 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 4853at5820           -            513   1.8e-18   64.7   4.5   2   3      0.32        57    0.4   0.0   135   177   229   271   210   289 0.62 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 4853at5820           -            513   1.8e-18   64.7   4.5   3   3   3.3e-11   5.9e-09   33.3   2.8   354   463   301   410   232   435 0.78 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308500.1-p1   -            694 4853at5820           -            513   1.2e-16   58.7  20.2   1   4   3.5e-06   0.00063   16.7   0.1   476   512     5    41     2    42 0.92 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308500.1-p1   -            694 4853at5820           -            513   1.2e-16   58.7  20.2   2   4   5.4e-07   9.7e-05   19.4   0.7   388   460    84   159    45   182 0.79 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308500.1-p1   -            694 4853at5820           -            513   1.2e-16   58.7  20.2   3   4   8.6e-08   1.6e-05   22.0   1.7   390   463   247   323   223   336 0.61 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308500.1-p1   -            694 4853at5820           -            513   1.2e-16   58.7  20.2   4   4   0.00042     0.076    9.9   1.1   382   462   602   691   588   694 0.69 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 4853at5820           -            513   1.9e-16   58.0  27.2   1   3       2.9   5.3e+02   -2.8   1.3   218   248   166   197   162   199 0.61 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 4853at5820           -            513   1.9e-16   58.0  27.2   2   3   4.1e-15   7.5e-13   46.2   6.9   382   506   895  1011   869  1019 0.78 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 4853at5820           -            513   1.9e-16   58.0  27.2   3   3   1.4e-08   2.5e-06   24.6   7.8   261   464   982  1198   978  1216 0.72 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0704300.1-p1   -           1013 4853at5820           -            513   3.6e-16   57.1   9.9   1   2   5.6e-07    0.0001   19.3   1.8   284   423    39   175     5   183 0.73 | transcript=PVP01_0704300.1 | gene=PVP01_0704300 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_07_v2:258401-261442(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0704300.1-p1   -           1013 4853at5820           -            513   3.6e-16   57.1   9.9   2   2   1.3e-13   2.3e-11   41.3   1.5   108   206   183   283   175   289 0.90 | transcript=PVP01_0704300.1 | gene=PVP01_0704300 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_07_v2:258401-261442(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116900.1-p1   -            365 4853at5820           -            513   5.3e-16   56.6  10.0   1   4   4.7e-14   8.6e-12   42.7   2.3   109   200    11   103     3   139 0.82 | transcript=PVP01_0116900.1 | gene=PVP01_0116900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=PvP01_01_v2:767750-769801(-) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116900.1-p1   -            365 4853at5820           -            513   5.3e-16   56.6  10.0   2   4     0.044         8    3.2   0.0   146   193   137   182   106   187 0.77 | transcript=PVP01_0116900.1 | gene=PVP01_0116900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=PvP01_01_v2:767750-769801(-) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116900.1-p1   -            365 4853at5820           -            513   5.3e-16   56.6  10.0   3   4   2.3e-05    0.0042   14.0   0.3   394   463   189   260   184   278 0.83 | transcript=PVP01_0116900.1 | gene=PVP01_0116900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=PvP01_01_v2:767750-769801(-) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116900.1-p1   -            365 4853at5820           -            513   5.3e-16   56.6  10.0   4   4       2.8   5.1e+02   -2.8   0.0   358   374   344   360   339   362 0.83 | transcript=PVP01_0116900.1 | gene=PVP01_0116900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=PvP01_01_v2:767750-769801(-) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 4853at5820           -            513   1.6e-15   54.9  15.4   1   3      0.05         9    3.0   7.6   116   204   358   445   342   447 0.80 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 4853at5820           -            513   1.6e-15   54.9  15.4   2   3   9.1e-12   1.6e-09   35.1   0.2   108   197   433   525   424   534 0.88 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 4853at5820           -            513   1.6e-15   54.9  15.4   3   3   1.1e-06    0.0002   18.4   0.0   103   145   559   600   534   604 0.78 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438500.1-p1   -            612 4853at5820           -            513   3.7e-14   50.5  10.6   1   4     6e-10   1.1e-07   29.1   0.1   388   466   320   400   298   426 0.76 | transcript=PVP01_1438500.1 | gene=PVP01_1438500 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 17, putative | transcript_product=pre-mRNA-processing factor 17, putative | location=PvP01_14_v2:1629592-1631430(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438500.1-p1   -            612 4853at5820           -            513   3.7e-14   50.5  10.6   2   4   3.9e-05     0.007   13.3   0.3   113   191   449   527   432   540 0.86 | transcript=PVP01_1438500.1 | gene=PVP01_1438500 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 17, putative | transcript_product=pre-mRNA-processing factor 17, putative | location=PvP01_14_v2:1629592-1631430(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438500.1-p1   -            612 4853at5820           -            513   3.7e-14   50.5  10.6   3   4    0.0017       0.3    7.9   0.2   481   512   536   569   530   570 0.84 | transcript=PVP01_1438500.1 | gene=PVP01_1438500 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 17, putative | transcript_product=pre-mRNA-processing factor 17, putative | location=PvP01_14_v2:1629592-1631430(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438500.1-p1   -            612 4853at5820           -            513   3.7e-14   50.5  10.6   4   4   0.00032     0.057   10.2   1.7   362   418   556   611   539   612 0.87 | transcript=PVP01_1438500.1 | gene=PVP01_1438500 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 17, putative | transcript_product=pre-mRNA-processing factor 17, putative | location=PvP01_14_v2:1629592-1631430(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4853at5820           -            513   2.7e-13   47.6   1.4   1   3    0.0018      0.32    7.8   0.1   426   513   153   236   114   236 0.73 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
