#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1018600.1-p1   -           1767 1229at5820           -           1016         0 1671.3  74.1   1   9    0.0002      0.42    6.8   0.0     2    25    13    36    12    43 0.92 | transcript=PVP01_1018600.1 | gene=PVP01_1018600 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=PvP01_10_v2:826183-831486(-) | protein_length=1767 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1035300.1-p1   -            151 1229at5820           -           1016     0.032   10.5   1.4   1   2   0.00021      0.46    6.7   0.1   525   551    30    56    16    77 0.81 | transcript=PVP01_1035300.1 | gene=PVP01_1035300 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=PvP01_10_v2:1517827-1518628(-) | protein_length=151 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1035300.1-p1   -            151 1229at5820           -           1016     0.032   10.5   1.4   2   2    0.0024       5.2    3.2   0.1   525   550   111   136   106   149 0.85 | transcript=PVP01_1035300.1 | gene=PVP01_1035300 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=PvP01_10_v2:1517827-1518628(-) | protein_length=151 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1229at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1229at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1229at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:30 2026
# [ok]
