#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7   1  26  3.7e-172    4e-169  562.8  40.9     1   272     1   274     1   278 0.99 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7  13  26   4.9e-32   5.3e-29   97.8  23.7  2053  2125  3229  3301  3216  3345 0.87 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7  14  26   3.7e-60   4.1e-57  191.1  29.1  2070  2236  3307  3482  3302  3486 0.83 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7  15  26   8.7e-54   9.4e-51  170.0   7.1  2233  2331  3519  3617  3515  3623 0.96 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7  16  26   1.6e-56   1.8e-53  179.0   8.7  2331  2429  3688  3786  3680  3804 0.96 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7  17  26   3.9e-34   4.2e-31  104.7   1.8  2427  2500  3849  3923  3845  3928 0.94 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7  18  26  1.7e-121  1.9e-118  394.7  15.9  2496  2681  3978  4163  3963  4169 0.97 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7  19  26   8.2e-60   8.9e-57  190.0   1.2  2676  2790  4189  4311  4171  4316 0.91 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7  20  26  7.2e-170  7.8e-167  555.2  21.6  2778  3061  4420  4727  4412  4730 0.93 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7  21  26  2.6e-136  2.9e-133  443.8  16.6  3057  3291  4856  5099  4842  5111 0.93 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7  22  26   1.6e-71   1.7e-68  228.8   0.7  3284  3414  5158  5309  5150  5317 0.90 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7  23  26  1.6e-220  1.7e-217  723.4  48.0  3410  3830  5381  5870  5370  5891 0.88 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7  24  26    0.0077       8.4    0.8   0.0  3825  3851  5937  5965  5929  5973 0.81 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7  25  26  1.8e-123  1.9e-120  401.3  17.3  3852  4081  6035  6299  6011  6307 0.89 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340300.1-p1   -           6627 43at5820             -           4310         0 7749.6 609.7  26  26    1e-128  1.1e-125  418.6   2.4  4083  4310  6391  6627  6377  6627 0.93 | transcript=PVP01_1340300.1 | gene=PVP01_1340300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1752351-1772434(+) | protein_length=6627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409000.1-p1   -           1597 43at5820             -           4310      0.44    5.1  11.5   1   1   0.00058      0.63    4.6  11.5  3599  3639  1464  1504  1391  1513 0.74 | transcript=PVP01_0409000.1 | gene=PVP01_0409000 | organism=Plasmodium_vivax_P01 | gene_product=SNF2-like chromatin remodeling ATPase, putative | transcript_product=SNF2-like chromatin remodeling ATPase, putative | location=PvP01_04_v2:363099-367892(-) | protein_length=1597 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612100.1-p1   -           1745 43at5820             -           4310       1.6    3.2  15.3   1   1     0.002       2.2    2.8  15.3  3609  3652  1228  1272  1194  1290 0.68 | transcript=PVP01_0612100.1 | gene=PVP01_0612100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:529128-534365(-) | protein_length=1745 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0825500.1-p1   -            249 43at5820             -           4310       1.9    3.0  22.1   1   1    0.0024       2.6    2.5  22.1  3543  3654   124   240    90   245 0.66 | transcript=PVP01_0825500.1 | gene=PVP01_0825500 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_08_v2:1144385-1145134(-) | protein_length=249 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1406800.1-p1   -            543 43at5820             -           4310       2.3    2.7  26.0   1   1    0.0032       3.5    2.1  26.0  3605  3654   145   193   110   197 0.59 | transcript=PVP01_1406800.1 | gene=PVP01_1406800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:325846-327839(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466200.1-p1   -            400 43at5820             -           4310         9    0.7  12.0   1   1     0.013        14    0.1  12.0  3519  3657   145   290   135   326 0.66 | transcript=PVP01_1466200.1 | gene=PVP01_1466200 | organism=Plasmodium_vivax_P01 | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=PvP01_14_v2:2820825-2822550(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/43at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/43at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/43at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:30 2026
# [ok]
