#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0822400.1-p1   -           2580 422at5820            -           1432         0 2332.9 154.2   1  12  1.1e-101   2.3e-98  328.7  13.4     2   178    15   195    14   199 0.97 | transcript=PVP01_0822400.1 | gene=PVP01_0822400 | organism=Plasmodium_vivax_P01 | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=PvP01_08_v2:986945-996166(-) | protein_length=2580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822400.1-p1   -           2580 422at5820            -           1432         0 2332.9 154.2  12  12  2.4e-211  5.1e-208  692.1  16.6  1091  1432  2235  2580  2232  2580 0.99 | transcript=PVP01_0822400.1 | gene=PVP01_0822400 | organism=Plasmodium_vivax_P01 | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=PvP01_08_v2:986945-996166(-) | protein_length=2580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938800.1-p1   -            154 422at5820            -           1432    0.0021   14.0   0.7   1   1   1.1e-06    0.0024   13.9   0.7   791   891    50   151    25   153 0.73 | transcript=PVP01_0938800.1 | gene=PVP01_0938800 | organism=Plasmodium_vivax_P01 | gene_product=sporozoite surface protein essential for liver stage development, putative | transcript_product=sporozoite surface protein essential for liver stage development, putative | location=PvP01_09_v2:1663217-1663855(-) | protein_length=154 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1420900.1-p1   -            197 422at5820            -           1432     0.015   11.2   3.1   1   1   8.4e-06     0.018   10.9   3.1   794   892    28   126    15   149 0.86 | transcript=PVP01_1420900.1 | gene=PVP01_1420900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent Clp protease adapter protein ClpS, putative | transcript_product=ATP-dependent Clp protease adapter protein ClpS, putative | location=PvP01_14_v2:913609-914855(-) | protein_length=197 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/422at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/422at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/422at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:51 2026
# [ok]
