#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1342500.1-p1   -           2638 951at5820            -           1755         0 2777.1 461.4   1  14   0.00054       1.2    4.9   0.6     2    34    23    56    22    91 0.68 | transcript=PVP01_1342500.1 | gene=PVP01_1342500 | organism=Plasmodium_vivax_P01 | gene_product=transcription elongation factor SPT6, putative | transcript_product=transcription elongation factor SPT6, putative | location=PvP01_13_v2:1864238-1872154(-) | protein_length=2638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342500.1-p1   -           2638 951at5820            -           1755         0 2777.1 461.4  12  14    8e-281  1.7e-277  922.7  65.6   918  1424  1658  2192  1638  2199 0.93 | transcript=PVP01_1342500.1 | gene=PVP01_1342500 | organism=Plasmodium_vivax_P01 | gene_product=transcription elongation factor SPT6, putative | transcript_product=transcription elongation factor SPT6, putative | location=PvP01_13_v2:1864238-1872154(-) | protein_length=2638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342500.1-p1   -           2638 951at5820            -           1755         0 2777.1 461.4  13  14     9e-49   1.9e-45  153.4   6.0  1423  1526  2217  2326  2211  2347 0.89 | transcript=PVP01_1342500.1 | gene=PVP01_1342500 | organism=Plasmodium_vivax_P01 | gene_product=transcription elongation factor SPT6, putative | transcript_product=transcription elongation factor SPT6, putative | location=PvP01_13_v2:1864238-1872154(-) | protein_length=2638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342500.1-p1   -           2638 951at5820            -           1755         0 2777.1 461.4  14  14  2.7e-132  5.9e-129  430.2  26.7  1516  1755  2353  2635  2330  2635 0.92 | transcript=PVP01_1342500.1 | gene=PVP01_1342500 | organism=Plasmodium_vivax_P01 | gene_product=transcription elongation factor SPT6, putative | transcript_product=transcription elongation factor SPT6, putative | location=PvP01_13_v2:1864238-1872154(-) | protein_length=2638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 951at5820            -           1755      0.74    5.6  26.9   1   1   0.00052       1.1    5.0  26.9    13    84    90   161    85   174 0.74 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901800.1-p1   -            335 951at5820            -           1755       2.5    3.8  20.2   1   2   2.8e-05      0.06    9.2  14.0    20    64   119   163   106   195 0.54 | transcript=PVP01_0901800.1 | gene=PVP01_0901800 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:113304-114434(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901800.1-p1   -            335 951at5820            -           1755       2.5    3.8  20.2   2   2      0.42   9.1e+02   -4.7   0.4   253   260   302   309   287   323 0.50 | transcript=PVP01_0901800.1 | gene=PVP01_0901800 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:113304-114434(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/951at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/951at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/951at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:51:35 2026
# [ok]
