#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0720600.1-p1   -           1441 2771at5820           -            662  7.8e-293  971.4 119.4   1   9   6.5e-46   7.1e-43  145.4   5.9     1   103     3   105     3   122 0.89 | transcript=PVP01_0720600.1 | gene=PVP01_0720600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=PvP01_07_v2:892137-897609(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1106100.1-p1   -            128 2771at5820           -            662   1.7e-11   41.7   0.1   1   1   1.6e-14   1.7e-11   41.7   0.1     6    95     2    91     1   119 0.91 | transcript=PVP01_1106100.1 | gene=PVP01_1106100 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-60S ribosomal protein L40, putative | transcript_product=ubiquitin-60S ribosomal protein L40, putative | location=PvP01_11_v2:247411-248217(+) | protein_length=128 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1413900.1-p1   -             76 2771at5820           -            662   3.2e-08   30.9   0.0   1   1   3.3e-11   3.5e-08   30.7   0.0     6    76     2    72     1    75 0.95 | transcript=PVP01_1413900.1 | gene=PVP01_1413900 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like protein Nedd8, putative | transcript_product=ubiquitin-like protein Nedd8, putative | location=PvP01_14_v2:615074-615591(-) | protein_length=76 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914200.1-p1   -            394 2771at5820           -            662   8.4e-05   19.6   0.0   1   1   1.2e-07   0.00013   18.9   0.0     5   104     3   102     1   122 0.78 | transcript=PVP01_0914200.1 | gene=PVP01_0914200 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=PvP01_09_v2:656494-658175(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1028200.1-p1   -            101 2771at5820           -            662   0.00012   19.0   0.0   1   1   1.3e-07   0.00015   18.8   0.0     3    77    20    94    18    98 0.94 | transcript=PVP01_1028200.1 | gene=PVP01_1028200 | organism=Plasmodium_vivax_P01 | gene_product=small ubiquitin-related modifier, putative | transcript_product=small ubiquitin-related modifier, putative | location=PvP01_10_v2:1208043-1208494(+) | protein_length=101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2771at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2771at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2771at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:43 2026
# [ok]
