#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0724000.1-p1   -            133 14603at5820          -             96   1.4e-58  193.6   0.7   1   1   3.6e-61   1.7e-58  193.3   0.7     1    96    21   116    21   116 0.99 | transcript=PVP01_0724000.1 | gene=PVP01_0724000 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=PvP01_07_v2:1027022-1028145(+) | protein_length=133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806300.1-p1   -            193 14603at5820          -             96   0.00046   18.8   0.0   1   2       1.9   8.6e+02   -1.3   0.9    42    66    34    57    14    70 0.58 | transcript=PVP01_0806300.1 | gene=PVP01_0806300 | organism=Plasmodium_vivax_P01 | gene_product=phosducin-like protein 3, putative | transcript_product=phosducin-like protein 3, putative | location=PvP01_08_v2:276548-277129(-) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806300.1-p1   -            193 14603at5820          -             96   0.00046   18.8   0.0   2   2   9.9e-07   0.00046   18.8   0.0     4    95    74   165    71   166 0.96 | transcript=PVP01_0806300.1 | gene=PVP01_0806300 | organism=Plasmodium_vivax_P01 | gene_product=phosducin-like protein 3, putative | transcript_product=phosducin-like protein 3, putative | location=PvP01_08_v2:276548-277129(-) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234200.1-p1   -            543 14603at5820          -             96    0.0028   16.3   0.0   1   1   2.3e-05     0.011   14.4   0.0     8    49   406   448   400   494 0.80 | transcript=PVP01_1234200.1 | gene=PVP01_1234200 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_12_v2:1366295-1368471(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905200.1-p1   -            430 14603at5820          -             96    0.0038   15.9   0.9   1   2      0.16        72    2.2   0.1    15    70    53   109    34   118 0.66 | transcript=PVP01_0905200.1 | gene=PVP01_0905200 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=PvP01_09_v2:315269-316690(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905200.1-p1   -            430 14603at5820          -             96    0.0038   15.9   0.9   2   2   0.00021     0.097   11.4   0.1    42    90   192   240   181   245 0.78 | transcript=PVP01_0905200.1 | gene=PVP01_0905200 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=PvP01_09_v2:315269-316690(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813800.1-p1   -            206 14603at5820          -             96    0.0061   15.2   0.0   1   1   2.2e-05      0.01   14.5   0.0    26    81    81   140    58   152 0.72 | transcript=PVP01_0813800.1 | gene=PVP01_0813800 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like protein, putative | transcript_product=thioredoxin-like protein, putative | location=PvP01_08_v2:598174-599298(+) | protein_length=206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703400.1-p1   -            282 14603at5820          -             96    0.0092   14.6   2.5   1   2   0.00017     0.077   11.7   0.3    16    89   142   216   126   222 0.75 | transcript=PVP01_0703400.1 | gene=PVP01_0703400 | organism=Plasmodium_vivax_P01 | gene_product=ATP synthase-associated protein, putative | transcript_product=ATP synthase-associated protein, putative | location=PvP01_07_v2:195624-196472(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703400.1-p1   -            282 14603at5820          -             96    0.0092   14.6   2.5   2   2      0.18        83    2.0   0.1    42    64   251   273   227   280 0.84 | transcript=PVP01_0703400.1 | gene=PVP01_0703400 | organism=Plasmodium_vivax_P01 | gene_product=ATP synthase-associated protein, putative | transcript_product=ATP synthase-associated protein, putative | location=PvP01_07_v2:195624-196472(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836600.1-p1   -            179 14603at5820          -             96     0.018   13.7   0.0   1   1   8.6e-05      0.04   12.6   0.0     8    62    38    89    31    97 0.79 | transcript=PVP01_0836600.1 | gene=PVP01_0836600 | organism=Plasmodium_vivax_P01 | gene_product=plasmoredoxin, putative | transcript_product=plasmoredoxin, putative | location=PvP01_08_v2:1540771-1541310(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14603at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14603at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14603at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:56 2026
# [ok]
