#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1315500.1-p1   -            257 11045at5820          -            214  5.1e-118  390.9   8.8   1   1  1.4e-120  6.9e-118  390.4   8.8     1   214     1   238     1   238 0.93 | transcript=PVP01_1315500.1 | gene=PVP01_1315500 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=PvP01_13_v2:709520-711155(+) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103800.1-p1   -            619 11045at5820          -            214   6.4e-11   40.8  12.7   3   3   1.2e-08   5.9e-06   24.6   1.9    15   188   372   554   360   567 0.69 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 11045at5820          -            214     4e-10   38.3  43.5   1   5     4e-05      0.02   13.1   1.4     4    67   186   251   183   353 0.86 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 11045at5820          -            214     4e-10   38.3  43.5   2   5    0.0012      0.58    8.3   7.5    94   200   470   575   453   585 0.82 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 11045at5820          -            214     4e-10   38.3  43.5   3   5       8.8   4.4e+03   -4.4   1.4    79   133   614   666   602   671 0.47 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 11045at5820          -            214     4e-10   38.3  43.5   4   5   6.9e-06    0.0035   15.6   0.2    17    50   829   862   819   869 0.89 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 11045at5820          -            214     4e-10   38.3  43.5   5   5   2.7e-08   1.4e-05   23.4   5.7    96   190  1017  1110  1006  1130 0.81 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820500.1-p1   -           2637 11045at5820          -            214   9.1e-10   37.1  20.8   1   3   9.3e-07   0.00047   18.4   0.4     4    50   821   869   819   880 0.82 | transcript=PVP01_0820500.1 | gene=PVP01_0820500 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=PvP01_08_v2:896677-905020(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820500.1-p1   -           2637 11045at5820          -            214   9.1e-10   37.1  20.8   2   3   9.7e-08   4.9e-05   21.6   9.5    86   197   968  1076   934  1090 0.77 | transcript=PVP01_0820500.1 | gene=PVP01_0820500 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=PvP01_08_v2:896677-905020(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820500.1-p1   -           2637 11045at5820          -            214   9.1e-10   37.1  20.8   3   3     0.061        30    2.7   0.2   114   153  2214  2253  2194  2265 0.80 | transcript=PVP01_0820500.1 | gene=PVP01_0820500 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=PvP01_08_v2:896677-905020(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 11045at5820          -            214   9.5e-09   33.7   5.1   1   3         1   5.1e+02   -1.3   0.1   113   139   309   335   292   343 0.74 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 11045at5820          -            214   9.5e-09   33.7   5.1   2   3   5.1e-05     0.026   12.7   0.1    15    69   504   564   489   571 0.76 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 11045at5820          -            214   9.5e-09   33.7   5.1   3   3   8.7e-08   4.4e-05   21.8   0.3   114   182   715   781   704   806 0.77 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335400.1-p1   -            351 11045at5820          -            214     3e-08   32.1   2.8   1   3       3.8   1.9e+03   -3.2   0.0    43    69    48    74    28    80 0.71 | transcript=PVP01_1335400.1 | gene=PVP01_1335400 | organism=Plasmodium_vivax_P01 | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=PvP01_13_v2:1534587-1535642(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335400.1-p1   -            351 11045at5820          -            214     3e-08   32.1   2.8   2   3   3.5e-06    0.0017   16.5   0.1    15    53   118   156   105   173 0.89 | transcript=PVP01_1335400.1 | gene=PVP01_1335400 | organism=Plasmodium_vivax_P01 | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=PvP01_13_v2:1534587-1535642(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335400.1-p1   -            351 11045at5820          -            214     3e-08   32.1   2.8   3   3   6.7e-06    0.0034   15.6   0.1   114   175   247   307   232   348 0.82 | transcript=PVP01_1335400.1 | gene=PVP01_1335400 | organism=Plasmodium_vivax_P01 | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=PvP01_13_v2:1534587-1535642(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946200.1-p1   -            783 11045at5820          -            214   1.1e-06   27.1   6.2   1   1   4.8e-07   0.00024   19.3   6.2    15   179   572   763   559   778 0.73 | transcript=PVP01_0946200.1 | gene=PVP01_0946200 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=PvP01_09_v2:2021063-2023701(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322800.1-p1   -            695 11045at5820          -            214   3.5e-06   25.4   2.4   1   2   2.4e-07   0.00012   20.3   0.0    31   174    68   233    52   264 0.70 | transcript=PVP01_1322800.1 | gene=PVP01_1322800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=PvP01_13_v2:1033999-1036086(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322800.1-p1   -            695 11045at5820          -            214   3.5e-06   25.4   2.4   2   2       1.2   6.1e+02   -1.6   0.4   130   190   421   486   391   493 0.69 | transcript=PVP01_1322800.1 | gene=PVP01_1322800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=PvP01_13_v2:1033999-1036086(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259100.1-p1   -           1564 11045at5820          -            214   5.9e-06   24.6   0.6   1   1   4.1e-07   0.00021   19.6   0.6    14   170   707   883   692   904 0.64 | transcript=PVP01_1259100.1 | gene=PVP01_1259100 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 2, putative, multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=PvP01_12_v2:2441482-2446176(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202700.1-p1   -            998 11045at5820          -            214   1.4e-05   23.3   9.1   1   1   6.8e-07   0.00034   18.9   9.1    16   188   774   966   766   981 0.68 | transcript=PVP01_1202700.1 | gene=PVP01_1202700 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=PvP01_12_v2:113144-116140(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11045at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11045at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11045at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:14 2026
# [ok]
