#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1207800.1-p1   -            363 7201at5820           -            178  2.3e-104  345.0   8.5   1   1  1.8e-106  1.2e-103  342.6   8.5     1   178    88   289    88   289 0.93 | transcript=PVP01_1207800.1 | gene=PVP01_1207800 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=PvP01_12_v2:317847-320011(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119000.1-p1   -            513 7201at5820           -            178    0.0003   18.9   4.3   2   4   0.00044      0.28    9.2   0.3    37   101   361   427   333   432 0.60 | transcript=PVP01_1119000.1 | gene=PVP01_1119000 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis protein YTM1, putative | transcript_product=ribosome biogenesis protein YTM1, putative | location=PvP01_11_v2:801133-802674(-) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119000.1-p1   -            513 7201at5820           -            178    0.0003   18.9   4.3   3   4   0.00063      0.41    8.6   0.1    30    75   394   439   387   454 0.78 | transcript=PVP01_1119000.1 | gene=PVP01_1119000 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis protein YTM1, putative | transcript_product=ribosome biogenesis protein YTM1, putative | location=PvP01_11_v2:801133-802674(-) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119000.1-p1   -            513 7201at5820           -            178    0.0003   18.9   4.3   4   4    0.0098       6.4    4.8   0.0    35    61   448   474   428   487 0.77 | transcript=PVP01_1119000.1 | gene=PVP01_1119000 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis protein YTM1, putative | transcript_product=ribosome biogenesis protein YTM1, putative | location=PvP01_11_v2:801133-802674(-) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141000.1-p1   -            361 7201at5820           -            178    0.0007   17.7   0.3   1   2       4.3   2.8e+03   -3.9   0.1    79    89   167   177   165   181 0.81 | transcript=PVP01_1141000.1 | gene=PVP01_1141000 | organism=Plasmodium_vivax_P01 | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=PvP01_11_v2:1737892-1740448(+) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141000.1-p1   -            361 7201at5820           -            178    0.0007   17.7   0.3   2   2   2.1e-06    0.0014   16.7   0.0    32   135   198   309   182   320 0.79 | transcript=PVP01_1141000.1 | gene=PVP01_1141000 | organism=Plasmodium_vivax_P01 | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=PvP01_11_v2:1737892-1740448(+) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 7201at5820           -            178    0.0014   16.7   0.0   1   3      0.12        80    1.2   0.0    28    55   152   178   138   187 0.63 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 7201at5820           -            178    0.0014   16.7   0.0   2   3      0.26   1.7e+02    0.1   0.0   111   155   211   253   192   257 0.82 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 7201at5820           -            178    0.0014   16.7   0.0   3   3   0.00017      0.11   10.5   0.0     4    58   351   404   343   420 0.88 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 7201at5820           -            178    0.0019   16.3  36.4   1   5   0.00076       0.5    8.4   1.5    32    69    73   110    57   140 0.71 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 7201at5820           -            178    0.0019   16.3  36.4   2   5   0.00021      0.14   10.2   6.9    12    97   152   239   129   246 0.65 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 7201at5820           -            178    0.0019   16.3  36.4   3   5       2.3   1.5e+03   -3.0   1.1     4    31   373   401   339   414 0.70 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 7201at5820           -            178    0.0019   16.3  36.4   4   5   0.00041      0.27    9.2   2.1     7   136   601   729   596   742 0.76 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 7201at5820           -            178    0.0019   16.3  36.4   5   5    0.0029       1.9    6.5   0.1    34    81   912   956   887   962 0.70 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 7201at5820           -            178    0.0024   15.9   0.7   1   2   2.2e-05     0.014   13.4   0.1     4    60   103   155   100   163 0.85 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 7201at5820           -            178    0.0024   15.9   0.7   2   2       0.4   2.6e+02   -0.5   0.0     3    48   275   317   263   321 0.72 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439900.1-p1   -            430 7201at5820           -            178    0.0035   15.4   0.2   1   2   7.7e-05      0.05   11.6   0.1     4    80   271   353   268   361 0.71 | transcript=PVP01_1439900.1 | gene=PVP01_1439900 | organism=Plasmodium_vivax_P01 | gene_product=protein TSSC1, putative | transcript_product=protein TSSC1, putative | location=PvP01_14_v2:1702773-1704065(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439900.1-p1   -            430 7201at5820           -            178    0.0035   15.4   0.2   2   2    0.0057       3.7    5.5   0.0     8    55   319   365   318   382 0.88 | transcript=PVP01_1439900.1 | gene=PVP01_1439900 | organism=Plasmodium_vivax_P01 | gene_product=protein TSSC1, putative | transcript_product=protein TSSC1, putative | location=PvP01_14_v2:1702773-1704065(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7201at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7201at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7201at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:39 2026
# [ok]
