#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0531200.1-p1   -            388 6857at5820           -            381  5.1e-271  896.6   4.7   1   1  3.2e-273  5.8e-271  896.4   4.7     1   381     7   388     7   388 1.00 | transcript=PVP01_0531200.1 | gene=PVP01_0531200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic initiation factor 4A-III, putative | transcript_product=eukaryotic initiation factor 4A-III, putative | location=PvP01_05_v2:1327415-1328581(+) | protein_length=388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1468600.1-p1   -            731 6857at5820           -            381   7.3e-43  145.6   3.9   1   1   7.6e-43   1.4e-40  138.1   3.9    12   360   107   496    97   512 0.80 | transcript=PVP01_1468600.1 | gene=PVP01_1468600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DRS1, putative | transcript_product=ATP-dependent RNA helicase DRS1, putative | location=PvP01_14_v2:2916347-2918542(+) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429700.1-p1   -            923 6857at5820           -            381   2.7e-42  143.7   2.9   1   1   5.2e-41   9.4e-39  132.0   2.9    10   362   339   738   331   747 0.80 | transcript=PVP01_1429700.1 | gene=PVP01_1429700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP1, putative | transcript_product=ATP-dependent RNA helicase DBP1, putative | location=PvP01_14_v2:1276317-1279088(-) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1222000.1-p1   -            489 6857at5820           -            381   2.6e-40  137.2   0.4   1   1   5.2e-42   9.4e-40  135.3   0.4    10   364    59   434    56   441 0.86 | transcript=PVP01_1222000.1 | gene=PVP01_1222000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP8, putative | transcript_product=ATP-dependent RNA helicase DBP8, putative | location=PvP01_12_v2:871025-872494(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507400.1-p1   -           1175 6857at5820           -            381   4.8e-39  133.0   4.8   1   1   4.2e-41   7.6e-39  132.4   4.8     9   360   166   528   160   539 0.88 | transcript=PVP01_0507400.1 | gene=PVP01_0507400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=PvP01_05_v2:324795-328322(+) | protein_length=1175 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330000.1-p1   -            877 6857at5820           -            381   2.2e-37  127.6  12.3   1   1   1.8e-39   3.2e-37  127.0  12.3    10   363   135   503   127   520 0.83 | transcript=PVP01_1330000.1 | gene=PVP01_1330000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP4, putative | transcript_product=ATP-dependent RNA helicase DBP4, putative | location=PvP01_13_v2:1271625-1274418(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0317000.1-p1   -            838 6857at5820           -            381   2.3e-33  114.3   0.1   1   3   1.1e-22     2e-20   71.7   0.0    16   175   139   310   133   316 0.82 | transcript=PVP01_0317000.1 | gene=PVP01_0317000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX31, putative | transcript_product=ATP-dependent RNA helicase DDX31, putative | location=PvP01_03_v2:738869-741385(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0317000.1-p1   -            838 6857at5820           -            381   2.3e-33  114.3   0.1   2   3       3.2   5.8e+02   -2.2   0.0   180   205   363   388   361   400 0.75 | transcript=PVP01_0317000.1 | gene=PVP01_0317000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX31, putative | transcript_product=ATP-dependent RNA helicase DDX31, putative | location=PvP01_03_v2:738869-741385(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0317000.1-p1   -            838 6857at5820           -            381   2.3e-33  114.3   0.1   3   3   8.2e-13   1.5e-10   39.2   0.0   266   358   596   691   586   705 0.84 | transcript=PVP01_0317000.1 | gene=PVP01_0317000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX31, putative | transcript_product=ATP-dependent RNA helicase DDX31, putative | location=PvP01_03_v2:738869-741385(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458900.1-p1   -            847 6857at5820           -            381   2.6e-32  110.8   6.9   1   3     1e-24   1.9e-22   78.4   0.3    10   209    92   305    84   313 0.79 | transcript=PVP01_1458900.1 | gene=PVP01_1458900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=PvP01_14_v2:2575210-2577753(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458900.1-p1   -            847 6857at5820           -            381   2.6e-32  110.8   6.9   2   3   9.9e-12   1.8e-09   35.7   0.0   306   355   511   560   508   584 0.91 | transcript=PVP01_1458900.1 | gene=PVP01_1458900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=PvP01_14_v2:2575210-2577753(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458900.1-p1   -            847 6857at5820           -            381   2.6e-32  110.8   6.9   3   3       3.3     6e+02   -2.3   0.7   198   243   598   647   587   672 0.72 | transcript=PVP01_1458900.1 | gene=PVP01_1458900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=PvP01_14_v2:2575210-2577753(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818600.1-p1   -            762 6857at5820           -            381   8.9e-32  109.1   9.5   1   2   4.3e-05    0.0077   13.8   0.0    16    66   261   311   251   324 0.90 | transcript=PVP01_0818600.1 | gene=PVP01_0818600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=PvP01_08_v2:816280-818806(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818600.1-p1   -            762 6857at5820           -            381   8.9e-32  109.1   9.5   2   2   8.4e-30   1.5e-27   95.2   7.3    78   358   379   661   373   680 0.84 | transcript=PVP01_0818600.1 | gene=PVP01_0818600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=PvP01_08_v2:816280-818806(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1408200.1-p1   -            626 6857at5820           -            381   7.3e-30  102.8   5.9   1   1     6e-32   1.1e-29  102.2   5.9    44   361   185   517   143   529 0.77 | transcript=PVP01_1408200.1 | gene=PVP01_1408200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP6, putative | transcript_product=ATP-dependent RNA helicase DBP6, putative | location=PvP01_14_v2:382345-384225(+) | protein_length=626 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1012200.1-p1   -            816 6857at5820           -            381   1.7e-27   95.0  15.4   1   4   3.8e-09   6.9e-07   27.1   0.0     9    72     2    65     1    75 0.93 | transcript=PVP01_1012200.1 | gene=PVP01_1012200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX1, putative | transcript_product=ATP-dependent RNA helicase DDX1, putative | location=PvP01_10_v2:558667-561117(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1012200.1-p1   -            816 6857at5820           -            381   1.7e-27   95.0  15.4   2   4         5   9.1e+02   -2.9   0.1     6    30   131   155   129   157 0.88 | transcript=PVP01_1012200.1 | gene=PVP01_1012200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX1, putative | transcript_product=ATP-dependent RNA helicase DDX1, putative | location=PvP01_10_v2:558667-561117(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1012200.1-p1   -            816 6857at5820           -            381   1.7e-27   95.0  15.4   3   4   6.9e-11   1.3e-08   32.9   2.5    54   212   306   471   299   497 0.82 | transcript=PVP01_1012200.1 | gene=PVP01_1012200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX1, putative | transcript_product=ATP-dependent RNA helicase DDX1, putative | location=PvP01_10_v2:558667-561117(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1012200.1-p1   -            816 6857at5820           -            381   1.7e-27   95.0  15.4   4   4   1.3e-13   2.4e-11   41.8   0.8   264   349   598   683   534   693 0.82 | transcript=PVP01_1012200.1 | gene=PVP01_1012200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX1, putative | transcript_product=ATP-dependent RNA helicase DDX1, putative | location=PvP01_10_v2:558667-561117(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606700.1-p1   -            634 6857at5820           -            381   2.7e-26   91.0   3.9   1   2   2.9e-07   5.2e-05   21.0   0.1    26    67   149   190   140   198 0.90 | transcript=PVP01_0606700.1 | gene=PVP01_0606700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase ROK1, putative | transcript_product=ATP-dependent RNA helicase ROK1, putative | location=PvP01_06_v2:268849-270753(-) | protein_length=634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606700.1-p1   -            634 6857at5820           -            381   2.7e-26   91.0   3.9   2   2     2e-22   3.6e-20   70.9   0.9    81   375   264   565   255   570 0.82 | transcript=PVP01_0606700.1 | gene=PVP01_0606700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase ROK1, putative | transcript_product=ATP-dependent RNA helicase ROK1, putative | location=PvP01_06_v2:268849-270753(-) | protein_length=634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261800.1-p1   -            791 6857at5820           -            381   5.2e-26   90.1   7.9   1   2   3.2e-18   5.8e-16   57.0   2.4    19   193   250   449   241   474 0.74 | transcript=PVP01_1261800.1 | gene=PVP01_1261800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MAK5, putative | transcript_product=ATP-dependent RNA helicase MAK5, putative | location=PvP01_12_v2:2548870-2551662(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261800.1-p1   -            791 6857at5820           -            381   5.2e-26   90.1   7.9   2   2     8e-12   1.4e-09   36.0   0.3   272   357   597   683   579   696 0.92 | transcript=PVP01_1261800.1 | gene=PVP01_1261800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MAK5, putative | transcript_product=ATP-dependent RNA helicase MAK5, putative | location=PvP01_12_v2:2548870-2551662(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 6857at5820           -            381   6.8e-23   79.8   6.1   1   4   1.3e-05    0.0024   15.5   0.0     9    64    27    82    20   100 0.81 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 6857at5820           -            381   6.8e-23   79.8   6.1   2   4      0.37        67    0.9   0.0   113   143   221   252   179   262 0.74 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 6857at5820           -            381   6.8e-23   79.8   6.1   3   4   0.00029     0.052   11.1   0.0   149   193   280   325   267   352 0.84 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 6857at5820           -            381   6.8e-23   79.8   6.1   4   4     3e-16   5.5e-14   50.5   1.9   234   357   584   707   559   716 0.74 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329800.1-p1   -            995 6857at5820           -            381   8.8e-20   69.6   8.9   1   4   0.00043     0.077   10.5   0.0     9    69    48   108    45   120 0.88 | transcript=PVP01_1329800.1 | gene=PVP01_1329800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=PvP01_13_v2:1260717-1263704(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329800.1-p1   -            995 6857at5820           -            381   8.8e-20   69.6   8.9   2   4         1   1.9e+02   -0.6   0.0    73    99   234   262   222   283 0.72 | transcript=PVP01_1329800.1 | gene=PVP01_1329800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=PvP01_13_v2:1260717-1263704(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329800.1-p1   -            995 6857at5820           -            381   8.8e-20   69.6   8.9   3   4     4e-05    0.0072   13.9   0.1   121   194   311   387   294   397 0.82 | transcript=PVP01_1329800.1 | gene=PVP01_1329800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=PvP01_13_v2:1260717-1263704(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329800.1-p1   -            995 6857at5820           -            381   8.8e-20   69.6   8.9   4   4   1.1e-14   2.1e-12   45.3   2.8   260   353   542   638   516   656 0.83 | transcript=PVP01_1329800.1 | gene=PVP01_1329800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=PvP01_13_v2:1260717-1263704(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301300.1-p1   -            869 6857at5820           -            381   2.1e-16   58.5   0.1   1   2      0.21        38    1.7   0.0    45   106   196   259   160   298 0.76 | transcript=PVP01_1301300.1 | gene=PVP01_1301300 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative | location=PvP01_13_v2:50765-54538(-) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301300.1-p1   -            869 6857at5820           -            381   2.1e-16   58.5   0.1   2   2   2.6e-17   4.7e-15   54.0   0.0   246   367   533   653   523   662 0.90 | transcript=PVP01_1301300.1 | gene=PVP01_1301300 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative | location=PvP01_13_v2:50765-54538(-) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717000.1-p1   -            732 6857at5820           -            381     3e-14   51.4   0.9   1   2       1.5   2.8e+02   -1.2   0.3    99   209    53   164    30   189 0.54 | transcript=PVP01_0717000.1 | gene=PVP01_0717000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=PvP01_07_v2:757887-760085(+) | protein_length=732 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717000.1-p1   -            732 6857at5820           -            381     3e-14   51.4   0.9   2   2   1.6e-16     3e-14   51.4   0.9   250   367   378   496   347   508 0.87 | transcript=PVP01_0717000.1 | gene=PVP01_0717000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=PvP01_07_v2:757887-760085(+) | protein_length=732 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105800.1-p1   -           1051 6857at5820           -            381   9.7e-14   49.7   5.2   1   2   0.00087      0.16    9.5   0.3   119   169   427   480   414   495 0.77 | transcript=PVP01_0105800.1 | gene=PVP01_0105800 | organism=Plasmodium_vivax_P01 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=PvP01_01_v2:313457-316612(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105800.1-p1   -           1051 6857at5820           -            381   9.7e-14   49.7   5.2   2   2   1.4e-13   2.6e-11   41.7   0.6   248   337   761   849   755   866 0.92 | transcript=PVP01_0105800.1 | gene=PVP01_0105800 | organism=Plasmodium_vivax_P01 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=PvP01_01_v2:313457-316612(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
