#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0610700.1-p1   -           5203 70at5820             -           3440         0 4504.7 218.5   1  21   0.00018       1.2    3.9   0.1     1    23     1    23     1    30 0.83 | transcript=PVP01_0610700.1 | gene=PVP01_0610700 | organism=Plasmodium_vivax_P01 | gene_product=dynein, putative | transcript_product=dynein, putative | location=PvP01_06_v2:470727-488004(-) | protein_length=5203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610700.1-p1   -           5203 70at5820             -           3440         0 4504.7 218.5  12  21    0.0005       3.3    2.4   0.0  2199  2231  3144  3177  3136  3187 0.83 | transcript=PVP01_0610700.1 | gene=PVP01_0610700 | organism=Plasmodium_vivax_P01 | gene_product=dynein, putative | transcript_product=dynein, putative | location=PvP01_06_v2:470727-488004(-) | protein_length=5203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610700.1-p1   -           5203 70at5820             -           3440         0 4504.7 218.5  13  21   3.5e-91   2.3e-87  291.6   4.3  2226  2492  3223  3522  3214  3527 0.86 | transcript=PVP01_0610700.1 | gene=PVP01_0610700 | organism=Plasmodium_vivax_P01 | gene_product=dynein, putative | transcript_product=dynein, putative | location=PvP01_06_v2:470727-488004(-) | protein_length=5203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610700.1-p1   -           5203 70at5820             -           3440         0 4504.7 218.5  14  21   9.3e-34   6.1e-30  101.0   0.7  2493  2564  3581  3652  3576  3655 0.96 | transcript=PVP01_0610700.1 | gene=PVP01_0610700 | organism=Plasmodium_vivax_P01 | gene_product=dynein, putative | transcript_product=dynein, putative | location=PvP01_06_v2:470727-488004(-) | protein_length=5203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610700.1-p1   -           5203 70at5820             -           3440         0 4504.7 218.5  15  21   3.4e-24   2.2e-20   69.3   0.1  2564  2636  3709  3789  3697  3799 0.90 | transcript=PVP01_0610700.1 | gene=PVP01_0610700 | organism=Plasmodium_vivax_P01 | gene_product=dynein, putative | transcript_product=dynein, putative | location=PvP01_06_v2:470727-488004(-) | protein_length=5203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610700.1-p1   -           5203 70at5820             -           3440         0 4504.7 218.5  16  21   7.2e-36   4.7e-32  108.1   0.1  2649  2748  3866  3981  3854  3990 0.86 | transcript=PVP01_0610700.1 | gene=PVP01_0610700 | organism=Plasmodium_vivax_P01 | gene_product=dynein, putative | transcript_product=dynein, putative | location=PvP01_06_v2:470727-488004(-) | protein_length=5203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610700.1-p1   -           5203 70at5820             -           3440         0 4504.7 218.5  17  21   2.9e-29   1.9e-25   86.1   1.0  2790  2889  4234  4357  4232  4366 0.87 | transcript=PVP01_0610700.1 | gene=PVP01_0610700 | organism=Plasmodium_vivax_P01 | gene_product=dynein, putative | transcript_product=dynein, putative | location=PvP01_06_v2:470727-488004(-) | protein_length=5203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610700.1-p1   -           5203 70at5820             -           3440         0 4504.7 218.5  18  21   7.9e-51   5.1e-47  157.7   4.3  2885  3045  4402  4600  4400  4604 0.84 | transcript=PVP01_0610700.1 | gene=PVP01_0610700 | organism=Plasmodium_vivax_P01 | gene_product=dynein, putative | transcript_product=dynein, putative | location=PvP01_06_v2:470727-488004(-) | protein_length=5203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610700.1-p1   -           5203 70at5820             -           3440         0 4504.7 218.5  19  21  1.3e-138  8.6e-135  449.0   0.0  3042  3356  4633  4964  4628  4967 0.94 | transcript=PVP01_0610700.1 | gene=PVP01_0610700 | organism=Plasmodium_vivax_P01 | gene_product=dynein, putative | transcript_product=dynein, putative | location=PvP01_06_v2:470727-488004(-) | protein_length=5203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610700.1-p1   -           5203 70at5820             -           3440         0 4504.7 218.5  20  21   2.4e-11   1.6e-07   26.7   1.1  3354  3388  5049  5083  5039  5101 0.78 | transcript=PVP01_0610700.1 | gene=PVP01_0610700 | organism=Plasmodium_vivax_P01 | gene_product=dynein, putative | transcript_product=dynein, putative | location=PvP01_06_v2:470727-488004(-) | protein_length=5203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0610700.1-p1   -           5203 70at5820             -           3440         0 4504.7 218.5  21  21   1.9e-21   1.2e-17   60.2   1.2  3376  3440  5130  5202  5128  5202 0.91 | transcript=PVP01_0610700.1 | gene=PVP01_0610700 | organism=Plasmodium_vivax_P01 | gene_product=dynein, putative | transcript_product=dynein, putative | location=PvP01_06_v2:470727-488004(-) | protein_length=5203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/70at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/70at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/70at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:55 2026
# [ok]
