#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9   1  27  8.6e-193  5.6e-189  628.8  50.0     1   322     1   325     1   334 0.98 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9  12  27   6.9e-12   4.5e-08   28.5   0.0  1573  1602  2818  2847  2815  2850 0.94 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9  13  27   5.8e-60   3.8e-56  188.1   9.2  1599  1713  2988  3104  2980  3112 0.94 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9  14  27  1.2e-173  7.7e-170  565.3  47.4  1722  2068  3324  3695  3317  3706 0.92 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9  15  27   1.9e-46   1.3e-42  143.2   0.1  2056  2167  3758  3886  3756  3920 0.90 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9  16  27   9.5e-81   6.2e-77  257.0  10.4  2178  2311  3946  4079  3940  4082 0.98 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9  17  27   2.3e-07    0.0015   13.5  15.4  2307  2365  4130  4186  4107  4194 0.80 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9  18  27   0.00015      0.99    4.2   2.8  2345  2375  4224  4254  4221  4261 0.79 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9  19  27   3.8e-21   2.4e-17   59.3   7.1  2359  2426  4353  4428  4342  4430 0.84 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9  20  27     1e-54   6.7e-51  170.7  10.5  2423  2528  4484  4589  4480  4592 0.97 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9  21  27   1.1e-32   7.4e-29   97.5   0.8  2517  2581  4628  4692  4620  4703 0.89 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9  22  27   2.8e-78   1.8e-74  248.8  17.5  2581  2708  4810  4937  4806  4948 0.97 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9  23  27   4.9e-29   3.2e-25   85.4   2.2  2707  2772  4974  5039  4950  5052 0.91 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9  24  27   2.6e-08   0.00017   16.7   0.3  2767  2799  5130  5162  5117  5166 0.89 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9  25  27  9.5e-151  6.2e-147  489.3  39.3  2800  3111  5289  5605  5284  5624 0.95 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9  26  27   8.8e-53   5.8e-49  164.2   9.7  3091  3214  5640  5770  5617  5781 0.85 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606900.1-p1   -           5894 72at5820             -           3250         0 4809.2 483.9  27  27   1.5e-19   9.5e-16   54.0   5.1  3202  3250  5844  5894  5837  5894 0.85 | transcript=PVP01_0606900.1 | gene=PVP01_0606900 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_06_v2:273601-291875(-) | protein_length=5894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/72at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/72at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/72at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:00 2026
# [ok]
