#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0507400.1-p1   -           1175 3824at5820           -            858         0 1362.2  90.9   1   6    0.0092         2    4.9   0.1    19    39    76    96    57   105 0.73 | transcript=PVP01_0507400.1 | gene=PVP01_0507400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=PvP01_05_v2:324795-328322(+) | protein_length=1175 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005900.1-p1   -            667 3824at5820           -            858   6.1e-45  152.2   0.0   1   1   2.8e-47   6.1e-45  152.2   0.0    80   403   235   565   217   575 0.83 | transcript=PVP01_1005900.1 | gene=PVP01_1005900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=PvP01_10_v2:267076-269079(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1408200.1-p1   -            626 3824at5820           -            858   7.6e-44  148.6  19.3   1   1   4.8e-46     1e-43  148.1  19.3    74   415   158   514   151   544 0.87 | transcript=PVP01_1408200.1 | gene=PVP01_1408200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP6, putative | transcript_product=ATP-dependent RNA helicase DBP6, putative | location=PvP01_14_v2:382345-384225(+) | protein_length=626 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531200.1-p1   -            388 3824at5820           -            858   4.9e-43  145.9   4.0   1   1   2.8e-45   6.1e-43  145.6   4.0    53   414     6   364     2   377 0.90 | transcript=PVP01_0531200.1 | gene=PVP01_0531200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic initiation factor 4A-III, putative | transcript_product=eukaryotic initiation factor 4A-III, putative | location=PvP01_05_v2:1327415-1328581(+) | protein_length=388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1468600.1-p1   -            731 3824at5820           -            858   1.9e-41  140.6  17.8   1   1   8.9e-44   1.9e-41  140.6  17.8    81   402   122   474   106   484 0.80 | transcript=PVP01_1468600.1 | gene=PVP01_1468600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DRS1, putative | transcript_product=ATP-dependent RNA helicase DRS1, putative | location=PvP01_14_v2:2916347-2918542(+) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429700.1-p1   -            923 3824at5820           -            858   2.2e-41  140.4  12.0   1   1   1.4e-42     3e-40  136.6  12.0    61   403   337   719   289   745 0.81 | transcript=PVP01_1429700.1 | gene=PVP01_1429700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP1, putative | transcript_product=ATP-dependent RNA helicase DBP1, putative | location=PvP01_14_v2:1276317-1279088(-) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819400.1-p1   -            433 3824at5820           -            858   2.9e-41  140.0   0.9   1   1   1.7e-43   3.7e-41  139.7   0.9    82   426    79   419    27   426 0.88 | transcript=PVP01_0819400.1 | gene=PVP01_0819400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=PvP01_08_v2:848920-850632(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445300.1-p1   -            717 3824at5820           -            858   6.8e-41  138.8   1.7   1   2   7.3e-09   1.6e-06   25.1   0.0    58   127   274   342   221   346 0.79 | transcript=PVP01_1445300.1 | gene=PVP01_1445300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=PvP01_14_v2:1956382-1958535(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445300.1-p1   -            717 3824at5820           -            858   6.8e-41  138.8   1.7   2   2   3.1e-35   6.8e-33  112.3   1.0   133   403   401   670   394   684 0.87 | transcript=PVP01_1445300.1 | gene=PVP01_1445300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=PvP01_14_v2:1956382-1958535(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025300.1-p1   -           1465 3824at5820           -            858   2.2e-40  137.1  10.0   1   2       2.1   4.7e+02   -2.9   1.4   600   641   365   400   322   415 0.64 | transcript=PVP01_1025300.1 | gene=PVP01_1025300 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | transcript_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | location=PvP01_10_v2:1104501-1108898(-) | protein_length=1465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025300.1-p1   -           1465 3824at5820           -            858   2.2e-40  137.1  10.0   2   2     1e-42   2.2e-40  137.1  10.0    61   432   682  1058   619  1063 0.81 | transcript=PVP01_1025300.1 | gene=PVP01_1025300 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | transcript_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | location=PvP01_10_v2:1104501-1108898(-) | protein_length=1465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415000.1-p1   -            473 3824at5820           -            858     6e-40  135.7   1.7   1   2   2.8e-06    0.0006   16.6   0.0    63   126    60   122    43   127 0.87 | transcript=PVP01_0415000.1 | gene=PVP01_0415000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=PvP01_04_v2:609730-611288(+) | protein_length=473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415000.1-p1   -            473 3824at5820           -            858     6e-40  135.7   1.7   2   2   3.6e-36   7.9e-34  115.4   3.3   133   411   159   441   152   451 0.88 | transcript=PVP01_0415000.1 | gene=PVP01_0415000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=PvP01_04_v2:609730-611288(+) | protein_length=473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029600.1-p1   -            720 3824at5820           -            858   1.2e-39  134.6   6.7   1   2   0.00014     0.031   10.9   0.0    83   125   146   188   131   193 0.86 | transcript=PVP01_1029600.1 | gene=PVP01_1029600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=PvP01_10_v2:1280812-1282974(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029600.1-p1   -            720 3824at5820           -            858   1.2e-39  134.6   6.7   2   2   8.4e-39   1.8e-36  124.1   3.5   137   410   228   503   225   522 0.89 | transcript=PVP01_1029600.1 | gene=PVP01_1029600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=PvP01_10_v2:1280812-1282974(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261100.1-p1   -            528 3824at5820           -            858   1.8e-38  130.8   0.0   1   1     1e-40   2.3e-38  130.5   0.0    63   403   114   456    74   468 0.88 | transcript=PVP01_1261100.1 | gene=PVP01_1261100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX17, putative | transcript_product=ATP-dependent RNA helicase DDX17, putative | location=PvP01_12_v2:2514922-2518356(-) | protein_length=528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606700.1-p1   -            634 3824at5820           -            858   1.3e-37  127.9   3.2   1   2     5e-11   1.1e-08   32.3   0.3    72   121   141   190   136   197 0.88 | transcript=PVP01_0606700.1 | gene=PVP01_0606700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase ROK1, putative | transcript_product=ATP-dependent RNA helicase ROK1, putative | location=PvP01_06_v2:268849-270753(-) | protein_length=634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606700.1-p1   -            634 3824at5820           -            858   1.3e-37  127.9   3.2   2   2   2.6e-30   5.7e-28   96.1   0.2   132   423   259   556   252   560 0.85 | transcript=PVP01_0606700.1 | gene=PVP01_0606700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase ROK1, putative | transcript_product=ATP-dependent RNA helicase ROK1, putative | location=PvP01_06_v2:268849-270753(-) | protein_length=634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330000.1-p1   -            877 3824at5820           -            858   2.1e-37  127.2  31.0   1   3   9.8e-40   2.1e-37  127.2  31.0    36   401   108   479    77   491 0.85 | transcript=PVP01_1330000.1 | gene=PVP01_1330000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP4, putative | transcript_product=ATP-dependent RNA helicase DBP4, putative | location=PvP01_13_v2:1271625-1274418(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330000.1-p1   -            877 3824at5820           -            858   2.1e-37  127.2  31.0   2   3      0.24        51    0.2   1.4   747   781   494   528   489   563 0.80 | transcript=PVP01_1330000.1 | gene=PVP01_1330000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP4, putative | transcript_product=ATP-dependent RNA helicase DBP4, putative | location=PvP01_13_v2:1271625-1274418(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330000.1-p1   -            877 3824at5820           -            858   2.1e-37  127.2  31.0   3   3      0.86   1.9e+02   -1.6   6.7   558   650   770   867   764   874 0.55 | transcript=PVP01_1330000.1 | gene=PVP01_1330000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP4, putative | transcript_product=ATP-dependent RNA helicase DBP4, putative | location=PvP01_13_v2:1271625-1274418(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015400.1-p1   -           1015 3824at5820           -            858   9.9e-36  121.7   0.0   1   3       2.9   6.4e+02   -3.4   1.2   603   638   357   391   338   411 0.62 | transcript=PVP01_1015400.1 | gene=PVP01_1015400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=PvP01_10_v2:696329-699376(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015400.1-p1   -           1015 3824at5820           -            858   9.9e-36  121.7   0.0   2   3   2.5e-24   5.3e-22   76.3   0.0    65   232   593   764   544   773 0.83 | transcript=PVP01_1015400.1 | gene=PVP01_1015400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=PvP01_10_v2:696329-699376(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015400.1-p1   -           1015 3824at5820           -            858   9.9e-36  121.7   0.0   3   3   3.7e-17     8e-15   52.5   0.0   241   422   798   977   784   984 0.84 | transcript=PVP01_1015400.1 | gene=PVP01_1015400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=PvP01_10_v2:696329-699376(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1222000.1-p1   -            489 3824at5820           -            858   1.4e-34  118.0   0.7   1   1   2.9e-36   6.4e-34  115.7   0.8    63   413    59   426    56   440 0.81 | transcript=PVP01_1222000.1 | gene=PVP01_1222000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP8, putative | transcript_product=ATP-dependent RNA helicase DBP8, putative | location=PvP01_12_v2:871025-872494(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616600.1-p1   -           1015 3824at5820           -            858   2.5e-34  117.1   2.5   1   1   1.8e-36   3.9e-34  116.4   2.5    74   403   637   977   620   987 0.85 | transcript=PVP01_0616600.1 | gene=PVP01_0616600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase DDX3X, putative | transcript_product=ATP-dependent DNA helicase DDX3X, putative | location=PvP01_06_v2:688120-692213(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261800.1-p1   -            791 3824at5820           -            858     9e-34  115.2  15.5   1   2   4.9e-31   1.1e-28   98.5   9.3    80   260   257   461   203   476 0.77 | transcript=PVP01_1261800.1 | gene=PVP01_1261800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MAK5, putative | transcript_product=ATP-dependent RNA helicase MAK5, putative | location=PvP01_12_v2:2548870-2551662(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261800.1-p1   -            791 3824at5820           -            858     9e-34  115.2  15.5   2   2   3.7e-10     8e-08   29.4   0.4   344   413   610   682   594   705 0.87 | transcript=PVP01_1261800.1 | gene=PVP01_1261800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MAK5, putative | transcript_product=ATP-dependent RNA helicase MAK5, putative | location=PvP01_12_v2:2548870-2551662(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458900.1-p1   -            847 3824at5820           -            858   1.2e-25   88.3   7.3   1   3   3.3e-24   7.2e-22   75.9   3.6    64   265    93   304    79   312 0.79 | transcript=PVP01_1458900.1 | gene=PVP01_1458900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=PvP01_14_v2:2575210-2577753(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458900.1-p1   -            847 3824at5820           -            858   1.2e-25   88.3   7.3   2   3       5.9   1.3e+03   -4.4   2.5   301   354   391   444   373   459 0.54 | transcript=PVP01_1458900.1 | gene=PVP01_1458900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=PvP01_14_v2:2575210-2577753(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458900.1-p1   -            847 3824at5820           -            858   1.2e-25   88.3   7.3   3   3   3.3e-08   7.2e-06   22.9   0.1   368   407   513   555   509   562 0.85 | transcript=PVP01_1458900.1 | gene=PVP01_1458900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=PvP01_14_v2:2575210-2577753(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818600.1-p1   -            762 3824at5820           -            858   1.5e-25   88.1  29.0   1   2   3.2e-06   0.00069   16.4   0.1    45   128   232   319   192   323 0.77 | transcript=PVP01_0818600.1 | gene=PVP01_0818600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=PvP01_08_v2:816280-818806(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818600.1-p1   -            762 3824at5820           -            858   1.5e-25   88.1  29.0   2   2   1.1e-25   2.4e-23   80.7  15.7   136   402   381   645   377   666 0.87 | transcript=PVP01_0818600.1 | gene=PVP01_0818600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=PvP01_08_v2:816280-818806(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0317000.1-p1   -            838 3824at5820           -            858   5.7e-22   76.2   1.7   1   2   1.1e-21   2.4e-19   67.5   1.3    69   235   139   312   131   317 0.86 | transcript=PVP01_0317000.1 | gene=PVP01_0317000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX31, putative | transcript_product=ATP-dependent RNA helicase DDX31, putative | location=PvP01_03_v2:738869-741385(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0317000.1-p1   -            838 3824at5820           -            858   5.7e-22   76.2   1.7   2   2   4.3e-06   0.00093   15.9   0.0   335   400   606   673   598   682 0.86 | transcript=PVP01_0317000.1 | gene=PVP01_0317000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX31, putative | transcript_product=ATP-dependent RNA helicase DDX31, putative | location=PvP01_03_v2:738869-741385(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1012200.1-p1   -            816 3824at5820           -            858   1.6e-18   64.8  23.7   1   4   3.3e-08   7.2e-06   22.9   0.0    62   128     2    67     1    74 0.91 | transcript=PVP01_1012200.1 | gene=PVP01_1012200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX1, putative | transcript_product=ATP-dependent RNA helicase DDX1, putative | location=PvP01_10_v2:558667-561117(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1012200.1-p1   -            816 3824at5820           -            858   1.6e-18   64.8  23.7   2   4   1.4e-08     3e-06   24.2   6.0   136   268   332   470   325   489 0.77 | transcript=PVP01_1012200.1 | gene=PVP01_1012200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX1, putative | transcript_product=ATP-dependent RNA helicase DDX1, putative | location=PvP01_10_v2:558667-561117(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1012200.1-p1   -            816 3824at5820           -            858   1.6e-18   64.8  23.7   3   4       9.7   2.1e+03   -5.1   6.2   441   522   488   572   469   587 0.69 | transcript=PVP01_1012200.1 | gene=PVP01_1012200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX1, putative | transcript_product=ATP-dependent RNA helicase DDX1, putative | location=PvP01_10_v2:558667-561117(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1012200.1-p1   -            816 3824at5820           -            858   1.6e-18   64.8  23.7   4   4   6.1e-10   1.3e-07   28.7   0.1   330   403   605   677   596   686 0.87 | transcript=PVP01_1012200.1 | gene=PVP01_1012200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX1, putative | transcript_product=ATP-dependent RNA helicase DDX1, putative | location=PvP01_10_v2:558667-561117(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1247900.1-p1   -            787 3824at5820           -            858     1e-15   55.5  16.1   1   1   4.6e-18     1e-15   55.5  16.1    64   404   374   722   337   782 0.71 | transcript=PVP01_1247900.1 | gene=PVP01_1247900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=PvP01_12_v2:1947873-1950236(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329800.1-p1   -            995 3824at5820           -            858   2.7e-11   40.8  42.0   1   4   0.00055      0.12    9.0   0.0    84   125    69   110    48   119 0.85 | transcript=PVP01_1329800.1 | gene=PVP01_1329800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=PvP01_13_v2:1260717-1263704(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329800.1-p1   -            995 3824at5820           -            858   2.7e-11   40.8  42.0   2   4   8.8e-09   1.9e-06   24.8   5.8   130   249   237   385   231   397 0.71 | transcript=PVP01_1329800.1 | gene=PVP01_1329800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=PvP01_13_v2:1260717-1263704(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329800.1-p1   -            995 3824at5820           -            858   2.7e-11   40.8  42.0   3   4   3.9e-08   8.6e-06   22.7   2.8   323   415   551   643   528   664 0.75 | transcript=PVP01_1329800.1 | gene=PVP01_1329800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=PvP01_13_v2:1260717-1263704(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329800.1-p1   -            995 3824at5820           -            858   2.7e-11   40.8  42.0   4   4       7.9   1.7e+03   -4.8  15.2   587   667   852   932   771   988 0.60 | transcript=PVP01_1329800.1 | gene=PVP01_1329800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=PvP01_13_v2:1260717-1263704(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
