#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0911800.1-p1   -            505 5961at5820           -            363  2.7e-195  647.0  17.3   1   3   1.3e-38   1.6e-35  121.4   0.1     1    75     1    76     1    87 0.95 | transcript=PVP01_0911800.1 | gene=PVP01_0911800 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=PvP01_09_v2:567415-568932(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605600.1-p1   -            536 5961at5820           -            363   3.1e-05   21.8   0.2   2   2   3.6e-06    0.0047   14.6   0.0   266   308   428   470   421   473 0.91 | transcript=PVP01_0605600.1 | gene=PVP01_0605600 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (cytosine-C(5))-methyltransferase, putative | transcript_product=rRNA (cytosine-C(5))-methyltransferase, putative | location=PvP01_06_v2:226050-227855(-) | protein_length=536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5961at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5961at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5961at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:18 2026
# [ok]
