#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0208000.1-p1   -            194 11317at5820          -            146   1.1e-90  299.5   5.2   1   2   9.6e-82   3.7e-79  262.2   0.7     1   113    14   126    14   139 0.98 | transcript=PVP01_0208000.1 | gene=PVP01_0208000 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=PvP01_02_v2:333879-335555(-) | protein_length=194 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020100.1-p1   -            207 11317at5820          -            146   6.1e-35  118.7   2.7   1   2   1.2e-35   4.4e-33  112.7   0.5     1   125    19   143    19   150 0.97 | transcript=PVP01_1020100.1 | gene=PVP01_1020100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=PvP01_10_v2:874174-874797(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020100.1-p1   -            207 11317at5820          -            146   6.1e-35  118.7   2.7   2   2    0.0046       1.8    6.9   0.1   113   136   150   173   143   181 0.83 | transcript=PVP01_1020100.1 | gene=PVP01_1020100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=PvP01_10_v2:874174-874797(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113100.1-p1   -            201 11317at5820          -            146   5.3e-31  106.0   2.5   1   1     3e-33   1.1e-30  104.9   2.5     1   124    17   140    17   174 0.87 | transcript=PVP01_0113100.1 | gene=PVP01_0113100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=PvP01_01_v2:591114-592334(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214100.1-p1   -            229 11317at5820          -            146   9.7e-29   98.6   0.2   1   1   4.4e-31   1.7e-28   97.8   0.2     1   123    16   139    16   169 0.89 | transcript=PVP01_1214100.1 | gene=PVP01_1214100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=PvP01_12_v2:601290-602627(+) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0701600.1-p1   -            206 11317at5820          -            146   1.3e-23   82.0   0.8   1   1   9.7e-24   3.7e-21   74.0   0.8     1    95    15   109    15   182 0.82 | transcript=PVP01_0701600.1 | gene=PVP01_0701600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=PvP01_07_v2:90611-93019(-) | protein_length=206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0918300.1-p1   -            214 11317at5820          -            146   4.6e-13   47.8   0.0   1   2     3e-15   1.1e-12   46.5   0.0     1   113    16   127    16   138 0.94 | transcript=PVP01_0918300.1 | gene=PVP01_0918300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=PvP01_09_v2:809758-810578(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0918300.1-p1   -            214 11317at5820          -            146   4.6e-13   47.8   0.0   2   2       2.3   8.7e+02   -1.8   0.0   113   136   144   167   128   171 0.80 | transcript=PVP01_0918300.1 | gene=PVP01_0918300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=PvP01_09_v2:809758-810578(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606100.1-p1   -            181 11317at5820          -            146   5.7e-07   28.0   0.0   1   1   1.9e-09   7.3e-07   27.7   0.0    41   119    59   138    27   152 0.86 | transcript=PVP01_0606100.1 | gene=PVP01_0606100 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=PvP01_06_v2:245359-246687(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0619800.1-p1   -            178 11317at5820          -            146   0.00031   19.1   0.0   1   1   1.1e-06   0.00041   18.7   0.0    41   116    59   135    27   150 0.87 | transcript=PVP01_0619800.1 | gene=PVP01_0619800 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_06_v2:806517-807053(+) | protein_length=178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526200.1-p1   -            191 11317at5820          -            146    0.0032   15.9   0.0   1   1   1.2e-05    0.0046   15.3   0.0    42   110    63   132    57   149 0.84 | transcript=PVP01_0526200.1 | gene=PVP01_0526200 | organism=Plasmodium_vivax_P01 | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=PvP01_05_v2:1058972-1059963(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0007440.1-p1   -            313 11317at5820          -            146      0.02   13.3   0.0   1   1   0.00014     0.054   11.9   0.0   106   144    36    78    15    80 0.81 | transcript=PVP01_0007440.1 | gene=PVP01_0007440 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=Transfer.PvP01_00_27.final:37027-38233(-) | protein_length=313 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_1132400.1-p1   -            452 11317at5820          -            146     0.026   12.9   0.1   1   1   0.00018     0.068   11.6   0.0    38    93   151   206   121   237 0.85 | transcript=PVP01_1132400.1 | gene=PVP01_1132400 | organism=Plasmodium_vivax_P01 | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=PvP01_11_v2:1389488-1390846(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11317at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11317at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11317at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:02 2026
# [ok]
