#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0528000.1-p1   -           1724 1976at5820           -           1181         0 1635.0  34.5   1   2    3e-123  1.1e-120  403.0   4.7    11   336    54   535    45   549 0.85 | transcript=PVP01_0528000.1 | gene=PVP01_0528000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_05_v2:1159272-1164446(+) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302300.1-p1   -            585 1976at5820           -           1181    0.0002   17.9   2.8   5   6      0.26        95   -0.9   0.3    18    81   422   488   408   498 0.62 | transcript=PVP01_0302300.1 | gene=PVP01_0302300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_03_v2:110557-112314(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302300.1-p1   -            585 1976at5820           -           1181    0.0002   17.9   2.8   6   6    0.0021      0.78    6.1   1.6   535   597   500   566   491   580 0.78 | transcript=PVP01_0302300.1 | gene=PVP01_0302300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_03_v2:110557-112314(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 1976at5820           -           1181     0.015   11.8   0.0   1   5   4.1e-05     0.015   11.8   0.0   363   397    41    75    37    82 0.88 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 1976at5820           -           1181     0.015   11.8   0.0   2   5    0.0085       3.1    4.1   4.8   357   591    92   345    86   357 0.44 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 1976at5820           -           1181     0.015   11.8   0.0   3   5    0.0091       3.3    4.0   1.0   354   386   340   373   335   376 0.86 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 1976at5820           -           1181     0.015   11.8   0.0   4   5       1.3   4.6e+02   -3.1  10.3   866  1084   377   621   375   646 0.51 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 1976at5820           -           1181     0.015   11.8   0.0   5   5      0.53   1.9e+02   -1.9   7.5   829   968   516   650   508   683 0.56 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901200.1-p1   -            229 1976at5820           -           1181      0.02   11.3   8.1   1   1   5.9e-05     0.021   11.2   8.1   129   233    98   202    38   223 0.44 | transcript=PVP01_0901200.1 | gene=PVP01_0901200 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:70737-71545(+) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270700.1-p1   -            393 1976at5820           -           1181      0.13    8.6  12.1   1   1    0.0005      0.18    8.1  12.1   966  1064   237   353   189   380 0.38 | transcript=PVP01_1270700.1 | gene=PVP01_1270700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2986799-2988087(+) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1427000.1-p1   -            315 1976at5820           -           1181      0.19    8.1  22.8   1   1   0.00058      0.21    7.9  22.8   951  1090   114   244    42   308 0.35 | transcript=PVP01_1427000.1 | gene=PVP01_1427000 | organism=Plasmodium_vivax_P01 | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=PvP01_14_v2:1151492-1152934(-) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 1976at5820           -           1181      0.26    7.7  24.6   1   1   0.00081      0.29    7.5  24.6   954  1095    65   202    17   225 0.42 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331200.1-p1   -            228 1976at5820           -           1181      0.34    7.2  22.9   1   1    0.0011      0.41    7.0  22.9   971  1103    43   180     4   192 0.49 | transcript=PVP01_1331200.1 | gene=PVP01_1331200 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1308345-1309900(-) | protein_length=228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529000.1-p1   -            278 1976at5820           -           1181      0.57    6.5  33.6   1   1    0.0017      0.63    6.4  33.6   910  1056   113   270    63   278 0.34 | transcript=PVP01_0529000.1 | gene=PVP01_0529000 | organism=Plasmodium_vivax_P01 | gene_product=ran-specific GTPase-activating protein 1, putative | transcript_product=ran-specific GTPase-activating protein 1, putative | location=PvP01_05_v2:1197705-1198913(+) | protein_length=278 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0927100.1-p1   -            310 1976at5820           -           1181       1.9    4.8  16.3   1   1    0.0061       2.2    4.6  16.3   923  1118    80   271    18   294 0.42 | transcript=PVP01_0927100.1 | gene=PVP01_0927100 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 21, putative | transcript_product=mediator of RNA polymerase II transcription subunit 21, putative | location=PvP01_09_v2:1190888-1192226(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0010220.1-p1   -            280 1976at5820           -           1181       2.1    4.7  30.5   1   1    0.0073       2.7    4.3  30.5   899  1078    36   224     5   260 0.49 | transcript=PVP01_0010220.1 | gene=PVP01_0010220 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 3, putative | transcript_product=merozoite surface protein 3, putative | location=Transfer.PvP01_00_89.final:4506-5697(+) | protein_length=280 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0617300.1-p1   -            247 1976at5820           -           1181       2.2    4.6  26.5   1   1     0.007       2.5    4.4  26.5   922  1082    58   224     3   243 0.44 | transcript=PVP01_0617300.1 | gene=PVP01_0617300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:716723-718100(-) | protein_length=247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806900.1-p1   -            529 1976at5820           -           1181       3.3    4.0  16.3   1   1     0.011       4.1    3.7  16.3   951  1073   398   525   326   529 0.46 | transcript=PVP01_0806900.1 | gene=PVP01_0806900 | organism=Plasmodium_vivax_P01 | gene_product=rho GTPase-activating protein, putative | transcript_product=rho GTPase-activating protein, putative | location=PvP01_08_v2:295899-298199(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612100.1-p1   -           1745 1976at5820           -           1181       7.3    2.8  12.5   1   1     0.035        13    2.1  12.5   914  1047  1125  1270  1072  1302 0.45 | transcript=PVP01_0612100.1 | gene=PVP01_0612100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:529128-534365(-) | protein_length=1745 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1976at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1976at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1976at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:34 2026
# [ok]
