#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1427600.1-p1   -            164 12598at5820          -            148  5.2e-105  346.1   0.2   1   1  1.3e-107  5.9e-105  345.9   0.2     1   148     1   148     1   148 1.00 | transcript=PVP01_1427600.1 | gene=PVP01_1427600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_14_v2:1176660-1177459(+) | protein_length=164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1209300.1-p1   -            262 12598at5820          -            148     6e-13   47.4   0.3   1   1   2.1e-15   9.6e-13   46.7   0.3     8   117   122   232   116   242 0.88 | transcript=PVP01_1209300.1 | gene=PVP01_1209300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_12_v2:382832-383620(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0834500.1-p1   -            139 12598at5820          -            148   3.4e-11   41.7   0.0   1   1   7.8e-14   3.6e-11   41.6   0.0    30   125    35   135     8   139 0.82 | transcript=PVP01_0834500.1 | gene=PVP01_0834500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme MMS2, putative | transcript_product=ubiquitin-conjugating enzyme MMS2, putative | location=PvP01_08_v2:1453070-1453923(+) | protein_length=139 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1460800.1-p1   -            629 12598at5820          -            148   1.4e-09   36.5   0.1   1   1   4.5e-12   2.1e-09   35.9   0.1     3   147   167   315   165   316 0.85 | transcript=PVP01_1460800.1 | gene=PVP01_1460800 | organism=Plasmodium_vivax_P01 | gene_product=fused toes protein homolog FTS, putative | transcript_product=fused toes protein homolog FTS, putative | location=PvP01_14_v2:2626103-2627992(+) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12598at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12598at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12598at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:22 2026
# [ok]
