#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1214100.1-p1   -            229 11171at5820          -            191  1.5e-125  414.8   1.7   1   1  4.9e-128  1.9e-125  414.5   1.7     1   185     1   185     1   208 0.97 | transcript=PVP01_1214100.1 | gene=PVP01_1214100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=PvP01_12_v2:601290-602627(+) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413800.1-p1   -            245 11171at5820          -            191   4.7e-26   90.3   3.5   2   2   2.7e-24     1e-21   76.1   1.8    58   185   101   220    94   226 0.91 | transcript=PVP01_0413800.1 | gene=PVP01_0413800 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=PvP01_04_v2:557635-558372(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0918300.1-p1   -            214 11171at5820          -            191   1.1e-24   85.8   0.0   1   1   3.7e-27   1.4e-24   85.4   0.0     1   169     1   161     1   172 0.90 | transcript=PVP01_0918300.1 | gene=PVP01_0918300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=PvP01_09_v2:809758-810578(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606100.1-p1   -            181 11171at5820          -            191   2.3e-07   29.3   0.0   1   1   7.7e-10     3e-07   29.0   0.0    11   158    19   160    11   180 0.82 | transcript=PVP01_0606100.1 | gene=PVP01_0606100 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=PvP01_06_v2:245359-246687(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206700.1-p1   -            224 11171at5820          -            191   1.2e-06   26.9   0.1   1   1     8e-09   3.1e-06   25.6   0.1    74   179   106   207    97   213 0.79 | transcript=PVP01_1206700.1 | gene=PVP01_1206700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=PvP01_12_v2:270793-272925(-) | protein_length=224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0619800.1-p1   -            178 11171at5820          -            191   0.00028   19.3   0.1   1   1   9.2e-07   0.00035   18.9   0.1    11   129    19   132    12   177 0.78 | transcript=PVP01_0619800.1 | gene=PVP01_0619800 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_06_v2:806517-807053(+) | protein_length=178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265000.1-p1   -            185 11171at5820          -            191   0.00032   19.0   0.2   1   1   1.2e-06   0.00045   18.6   0.2     8   175    15   177     9   185 0.79 | transcript=PVP01_1265000.1 | gene=PVP01_1265000 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_12_v2:2704793-2705612(+) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132400.1-p1   -            452 11171at5820          -            191   0.00057   18.2   0.1   1   2       2.9   1.1e+03   -2.3   0.0    11    26     5    20     3    24 0.85 | transcript=PVP01_1132400.1 | gene=PVP01_1132400 | organism=Plasmodium_vivax_P01 | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=PvP01_11_v2:1389488-1390846(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132400.1-p1   -            452 11171at5820          -            191   0.00057   18.2   0.1   2   2   6.5e-06    0.0025   16.1   0.0    65   109   162   206   145   215 0.87 | transcript=PVP01_1132400.1 | gene=PVP01_1132400 | organism=Plasmodium_vivax_P01 | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=PvP01_11_v2:1389488-1390846(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11171at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11171at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11171at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:34 2026
# [ok]
