#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0704300.1-p1   -           1013 1972at5820           -            810         0 1695.8  70.6   1   2         0         0 1084.1  34.1     1   482     1   496     1   520 0.98 | transcript=PVP01_0704300.1 | gene=PVP01_0704300 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_07_v2:258401-261442(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 1972at5820           -            810   4.6e-18   63.5  11.8   1   3   1.2e-09   3.5e-07   27.5   1.6   181   265   272   354   229   362 0.84 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 1972at5820           -            810   4.6e-18   63.5  11.8   2   3   4.4e-13   1.3e-10   38.8   2.1   187   286   362   459   354   475 0.86 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 1972at5820           -            810   4.6e-18   63.5  11.8   3   3   1.4e-06    0.0004   17.4   0.5   206   264   421   478   414   500 0.82 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 1972at5820           -            810   7.5e-18   62.8  11.7   1   3   9.4e-15   2.8e-12   44.4   1.2   157   263    36   142    19   153 0.86 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 1972at5820           -            810   7.5e-18   62.8  11.7   2   3   1.1e-10   3.2e-08   30.9   3.5   152   287   123   252   120   282 0.79 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 1972at5820           -            810   7.5e-18   62.8  11.7   3   3      0.12        36    1.0   0.2   200   232   248   280   237   321 0.57 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 1972at5820           -            810   3.2e-17   60.7   8.1   1   2   1.1e-11   3.1e-09   34.3   5.0   112   235    50   164    32   193 0.80 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 1972at5820           -            810   3.2e-17   60.7   8.1   2   2   9.3e-10   2.8e-07   27.8   0.2   135   257   197   318   171   321 0.83 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 1972at5820           -            810   5.4e-14   50.0  16.7   1   2   3.9e-08   1.2e-05   22.5   9.2    91   292   896  1091   891  1098 0.84 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 1972at5820           -            810   5.4e-14   50.0  16.7   2   2   5.9e-11   1.8e-08   31.8   1.1   165   263  1099  1196  1088  1202 0.84 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 1972at5820           -            810   2.6e-13   47.8   6.6   1   2     2e-07   5.8e-05   20.2   0.3   183   262   248   328   226   338 0.84 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 1972at5820           -            810   2.6e-13   47.8   6.6   2   2   1.6e-09   4.8e-07   27.0   1.6   113   261   357   497   335   498 0.71 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438500.1-p1   -            612 1972at5820           -            810   2.5e-12   44.5  16.8   1   2   2.4e-10   7.1e-08   29.8   1.3   182   283   315   415   305   439 0.84 | transcript=PVP01_1438500.1 | gene=PVP01_1438500 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 17, putative | transcript_product=pre-mRNA-processing factor 17, putative | location=PvP01_14_v2:1629592-1631430(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438500.1-p1   -            612 1972at5820           -            810   2.5e-12   44.5  16.8   2   2   7.1e-07   0.00021   18.3   8.9    83   261   435   611   422   612 0.77 | transcript=PVP01_1438500.1 | gene=PVP01_1438500 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 17, putative | transcript_product=pre-mRNA-processing factor 17, putative | location=PvP01_14_v2:1629592-1631430(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210900.1-p1   -            644 1972at5820           -            810   5.8e-12   43.3  16.0   1   3   1.2e-05    0.0035   14.3   0.2   145   208   246   306   215   323 0.81 | transcript=PVP01_1210900.1 | gene=PVP01_1210900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=PvP01_12_v2:454911-456845(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210900.1-p1   -            644 1972at5820           -            810   5.8e-12   43.3  16.0   2   3   2.2e-06   0.00066   16.7   0.2    95   173   427   503   422   514 0.81 | transcript=PVP01_1210900.1 | gene=PVP01_1210900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=PvP01_12_v2:454911-456845(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210900.1-p1   -            644 1972at5820           -            810   5.8e-12   43.3  16.0   3   3   8.3e-07   0.00025   18.1   6.3   141   271   515   639   506   643 0.62 | transcript=PVP01_1210900.1 | gene=PVP01_1210900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=PvP01_12_v2:454911-456845(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 1972at5820           -            810   9.2e-11   39.3   4.8   1   3       2.2   6.5e+02   -3.1   0.6   262   291   288   317   193   318 0.64 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 1972at5820           -            810   9.2e-11   39.3   4.8   2   3   3.1e-13   9.2e-11   39.3   4.8    67   262   375   561   368   570 0.89 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 1972at5820           -            810   9.2e-11   39.3   4.8   3   3    0.0033      0.97    6.2   0.5   200   268   541   609   526   619 0.77 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 1972at5820           -            810   1.6e-07   28.6  29.2   1   3   1.2e-06   0.00035   17.6   7.1   123   255    91   229    88   239 0.73 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 1972at5820           -            810   1.6e-07   28.6  29.2   2   3      0.14        40    0.8   1.2   218   294   601   676   594   719 0.55 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 1972at5820           -            810   1.6e-07   28.6  29.2   3   3   1.5e-07   4.4e-05   20.6   2.9   180   289   852   959   813   970 0.89 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 1972at5820           -            810   1.7e-07   28.5   0.1   1   1   1.3e-09   3.9e-07   27.4   0.1   183   274  1723  1812  1679  1869 0.89 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1468300.1-p1   -            565 1972at5820           -            810   3.2e-07   27.6   0.1   1   1   1.6e-09   4.7e-07   27.1   0.1   136   230    68   165    53   178 0.78 | transcript=PVP01_1468300.1 | gene=PVP01_1468300 | organism=Plasmodium_vivax_P01 | gene_product=coronin, putative | transcript_product=coronin, putative | location=PvP01_14_v2:2907698-2909797(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605500.1-p1   -            735 1972at5820           -            810   1.9e-06   25.1   1.2   1   2      0.21        61    0.2   0.1   147   220   447   517   426   571 0.73 | transcript=PVP01_0605500.1 | gene=PVP01_0605500 | organism=Plasmodium_vivax_P01 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=PvP01_06_v2:223767-225974(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605500.1-p1   -            735 1972at5820           -            810   1.9e-06   25.1   1.2   2   2   6.3e-09   1.9e-06   25.1   1.2   113   219   603   704   598   711 0.87 | transcript=PVP01_0605500.1 | gene=PVP01_0605500 | organism=Plasmodium_vivax_P01 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=PvP01_06_v2:223767-225974(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618600.1-p1   -            700 1972at5820           -            810   4.4e-06   23.9   3.2   1   2   3.1e-08   9.2e-06   22.8   0.7    59   177    90   222    78   246 0.62 | transcript=PVP01_0618600.1 | gene=PVP01_0618600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=PvP01_06_v2:764153-766255(+) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618600.1-p1   -            700 1972at5820           -            810   4.4e-06   23.9   3.2   2   2      0.25        75   -0.0   0.0   137   178   294   332   274   337 0.71 | transcript=PVP01_0618600.1 | gene=PVP01_0618600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=PvP01_06_v2:764153-766255(+) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 1972at5820           -            810     1e-05   22.7   5.5   1   2   1.7e-06   0.00049   17.1   0.9   221   282   275   337   249   340 0.83 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 1972at5820           -            810     1e-05   22.7   5.5   2   2   0.00051      0.15    8.9   1.0   188   301   329   450   324   458 0.60 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 1972at5820           -            810   1.5e-05   22.1   0.0   1   1   8.7e-08   2.6e-05   21.3   0.0    96   176   324   405   285   419 0.69 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 1972at5820           -            810   4.7e-05   20.5   0.2   1   2   3.7e-07   0.00011   19.3   0.2    81   263   381   557   370   575 0.78 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 1972at5820           -            810   4.7e-05   20.5   0.2   2   2      0.91   2.7e+02   -1.9   0.0   185   220   565   598   553   601 0.77 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448900.1-p1   -            763 1972at5820           -            810   0.00015   18.8   9.6   1   2   7.2e-05     0.021   11.7   3.6    97   221    10   135     2   143 0.73 | transcript=PVP01_1448900.1 | gene=PVP01_1448900 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=PvP01_14_v2:2118685-2120976(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448900.1-p1   -            763 1972at5820           -            810   0.00015   18.8   9.6   2   2    0.0002     0.059   10.2   0.4   151   220   190   262   187   306 0.82 | transcript=PVP01_1448900.1 | gene=PVP01_1448900 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=PvP01_14_v2:2118685-2120976(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 1972at5820           -            810   0.00015   18.8  12.9   1   3   0.00046      0.14    9.0   2.7   183   263   165   246   132   250 0.75 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 1972at5820           -            810   0.00015   18.8  12.9   2   3   2.3e-06   0.00069   16.6   0.5   207   269   232   294   226   303 0.88 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 1972at5820           -            810   0.00015   18.8  12.9   3   3   2.4e-05    0.0071   13.3   2.7    92   221   252   387   250   400 0.67 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439900.1-p1   -            430 1972at5820           -            810   0.00026   18.0   3.4   1   2     4e-06    0.0012   15.8   2.3    83   174   272   367   261   384 0.72 | transcript=PVP01_1439900.1 | gene=PVP01_1439900 | organism=Plasmodium_vivax_P01 | gene_product=protein TSSC1, putative | transcript_product=protein TSSC1, putative | location=PvP01_14_v2:1702773-1704065(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439900.1-p1   -            430 1972at5820           -            810   0.00026   18.0   3.4   2   2     0.096        29    1.3   0.0   123   168   371   416   364   425 0.86 | transcript=PVP01_1439900.1 | gene=PVP01_1439900 | organism=Plasmodium_vivax_P01 | gene_product=protein TSSC1, putative | transcript_product=protein TSSC1, putative | location=PvP01_14_v2:1702773-1704065(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1972at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1972at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1972at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:30 2026
# [ok]
