#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0116900.1-p1   -            365 7608at5820           -            333  9.2e-184  608.9  28.3   1   1  2.3e-186  1.1e-183  608.7  28.3     1   333    13   364    13   364 0.97 | transcript=PVP01_0116900.1 | gene=PVP01_0116900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=PvP01_01_v2:767750-769801(-) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 7608at5820           -            333   1.2e-06   26.7  10.6   1   4      0.44   2.1e+02   -0.3   0.3    49   112   132   169    91   252 0.58 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 7608at5820           -            333   1.2e-06   26.7  10.6   2   4     7e-07   0.00033   18.7   1.7     2   160   252   417   248   420 0.70 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 7608at5820           -            333   1.2e-06   26.7  10.6   3   4   7.9e-05     0.037   12.0   0.1     1    39   381   419   381   448 0.89 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 7608at5820           -            333   1.2e-06   26.7  10.6   4   4   0.00069      0.32    8.9   0.0     1    32   466   497   466   498 0.95 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 7608at5820           -            333     2e-05   22.7   0.3   1   1   1.1e-07   5.3e-05   21.3   0.3     1    66  1726  1789  1726  1846 0.76 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 7608at5820           -            333   0.00032   18.7   1.0   1   4       2.2     1e+03   -2.6   1.2   216   216   111   111    11   202 0.60 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 7608at5820           -            333   0.00032   18.7   1.0   2   4   0.00031      0.14   10.0   0.2     3    45   405   447   401   470 0.89 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 7608at5820           -            333   0.00032   18.7   1.0   3   4      0.16        74    1.1   0.0    13    36   457   480   449   498 0.64 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 7608at5820           -            333   0.00032   18.7   1.0   4   4   6.9e-07   0.00032   18.7   1.0     3   121   489   611   487   631 0.80 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 7608at5820           -            333   0.00063   17.8   9.5   1   1   4.6e-06    0.0021   16.0   9.5    12   206   137   338   131   349 0.79 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 7608at5820           -            333   0.00086   17.3   7.2   1   6       1.9   8.8e+02   -2.4   0.1   104   123    35    54    18   103 0.57 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 7608at5820           -            333   0.00086   17.3   7.2   2   6   1.8e-06   0.00086   17.3   7.2     2   113   106   234   105   235 0.73 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 7608at5820           -            333   0.00086   17.3   7.2   3   6       4.8   2.3e+03   -3.8   2.2   101   208   366   388   333   415 0.54 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 7608at5820           -            333   0.00086   17.3   7.2   4   6      0.25   1.2e+02    0.5   0.2     7    68   660   720   616   728 0.68 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 7608at5820           -            333   0.00086   17.3   7.2   5   6     0.016       7.5    4.4   0.2     3    35   860   892   858   906 0.84 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 7608at5820           -            333   0.00086   17.3   7.2   6   6    0.0011      0.53    8.2   0.5     7    43   906   942   899   988 0.78 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206100.1-p1   -            720 7608at5820           -            333    0.0019   16.2  20.2   1   2     0.081        38    2.1  19.4    43   174   284   425   252   525 0.62 | transcript=PVP01_1206100.1 | gene=PVP01_1206100 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 16, putative | transcript_product=WD repeat-containing protein 16, putative | location=PvP01_12_v2:237679-241110(+) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206100.1-p1   -            720 7608at5820           -            333    0.0019   16.2  20.2   2   2   4.2e-06    0.0019   16.2  20.2    11   239   470   702   461   712 0.76 | transcript=PVP01_1206100.1 | gene=PVP01_1206100 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 16, putative | transcript_product=WD repeat-containing protein 16, putative | location=PvP01_12_v2:237679-241110(+) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141000.1-p1   -            361 7608at5820           -            333    0.0081   14.1   0.4   1   1   3.1e-05     0.015   13.3   0.4   136   234   242   354   201   360 0.66 | transcript=PVP01_1141000.1 | gene=PVP01_1141000 | organism=Plasmodium_vivax_P01 | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=PvP01_11_v2:1737892-1740448(+) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 7608at5820           -            333     0.019   12.9   6.7   1   4       1.5     7e+02   -2.1   0.0   118   157    51    90    36    95 0.54 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 7608at5820           -            333     0.019   12.9   6.7   2   4       1.3   6.2e+02   -1.9   0.0    10    34   115   139   106   143 0.80 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 7608at5820           -            333     0.019   12.9   6.7   3   4   0.00011     0.052   11.5   1.1   170   245   217   290   207   319 0.79 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 7608at5820           -            333     0.019   12.9   6.7   4   4     0.089        41    1.9   0.0     3    37   364   398   360   404 0.84 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 7608at5820           -            333     0.025   12.5  16.2   1   3     0.059        28    2.5  13.4     2   240   901  1150   900  1158 0.66 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 7608at5820           -            333     0.025   12.5  16.2   2   3       1.8   8.5e+02   -2.4   0.0    15    36  1132  1153  1123  1177 0.82 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 7608at5820           -            333     0.025   12.5  16.2   3   3     0.082        38    2.1   0.0    14    36  1176  1198  1160  1212 0.82 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7608at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7608at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7608at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:16 2026
# [ok]
