#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0422100.1-p1   -           1874 1411at5820           -           1170         0 1325.7 357.9   1  13   2.5e-16   8.2e-13   45.4  21.0     1    60     1    67     1    74 0.87 | transcript=PVP01_0422100.1 | gene=PVP01_0422100 | organism=Plasmodium_vivax_P01 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=PvP01_04_v2:892242-897866(+) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0835000.1-p1   -           1003 1411at5820           -           1170   0.00013   18.2  13.0   2   3   0.00015       0.5    6.4  25.5   396   586   572   764   564   778 0.76 | transcript=PVP01_0835000.1 | gene=PVP01_0835000 | organism=Plasmodium_vivax_P01 | gene_product=GRIP domain-containing protein, putative | transcript_product=GRIP domain-containing protein, putative | location=PvP01_08_v2:1477481-1480492(-) | protein_length=1003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0835000.1-p1   -           1003 1411at5820           -           1170   0.00013   18.2  13.0   3   3     0.091     3e+02   -2.8   3.0   459   491   912   944   890   997 0.52 | transcript=PVP01_0835000.1 | gene=PVP01_0835000 | organism=Plasmodium_vivax_P01 | gene_product=GRIP domain-containing protein, putative | transcript_product=GRIP domain-containing protein, putative | location=PvP01_08_v2:1477481-1480492(-) | protein_length=1003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1411at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1411at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1411at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:32 2026
# [ok]
