#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1112900.1-p1   -           3012 225at5820            -           2082         0 2818.1 287.6   1  14   6.3e-43   4.1e-39  132.4   1.0     1    85     1    87     1    95 0.94 | transcript=PVP01_1112900.1 | gene=PVP01_1112900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:552909-561947(+) | protein_length=3012 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112900.1-p1   -           3012 225at5820            -           2082         0 2818.1 287.6  12  14   1.9e-05      0.12    8.1   0.0  1562  1586  2319  2343  2314  2349 0.92 | transcript=PVP01_1112900.1 | gene=PVP01_1112900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:552909-561947(+) | protein_length=3012 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112900.1-p1   -           3012 225at5820            -           2082         0 2818.1 287.6  13  14  7.5e-145  4.9e-141  470.4  23.4  1587  1903  2416  2767  2405  2770 0.91 | transcript=PVP01_1112900.1 | gene=PVP01_1112900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:552909-561947(+) | protein_length=3012 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112900.1-p1   -           3012 225at5820            -           2082         0 2818.1 287.6  14  14  2.6e-108  1.7e-104  349.3  16.6  1902  2082  2823  3009  2817  3009 0.97 | transcript=PVP01_1112900.1 | gene=PVP01_1112900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:552909-561947(+) | protein_length=3012 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/225at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/225at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/225at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:58 2026
# [ok]
