#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0604200.1-p1   -           2323 1016at5820           -           1026         0 1439.4  94.8   1  13  1.8e-133  1.9e-130  434.8   7.4     1   231     1   243     1   247 0.95 | transcript=PVP01_0604200.1 | gene=PVP01_0604200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=PvP01_06_v2:160593-167792(+) | protein_length=2323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604200.1-p1   -           2323 1016at5820           -           1026         0 1439.4  94.8  12  13      0.11   1.2e+02   -1.4   0.1   881   914  2087  2120  2067  2138 0.75 | transcript=PVP01_0604200.1 | gene=PVP01_0604200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=PvP01_06_v2:160593-167792(+) | protein_length=2323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604200.1-p1   -           2323 1016at5820           -           1026         0 1439.4  94.8  13  13   1.9e-73   2.1e-70  236.1   2.8   915  1025  2209  2323  2168  2323 0.91 | transcript=PVP01_0604200.1 | gene=PVP01_0604200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=PvP01_06_v2:160593-167792(+) | protein_length=2323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311500.1-p1   -            682 1016at5820           -           1026   2.1e-24   83.8  31.0   1   1   1.8e-26     2e-23   80.6  31.0   218   550   347   671   272   680 0.70 | transcript=PVP01_1311500.1 | gene=PVP01_1311500 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor eIF2A, putative | transcript_product=eukaryotic translation initiation factor eIF2A, putative | location=PvP01_13_v2:531075-533123(+) | protein_length=682 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144400.1-p1   -           2842 1016at5820           -           1026   9.6e-12   41.9   0.0   1   7         6   6.5e+03   -8.6   4.7   553   587   728   762   714   783 0.40 | transcript=PVP01_1144400.1 | gene=PVP01_1144400 | organism=Plasmodium_vivax_P01 | gene_product=GYF domain-containing protein, putative | transcript_product=GYF domain-containing protein, putative | location=PvP01_11_v2:1879322-1888189(-) | protein_length=2842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144400.1-p1   -           2842 1016at5820           -           1026   9.6e-12   41.9   0.0   2   7         6   6.5e+03  -16.2  27.5   483   652   865  1036   845  1052 0.47 | transcript=PVP01_1144400.1 | gene=PVP01_1144400 | organism=Plasmodium_vivax_P01 | gene_product=GYF domain-containing protein, putative | transcript_product=GYF domain-containing protein, putative | location=PvP01_11_v2:1879322-1888189(-) | protein_length=2842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144400.1-p1   -           2842 1016at5820           -           1026   9.6e-12   41.9   0.0   3   7       0.3   3.2e+02   -2.9   3.0   809   924  1040  1156  1032  1175 0.73 | transcript=PVP01_1144400.1 | gene=PVP01_1144400 | organism=Plasmodium_vivax_P01 | gene_product=GYF domain-containing protein, putative | transcript_product=GYF domain-containing protein, putative | location=PvP01_11_v2:1879322-1888189(-) | protein_length=2842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144400.1-p1   -           2842 1016at5820           -           1026   9.6e-12   41.9   0.0   4   7      0.45   4.9e+02   -3.5   1.2   791   812  1418  1439  1407  1513 0.47 | transcript=PVP01_1144400.1 | gene=PVP01_1144400 | organism=Plasmodium_vivax_P01 | gene_product=GYF domain-containing protein, putative | transcript_product=GYF domain-containing protein, putative | location=PvP01_11_v2:1879322-1888189(-) | protein_length=2842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144400.1-p1   -           2842 1016at5820           -           1026   9.6e-12   41.9   0.0   5   7   8.9e-15   9.6e-12   41.9   0.0   922  1010  1816  1900  1730  1905 0.71 | transcript=PVP01_1144400.1 | gene=PVP01_1144400 | organism=Plasmodium_vivax_P01 | gene_product=GYF domain-containing protein, putative | transcript_product=GYF domain-containing protein, putative | location=PvP01_11_v2:1879322-1888189(-) | protein_length=2842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144400.1-p1   -           2842 1016at5820           -           1026   9.6e-12   41.9   0.0   6   7         6   6.5e+03  -14.3  22.7   445   564  2321  2441  2313  2453 0.53 | transcript=PVP01_1144400.1 | gene=PVP01_1144400 | organism=Plasmodium_vivax_P01 | gene_product=GYF domain-containing protein, putative | transcript_product=GYF domain-containing protein, putative | location=PvP01_11_v2:1879322-1888189(-) | protein_length=2842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144400.1-p1   -           2842 1016at5820           -           1026   9.6e-12   41.9   0.0   7   7         6   6.5e+03   -9.4  20.6   498   564  2470  2539  2437  2548 0.62 | transcript=PVP01_1144400.1 | gene=PVP01_1144400 | organism=Plasmodium_vivax_P01 | gene_product=GYF domain-containing protein, putative | transcript_product=GYF domain-containing protein, putative | location=PvP01_11_v2:1879322-1888189(-) | protein_length=2842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507200.1-p1   -           1206 1016at5820           -           1026     0.088    8.9   5.4   1   1   0.00012      0.13    8.4   5.4   519   574  1045  1099   975  1136 0.70 | transcript=PVP01_0507200.1 | gene=PVP01_0507200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:315574-319194(-) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0944300.1-p1   -            324 1016at5820           -           1026      0.59    6.2  12.0   1   1   0.00073      0.79    5.7  12.0   527   589   215   277   150   300 0.63 | transcript=PVP01_0944300.1 | gene=PVP01_0944300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1951679-1952653(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0723900.1-p1   -            516 1016at5820           -           1026       2.9    3.9  19.5   1   1    0.0035       3.8    3.5  19.5   492   671    36   221    11   237 0.48 | transcript=PVP01_0723900.1 | gene=PVP01_0723900 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase-beta, putative | transcript_product=protein phosphatase-beta, putative | location=PvP01_07_v2:1022564-1024282(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1016at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1016at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1016at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:54 2026
# [ok]
