#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1301700.1-p1   -            226 11093at5820          -            195  1.8e-134  443.8   1.2   1   1  3.6e-137  2.4e-134  443.4   1.2     1   195     1   203     1   203 0.97 | transcript=PVP01_1301700.1 | gene=PVP01_1301700 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_13_v2:84447-86136(-) | protein_length=226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117200.1-p1   -            590 11093at5820          -            195   1.6e-08   32.8   0.4   2   2   1.4e-07     9e-05   20.6   0.1    82   175   103   196    93   214 0.87 | transcript=PVP01_0117200.1 | gene=PVP01_0117200 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_01_v2:778390-780162(-) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325800.1-p1   -            456 11093at5820          -            195   2.3e-07   29.0   2.6   1   1   7.8e-10   5.1e-07   27.9   2.6    20   153    22   148     9   167 0.81 | transcript=PVP01_1325800.1 | gene=PVP01_1325800 | organism=Plasmodium_vivax_P01 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=PvP01_13_v2:1121936-1124357(-) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11093at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11093at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11093at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:21 2026
# [ok]
