#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0320700.1-p1   -           1247 3072at5820           -            710         0 1058.6  55.9   1   7    1e-169  1.7e-166  554.2   9.9     1   241    28   268    28   291 0.97 | transcript=PVP01_0320700.1 | gene=PVP01_0320700 | organism=Plasmodium_vivax_P01 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=PvP01_03_v2:874594-878337(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419100.1-p1   -           1466 3072at5820           -            710   2.4e-06   24.8   1.5   3   5       1.2   1.9e+03   -4.6   8.3   413   536   499   623   481   655 0.44 | transcript=PVP01_0419100.1 | gene=PVP01_0419100 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=PvP01_04_v2:790312-794712(+) | protein_length=1466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419100.1-p1   -           1466 3072at5820           -            710   2.4e-06   24.8   1.5   4   5   1.5e-09   2.4e-06   24.8   1.5   126   193  1120  1187  1101  1203 0.80 | transcript=PVP01_0419100.1 | gene=PVP01_0419100 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=PvP01_04_v2:790312-794712(+) | protein_length=1466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419100.1-p1   -           1466 3072at5820           -            710   2.4e-06   24.8   1.5   5   5    0.0013         2    5.2   0.1   278   318  1208  1246  1200  1258 0.82 | transcript=PVP01_0419100.1 | gene=PVP01_0419100 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=PvP01_04_v2:790312-794712(+) | protein_length=1466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 3072at5820           -            710       8.1    3.2  24.5   1   1    0.0062        10    2.9  24.5   468   574    65   164    50   231 0.37 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3072at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3072at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3072at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:39 2026
# [ok]
