#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1221500.1-p1   -           1684 1108at5820           -           1032         0 1497.8  54.4   1   7   5.8e-99   4.8e-96  321.4  12.3    17   225   184   429   177   440 0.83 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455100.1-p1   -            631 1108at5820           -           1032     8e-29   98.8  16.3   2   2   1.2e-09   9.9e-07   25.7   2.5   765   858   337   429   305   504 0.83 | transcript=PVP01_1455100.1 | gene=PVP01_1455100 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=PvP01_14_v2:2392635-2394655(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518300.1-p1   -            406 1108at5820           -           1032   5.8e-16   56.2   0.9   1   2     5e-18   4.1e-15   53.4   0.7   390   529     5   137     2   146 0.80 | transcript=PVP01_0518300.1 | gene=PVP01_0518300 | organism=Plasmodium_vivax_P01 | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=PvP01_05_v2:766293-767513(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518300.1-p1   -            406 1108at5820           -           1032   5.8e-16   56.2   0.9   2   2     0.047        38    0.6   0.0   777   844   215   284   206   317 0.72 | transcript=PVP01_0518300.1 | gene=PVP01_0518300 | organism=Plasmodium_vivax_P01 | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=PvP01_05_v2:766293-767513(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945200.1-p1   -            359 1108at5820           -           1032   2.4e-15   54.2  25.2   1   3   2.8e-17   2.3e-14   51.0   7.7    24   122     7   103     2   124 0.88 | transcript=PVP01_0945200.1 | gene=PVP01_0945200 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-activating enzyme subunit 1, putative | transcript_product=SUMO-activating enzyme subunit 1, putative | location=PvP01_09_v2:1977796-1978875(+) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945200.1-p1   -            359 1108at5820           -           1032   2.4e-15   54.2  25.2   2   3      0.01       8.4    2.7   1.3   122   176   142   198   116   206 0.78 | transcript=PVP01_0945200.1 | gene=PVP01_0945200 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-activating enzyme subunit 1, putative | transcript_product=SUMO-activating enzyme subunit 1, putative | location=PvP01_09_v2:1977796-1978875(+) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945200.1-p1   -            359 1108at5820           -           1032   2.4e-15   54.2  25.2   3   3   2.4e-05     0.019   11.5   1.8   247   355   235   349   230   359 0.82 | transcript=PVP01_0945200.1 | gene=PVP01_0945200 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-activating enzyme subunit 1, putative | transcript_product=SUMO-activating enzyme subunit 1, putative | location=PvP01_09_v2:1977796-1978875(+) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1204400.1-p1   -            585 1108at5820           -           1032   2.1e-11   41.2   3.4   1   1   3.5e-14   2.8e-11   40.7   3.4    25   177     2   167     1   192 0.86 | transcript=PVP01_1204400.1 | gene=PVP01_1204400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_12_v2:180938-182695(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1106600.1-p1   -            534 1108at5820           -           1032   3.8e-09   33.7   5.1   1   2   4.6e-12   3.8e-09   33.7   5.1   365   528    81   236    63   275 0.82 | transcript=PVP01_1106600.1 | gene=PVP01_1106600 | organism=Plasmodium_vivax_P01 | gene_product=adenylyltransferase and sulfurtransferase UBA4, putative | transcript_product=adenylyltransferase and sulfurtransferase UBA4, putative | location=PvP01_11_v2:263777-265381(+) | protein_length=534 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1106600.1-p1   -            534 1108at5820           -           1032   3.8e-09   33.7   5.1   2   2       1.1     9e+02   -4.0   0.4   122   150   408   436   390   455 0.45 | transcript=PVP01_1106600.1 | gene=PVP01_1106600 | organism=Plasmodium_vivax_P01 | gene_product=adenylyltransferase and sulfurtransferase UBA4, putative | transcript_product=adenylyltransferase and sulfurtransferase UBA4, putative | location=PvP01_11_v2:263777-265381(+) | protein_length=534 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926800.1-p1   -           1228 1108at5820           -           1032   0.00028   17.6   0.0   1   1   5.3e-07   0.00043   16.9   0.0   386   447   757   814   733   839 0.86 | transcript=PVP01_0926800.1 | gene=PVP01_0926800 | organism=Plasmodium_vivax_P01 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=PvP01_09_v2:1178557-1182366(-) | protein_length=1228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1108at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1108at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1108at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:20 2026
# [ok]
