#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1005100.1-p1   -            203 11913at5820          -            182  2.5e-115  381.2   6.9   1   1  3.9e-116  2.3e-113  374.7   6.9     1   182     1   201     1   201 0.94 | transcript=PVP01_1005100.1 | gene=PVP01_1005100 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_10_v2:242428-243039(+) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729200.1-p1   -            616 11913at5820          -            182   0.00021   19.7   1.5   1   2       1.7     1e+03   -2.1   0.1     8    50    52    95    48   104 0.73 | transcript=PVP01_0729200.1 | gene=PVP01_0729200 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_07_v2:1232806-1235290(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729200.1-p1   -            616 11913at5820          -            182   0.00021   19.7   1.5   2   2   6.5e-07   0.00038   18.8   0.2    20    72   309   363   302   368 0.88 | transcript=PVP01_0729200.1 | gene=PVP01_0729200 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_07_v2:1232806-1235290(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11913at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11913at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11913at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:03 2026
# [ok]
