#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0612800.1-p1   -            179 12446at5820          -            172  4.3e-112  370.5  10.5   1   1  1.3e-114  4.6e-112  370.4  10.5     3   172     9   179     1   179 0.98 | transcript=PVP01_0612800.1 | gene=PVP01_0612800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=PvP01_06_v2:553783-555183(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1143500.1-p1   -            158 12446at5820          -            172    0.0051   15.4   4.1   1   1   1.9e-05    0.0067   15.0   4.1    80   163    69   152     6   157 0.78 | transcript=PVP01_1143500.1 | gene=PVP01_1143500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=PvP01_11_v2:1852030-1852506(+) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103100.1-p1   -            107 12446at5820          -            172    0.0086   14.7   0.3   1   1     3e-05     0.011   14.3   0.3    25    90    39   101    22   106 0.84 | transcript=PVP01_0103100.1 | gene=PVP01_0103100 | organism=Plasmodium_vivax_P01 | gene_product=centrin, putative | transcript_product=centrin, putative | location=PvP01_01_v2:143304-144204(-) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12446at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12446at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12446at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:53 2026
# [ok]
