#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0315000.1-p1   -            855 3221at5820           -            511  1.9e-286  949.4  34.3   1   5  2.2e-109  1.8e-106  355.6   1.6     1   164     1   169     1   173 0.97 | transcript=PVP01_0315000.1 | gene=PVP01_0315000 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=PvP01_03_v2:671191-673758(+) | protein_length=855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911500.1-p1   -            378 3221at5820           -            511   4.2e-21   73.9   0.0   1   3   8.5e-09   6.9e-06   23.7   0.0     9   145     3   133     1   143 0.83 | transcript=PVP01_0911500.1 | gene=PVP01_0911500 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_09_v2:560130-561977(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911500.1-p1   -            378 3221at5820           -            511   4.2e-21   73.9   0.0   2   3    0.0038       3.1    5.1   0.0   245   319   142   218   137   228 0.83 | transcript=PVP01_0911500.1 | gene=PVP01_0911500 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_09_v2:560130-561977(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911500.1-p1   -            378 3221at5820           -            511   4.2e-21   73.9   0.0   3   3   1.7e-14   1.4e-11   42.6   0.0   380   489   230   341   216   361 0.85 | transcript=PVP01_0911500.1 | gene=PVP01_0911500 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_09_v2:560130-561977(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463200.1-p1   -            376 3221at5820           -            511   8.5e-19   66.3   0.0   1   3   0.00029      0.24    8.8   0.0     9   145     6   142     3   153 0.77 | transcript=PVP01_1463200.1 | gene=PVP01_1463200 | organism=Plasmodium_vivax_P01 | gene_product=actin, putative | transcript_product=actin, putative | location=PvP01_14_v2:2720583-2721713(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463200.1-p1   -            376 3221at5820           -            511   8.5e-19   66.3   0.0   2   3   2.8e-06    0.0023   15.4   0.0   248   324   155   233   145   246 0.78 | transcript=PVP01_1463200.1 | gene=PVP01_1463200 | organism=Plasmodium_vivax_P01 | gene_product=actin, putative | transcript_product=actin, putative | location=PvP01_14_v2:2720583-2721713(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463200.1-p1   -            376 3221at5820           -            511   8.5e-19   66.3   0.0   3   3   1.5e-13   1.2e-10   39.4   0.0   389   510   246   366   233   367 0.91 | transcript=PVP01_1463200.1 | gene=PVP01_1463200 | organism=Plasmodium_vivax_P01 | gene_product=actin, putative | transcript_product=actin, putative | location=PvP01_14_v2:2720583-2721713(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0309200.1-p1   -            414 3221at5820           -            511   3.7e-07   28.0   8.5   1   2   5.1e-06    0.0042   14.6   2.8   225   324   155   251   106   270 0.77 | transcript=PVP01_0309200.1 | gene=PVP01_0309200 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_03_v2:430357-432507(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0309200.1-p1   -            414 3221at5820           -            511   3.7e-07   28.0   8.5   2   2   1.3e-06     0.001   16.6   0.4   415   508   298   396   263   399 0.74 | transcript=PVP01_0309200.1 | gene=PVP01_0309200 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_03_v2:430357-432507(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326200.1-p1   -            493 3221at5820           -            511   4.4e-07   27.7   0.0   1   2    0.0042       3.4    5.0   0.0    98   148   135   185   113   213 0.85 | transcript=PVP01_1326200.1 | gene=PVP01_1326200 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=PvP01_13_v2:1139269-1140750(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326200.1-p1   -            493 3221at5820           -            511   4.4e-07   27.7   0.0   2   2   7.8e-08   6.4e-05   20.6   0.0   395   492   364   466   334   484 0.81 | transcript=PVP01_1326200.1 | gene=PVP01_1326200 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=PvP01_13_v2:1139269-1140750(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709200.1-p1   -            599 3221at5820           -            511   3.9e-05   21.3   0.6   1   2      0.69   5.7e+02   -2.4   0.0   235   302   263   335   253   378 0.65 | transcript=PVP01_0709200.1 | gene=PVP01_0709200 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_07_v2:473382-475181(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709200.1-p1   -            599 3221at5820           -            511   3.9e-05   21.3   0.6   2   2   4.8e-08   3.9e-05   21.3   0.6   417   509   483   582   474   584 0.83 | transcript=PVP01_0709200.1 | gene=PVP01_0709200 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_07_v2:473382-475181(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3221at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3221at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3221at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:08 2026
# [ok]
