#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1124200.1-p1   -           1221 2263at5820           -            755         0 1200.0  61.7   1   7   6.4e-06      0.01   12.6   0.2     1    34    35    72    35    80 0.87 | transcript=PVP01_1124200.1 | gene=PVP01_1124200 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial DNA polymerase, putative | transcript_product=mitochondrial DNA polymerase, putative | location=PvP01_11_v2:1052847-1056512(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1346200.1-p1   -            149 2263at5820           -            755    0.0088   12.9   1.4   1   1   5.4e-06    0.0088   12.8   1.4   198   242    60   104    15   123 0.83 | transcript=PVP01_1346200.1 | gene=PVP01_1346200 | organism=Plasmodium_vivax_P01 | gene_product=ribosomal protein S27a, putative | transcript_product=ribosomal protein S27a, putative | location=PvP01_13_v2:2013814-2015366(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2263at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2263at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2263at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:00 2026
# [ok]
