#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0708400.1-p1   -           1392 1394at5820           -           1113         0 2229.0  83.5   1   4   6.9e-36   7.5e-33  111.8   7.8     1   116     1   192     1   196 0.89 | transcript=PVP01_0708400.1 | gene=PVP01_0708400 | organism=Plasmodium_vivax_P01 | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=PvP01_07_v2:427704-431882(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223500.1-p1   -           1198 1394at5820           -           1113   1.3e-12   44.8  14.4   1   2   7.7e-07   0.00083   15.6   6.0   167   284   264   392   258   449 0.72 | transcript=PVP01_1223500.1 | gene=PVP01_1223500 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=PvP01_12_v2:909867-915452(+) | protein_length=1198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223500.1-p1   -           1198 1394at5820           -           1113   1.3e-12   44.8  14.4   2   2   2.8e-12     3e-09   33.6   1.2   414   553   488   625   475   647 0.90 | transcript=PVP01_1223500.1 | gene=PVP01_1223500 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=PvP01_12_v2:909867-915452(+) | protein_length=1198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125800.1-p1   -            925 1394at5820           -           1113   2.1e-08   30.9   1.4   1   2   0.00091      0.99    5.5   0.5   169   287   214   320    54   343 0.66 | transcript=PVP01_1125800.1 | gene=PVP01_1125800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase SUV3, putative | transcript_product=ATP-dependent RNA helicase SUV3, putative | location=PvP01_11_v2:1129691-1132468(+) | protein_length=925 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125800.1-p1   -            925 1394at5820           -           1113   2.1e-08   30.9   1.4   2   2   2.3e-09   2.6e-06   24.0   0.0   504   554   449   499   444   518 0.88 | transcript=PVP01_1125800.1 | gene=PVP01_1125800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase SUV3, putative | transcript_product=ATP-dependent RNA helicase SUV3, putative | location=PvP01_11_v2:1129691-1132468(+) | protein_length=925 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1394at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1394at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1394at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:58 2026
# [ok]
