#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0104600.1-p1   -            805 3079at5820           -            559         0 1043.4  57.1   1   4  2.1e-232  1.4e-229  762.0  28.1     1   363     1   364     1   377 0.99 | transcript=PVP01_0104600.1 | gene=PVP01_0104600 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide-binding protein, putative | transcript_product=phosphoinositide-binding protein, putative | location=PvP01_01_v2:239525-241942(+) | protein_length=805 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 3079at5820           -            559   7.4e-06   23.4   7.4   4   4    0.0076         5    4.2   0.3   384   508   409   534   404   562 0.63 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 3079at5820           -            559   1.3e-05   22.6   2.1   1   3   3.2e-05     0.021   12.0   0.1   399   452    89   142    68   160 0.85 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 3079at5820           -            559   1.3e-05   22.6   2.1   2   3    0.0022       1.4    6.0   0.1   392   451   169   228   161   240 0.91 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 3079at5820           -            559   1.3e-05   22.6   2.1   3   3     0.016        10    3.1   0.0   385   451   244   316   232   322 0.72 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 3079at5820           -            559   4.2e-05   20.9   6.4   1   6   6.5e-08   4.2e-05   20.9   6.4   327   458    18   146    10   176 0.73 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 3079at5820           -            559   4.2e-05   20.9   6.4   2   6      0.26   1.7e+02   -0.9   0.8   199   268   169   235   156   244 0.57 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 3079at5820           -            559   4.2e-05   20.9   6.4   3   6       2.8   1.8e+03   -4.3   0.4   463   494   372   403   353   418 0.65 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 3079at5820           -            559   4.2e-05   20.9   6.4   4   6       0.3     2e+02   -1.1   0.1   420   451   616   646   612   670 0.85 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 3079at5820           -            559   4.2e-05   20.9   6.4   5   6     0.072        47    0.9   0.1   198   268   662   729   647   739 0.77 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 3079at5820           -            559   4.2e-05   20.9   6.4   6   6     1e-05    0.0067   13.6   0.5   385   451   865   932   822   945 0.87 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 3079at5820           -            559    0.0002   18.7   6.9   1   4   0.00028      0.18    8.9   0.2   393   457   225   289   186   301 0.83 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 3079at5820           -            559    0.0002   18.7   6.9   2   4   0.00058      0.38    7.9   0.1   196   268   257   330   238   338 0.61 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 3079at5820           -            559    0.0002   18.7   6.9   3   4   0.00058      0.38    7.9   0.1   389   451   350   413   344   436 0.86 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 3079at5820           -            559    0.0002   18.7   6.9   4   4    0.0098       6.4    3.8   0.0   409   450   456   497   427   498 0.81 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 3079at5820           -            559   0.00028   18.2   1.5   1   2    0.0025       1.6    5.8   0.0   393   447   154   208   143   227 0.85 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 3079at5820           -            559   0.00028   18.2   1.5   2   2   8.3e-05     0.054   10.7   0.2   407   457   272   322   264   325 0.90 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 3079at5820           -            559    0.0011   16.2   0.2   1   4       6.7   4.4e+03   -5.6   6.6   456   516    53   112    36   123 0.70 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 3079at5820           -            559    0.0011   16.2   0.2   2   4     0.001      0.67    7.0   0.2   417   451   359   393   351   408 0.86 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 3079at5820           -            559    0.0011   16.2   0.2   3   4   0.00054      0.36    8.0   0.1   387   451   412   477   404   493 0.84 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 3079at5820           -            559    0.0011   16.2   0.2   4   4   1.7e-06    0.0011   16.2   0.2   395   451   505   561   490   572 0.85 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 3079at5820           -            559    0.0037   14.5  15.4   1   4   9.1e-06    0.0059   13.8   4.4   383   453   905   977   894   989 0.81 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 3079at5820           -            559    0.0037   14.5  15.4   2   4      0.24   1.6e+02   -0.8   0.2   199   269   994  1064   983  1092 0.72 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 3079at5820           -            559    0.0037   14.5  15.4   3   4    0.0039       2.6    5.1   0.8   375   452  1070  1151  1035  1155 0.70 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 3079at5820           -            559    0.0037   14.5  15.4   4   4    0.0021       1.4    6.0   0.2   393   461  1133  1205  1125  1216 0.75 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 3079at5820           -            559     0.092    9.9   0.6   1   2     0.017        11    3.0   0.1   418   455   201   239   197   273 0.77 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 3079at5820           -            559     0.092    9.9   0.6   2   2    0.0043       2.8    5.0   0.1   419   451   323   356   315   408 0.72 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3079at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3079at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3079at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:41 2026
# [ok]
