#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1214900.1-p1   -            819 4282at5820           -            551  2.4e-277  919.7  39.2   1   4   2.6e-23   1.3e-20   72.2   0.0     6    54    58   106    52   111 0.94 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946200.1-p1   -            783 4282at5820           -            551   5.3e-26   90.0   8.4   3   3   1.1e-28   5.3e-26   90.0   8.4   314   532   556   778   550   781 0.87 | transcript=PVP01_0946200.1 | gene=PVP01_0946200 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=PvP01_09_v2:2021063-2023701(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837600.1-p1   -           1364 4282at5820           -            551   1.1e-22   79.2  27.8   1   3       0.2     1e+02    0.0   2.4   195   244   740   787   725   824 0.70 | transcript=PVP01_0837600.1 | gene=PVP01_0837600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=PvP01_08_v2:1587651-1591745(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837600.1-p1   -           1364 4282at5820           -            551   1.1e-22   79.2  27.8   2   3   1.6e-13   8.2e-11   39.9  14.7   299   415   998  1119   965  1143 0.83 | transcript=PVP01_0837600.1 | gene=PVP01_0837600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=PvP01_08_v2:1587651-1591745(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837600.1-p1   -           1364 4282at5820           -            551   1.1e-22   79.2  27.8   3   3   5.2e-18   2.6e-15   54.7   5.2   431   543  1238  1352  1212  1357 0.88 | transcript=PVP01_0837600.1 | gene=PVP01_0837600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=PvP01_08_v2:1587651-1591745(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103800.1-p1   -            619 4282at5820           -            551   4.5e-12   44.1  13.1   1   3   4.3e-08   2.1e-05   22.0   2.9   348   516   122   292   113   307 0.68 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103800.1-p1   -            619 4282at5820           -            551   4.5e-12   44.1  13.1   2   3     0.037        19    2.4   0.0   330   363   371   409   359   416 0.68 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103800.1-p1   -            619 4282at5820           -            551   4.5e-12   44.1  13.1   3   3   8.3e-09   4.1e-06   24.4   1.0   450   529   475   557   455   581 0.78 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322800.1-p1   -            695 4282at5820           -            551   6.9e-12   43.5   1.0   1   1   2.6e-14   1.3e-11   42.6   1.0   315   536    35   259    30   269 0.76 | transcript=PVP01_1322800.1 | gene=PVP01_1322800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=PvP01_13_v2:1033999-1036086(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 4282at5820           -            551   1.5e-10   39.0  26.2   1   5   9.7e-05     0.049   10.9   0.3   327   383   192   245   162   284 0.74 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 4282at5820           -            551   1.5e-10   39.0  26.2   2   5   6.3e-07   0.00032   18.2   2.0   429   542   334   450   319   457 0.75 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 4282at5820           -            551   1.5e-10   39.0  26.2   3   5      0.25   1.2e+02   -0.3   0.9   314   343   526   555   517   584 0.80 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 4282at5820           -            551   1.5e-10   39.0  26.2   4   5   4.1e-07   0.00021   18.8   0.1   326   378   585   638   576   656 0.84 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 4282at5820           -            551   1.5e-10   39.0  26.2   5   5    0.0025       1.3    6.3   0.6   444   517   684   755   648   776 0.71 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315500.1-p1   -            257 4282at5820           -            551   2.8e-10   38.2   3.8   1   2   5.7e-06    0.0029   15.0   0.1   324   363    14    55     3    78 0.79 | transcript=PVP01_1315500.1 | gene=PVP01_1315500 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=PvP01_13_v2:709520-711155(+) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315500.1-p1   -            257 4282at5820           -            551   2.8e-10   38.2   3.8   2   2   9.6e-09   4.8e-06   24.2   0.9   455   546   129   227    99   232 0.80 | transcript=PVP01_1315500.1 | gene=PVP01_1315500 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=PvP01_13_v2:709520-711155(+) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335400.1-p1   -            351 4282at5820           -            551   6.3e-10   37.0   1.7   1   1   1.8e-11   8.9e-09   33.2   1.7   329   542   116   338   103   344 0.80 | transcript=PVP01_1335400.1 | gene=PVP01_1335400 | organism=Plasmodium_vivax_P01 | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=PvP01_13_v2:1534587-1535642(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 4282at5820           -            551   3.5e-07   27.9  43.1   1   6   1.7e-05    0.0083   13.5   4.4   316   383   187   252   158   290 0.72 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 4282at5820           -            551   3.5e-07   27.9  43.1   2   6   0.00016     0.081   10.2   0.6   435   513   468   547   336   569 0.82 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 4282at5820           -            551   3.5e-07   27.9  43.1   3   6       2.1     1e+03   -3.4   0.3    90   120   647   677   644   695 0.82 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 4282at5820           -            551   3.5e-07   27.9  43.1   4   6   1.5e-09   7.7e-07   26.8   2.9   316   370   809   866   780   869 0.86 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 4282at5820           -            551   3.5e-07   27.9  43.1   5   6       2.2   1.1e+03   -3.4   0.4   309   342   913   945   911   958 0.62 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 4282at5820           -            551   3.5e-07   27.9  43.1   6   6     0.011       5.7    4.1   1.6   453   526  1033  1109   992  1131 0.68 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4282at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4282at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4282at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:00 2026
# [ok]
