#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1145500.1-p1   -            956 3954at5820           -            617    3e-274  909.8  94.6   1   6   2.6e-38   2.8e-35  120.4   0.3     1    79     1    82     1    88 0.95 | transcript=PVP01_1145500.1 | gene=PVP01_1145500 | organism=Plasmodium_vivax_P01 | gene_product=trophozoite exported protein 1, putative | transcript_product=trophozoite exported protein 1, putative | location=PvP01_11_v2:1945433-1948303(+) | protein_length=956 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015900.1-p1   -            271 3954at5820           -            617       1.4    5.8  17.0   2   2      0.63   6.9e+02   -3.1   9.6   306   376    85   155    73   163 0.59 | transcript=PVP01_1015900.1 | gene=PVP01_1015900 | organism=Plasmodium_vivax_P01 | gene_product=NOSIP domain-containing protein, putative | transcript_product=NOSIP domain-containing protein, putative | location=PvP01_10_v2:710938-712715(-) | protein_length=271 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3954at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3954at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3954at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:23 2026
# [ok]
