#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0703600.1-p1   -           1119 3149at5820           -            567    2e-246  817.7  55.3   1   5   4.3e-67   2.8e-64  216.3   2.1     1   119     1   134     1   201 0.86 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103300.1-p1   -            494 3149at5820           -            567   1.3e-12   45.8  29.7   1   3   1.2e-07   7.9e-05   20.1  17.5    38   333    19   330    15   346 0.58 | transcript=PVP01_1103300.1 | gene=PVP01_1103300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_11_v2:145926-147410(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103300.1-p1   -            494 3149at5820           -            567   1.3e-12   45.8  29.7   2   3      0.13        85    0.1   0.0   514   543   342   371   330   376 0.77 | transcript=PVP01_1103300.1 | gene=PVP01_1103300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_11_v2:145926-147410(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103300.1-p1   -            494 3149at5820           -            567   1.3e-12   45.8  29.7   3   3   3.9e-11   2.5e-08   31.6   2.6   453   559   374   490   368   493 0.81 | transcript=PVP01_1103300.1 | gene=PVP01_1103300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_11_v2:145926-147410(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0306800.1-p1   -            380 3149at5820           -            567   2.6e-12   44.7  27.8   1   6   0.00066      0.43    7.7   0.4    33    70     7    44     2    66 0.59 | transcript=PVP01_0306800.1 | gene=PVP01_0306800 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_03_v2:335592-337103(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0306800.1-p1   -            380 3149at5820           -            567   2.6e-12   44.7  27.8   2   6    0.0048       3.1    4.9   0.3   515   557    68   110    60   112 0.89 | transcript=PVP01_0306800.1 | gene=PVP01_0306800 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_03_v2:335592-337103(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0306800.1-p1   -            380 3149at5820           -            567   2.6e-12   44.7  27.8   3   6   1.7e-07   0.00011   19.6   0.1   478   561   116   199   112   204 0.94 | transcript=PVP01_0306800.1 | gene=PVP01_0306800 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_03_v2:335592-337103(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0306800.1-p1   -            380 3149at5820           -            567   2.6e-12   44.7  27.8   4   6   5.6e-07   0.00036   17.9   1.5   470   510   207   250   197   277 0.75 | transcript=PVP01_0306800.1 | gene=PVP01_0306800 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_03_v2:335592-337103(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0306800.1-p1   -            380 3149at5820           -            567   2.6e-12   44.7  27.8   5   6      0.34   2.2e+02   -1.2   0.4   200   237   264   301   253   310 0.66 | transcript=PVP01_0306800.1 | gene=PVP01_0306800 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_03_v2:335592-337103(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0306800.1-p1   -            380 3149at5820           -            567   2.6e-12   44.7  27.8   6   6   3.1e-05      0.02   12.1   0.5   512   554   334   376   324   379 0.92 | transcript=PVP01_0306800.1 | gene=PVP01_0306800 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_03_v2:335592-337103(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510400.1-p1   -            318 3149at5820           -            567   3.6e-11   41.0   1.7   1   3   1.3e-07   8.5e-05   19.9   0.1   469   539    26    96     3   120 0.79 | transcript=PVP01_0510400.1 | gene=PVP01_0510400 | organism=Plasmodium_vivax_P01 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=PvP01_05_v2:456141-457097(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510400.1-p1   -            318 3149at5820           -            567   3.6e-11   41.0   1.7   2   3   2.9e-05     0.019   12.2   0.0   480   559   131   215   126   220 0.78 | transcript=PVP01_0510400.1 | gene=PVP01_0510400 | organism=Plasmodium_vivax_P01 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=PvP01_05_v2:456141-457097(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510400.1-p1   -            318 3149at5820           -            567   3.6e-11   41.0   1.7   3   3   0.00048      0.32    8.2   0.4   464   561   212   315   196   317 0.67 | transcript=PVP01_0510400.1 | gene=PVP01_0510400 | organism=Plasmodium_vivax_P01 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=PvP01_05_v2:456141-457097(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707300.1-p1   -            515 3149at5820           -            567   6.3e-08   30.3  15.4   1   3    0.0042       2.7    5.1   0.5   304   374    98   169    89   216 0.61 | transcript=PVP01_0707300.1 | gene=PVP01_0707300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:386494-388230(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707300.1-p1   -            515 3149at5820           -            567   6.3e-08   30.3  15.4   2   3   3.5e-06    0.0023   15.2   2.7   479   560   220   300   187   306 0.72 | transcript=PVP01_0707300.1 | gene=PVP01_0707300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:386494-388230(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707300.1-p1   -            515 3149at5820           -            567   6.3e-08   30.3  15.4   3   3     5e-07   0.00033   18.0   0.4   479   557   418   506   376   512 0.72 | transcript=PVP01_0707300.1 | gene=PVP01_0707300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:386494-388230(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442000.1-p1   -            306 3149at5820           -            567   3.5e-06   24.5   0.1   1   3      0.15        97   -0.1   0.1   492   565    19    88    15    90 0.64 | transcript=PVP01_1442000.1 | gene=PVP01_1442000 | organism=Plasmodium_vivax_P01 | gene_product=citrate/oxoglutarate carrier protein, putative | transcript_product=citrate/oxoglutarate carrier protein, putative | location=PvP01_14_v2:1833808-1834728(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442000.1-p1   -            306 3149at5820           -            567   3.5e-06   24.5   0.1   2   3     0.081        53    0.8   2.1   469   537    84   147    65   158 0.76 | transcript=PVP01_1442000.1 | gene=PVP01_1442000 | organism=Plasmodium_vivax_P01 | gene_product=citrate/oxoglutarate carrier protein, putative | transcript_product=citrate/oxoglutarate carrier protein, putative | location=PvP01_14_v2:1833808-1834728(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442000.1-p1   -            306 3149at5820           -            567   3.5e-06   24.5   0.1   3   3   5.4e-09   3.5e-06   24.5   0.1   482   544   228   290   223   297 0.92 | transcript=PVP01_1442000.1 | gene=PVP01_1442000 | organism=Plasmodium_vivax_P01 | gene_product=citrate/oxoglutarate carrier protein, putative | transcript_product=citrate/oxoglutarate carrier protein, putative | location=PvP01_14_v2:1833808-1834728(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301500.1-p1   -            323 3149at5820           -            567   9.1e-06   23.1   3.8   1   3   1.1e-07   7.2e-05   20.2   0.1   292   357    24    93     6   118 0.73 | transcript=PVP01_1301500.1 | gene=PVP01_1301500 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=PvP01_13_v2:59045-60016(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301500.1-p1   -            323 3149at5820           -            567   9.1e-06   23.1   3.8   2   3     0.012         8    3.5   0.2   461   537   113   188   102   212 0.77 | transcript=PVP01_1301500.1 | gene=PVP01_1301500 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=PvP01_13_v2:59045-60016(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301500.1-p1   -            323 3149at5820           -            567   9.1e-06   23.1   3.8   3   3      0.25   1.6e+02   -0.8   0.1   301   349   235   282   228   294 0.70 | transcript=PVP01_1301500.1 | gene=PVP01_1301500 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=PvP01_13_v2:59045-60016(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621700.1-p1   -            301 3149at5820           -            567    0.0073   13.6   6.0   1   3     0.034        22    2.1   0.3   478   550    12    92     5   102 0.60 | transcript=PVP01_0621700.1 | gene=PVP01_0621700 | organism=Plasmodium_vivax_P01 | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=PvP01_06_v2:884744-885649(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621700.1-p1   -            301 3149at5820           -            567    0.0073   13.6   6.0   2   3   0.00014     0.094    9.9   2.6   460   557    94   200    77   213 0.68 | transcript=PVP01_0621700.1 | gene=PVP01_0621700 | organism=Plasmodium_vivax_P01 | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=PvP01_06_v2:884744-885649(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621700.1-p1   -            301 3149at5820           -            567    0.0073   13.6   6.0   3   3     0.031        20    2.2   0.0   307   534   223   276   196   285 0.52 | transcript=PVP01_0621700.1 | gene=PVP01_0621700 | organism=Plasmodium_vivax_P01 | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=PvP01_06_v2:884744-885649(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3149at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3149at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3149at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:54 2026
# [ok]
